N	2gram	Vygotskiy_	ViktorSh
1	конце концов	1	2
2	в конце	1	2
3	и в	38	2
4	в том	59	2
5	том что	44	2
6	в другом	3	1
7	все время	6	1
8	от общего	2	1
9	но это	7	1
10	одно и	7	1
11	столь же	7	1
12	том же	3	1
13	по существу	4	1
14	главным образом	3	1
15	в самом	8	1
16	и т.д	8	1
17	что слово	6	1
18	и зависят	1	1
19	для них	3	1
20	говорили в	1	1
21	а только	1	1
22	от других	2	1
23	именно в	6	1
24	и стоит	1	1
25	самом деле	4	1
26	более чем	1	1
27	другом месте	3	1
28	и составляет	1	1
29	ясно что	4	1
30	речи и	11	1
31	стр и	1	1
32	говоря о	2	1
33	в частности	4	1
34	чем к	1	1
35	и то	9	1
36	так в	1	1
37	и заключается	2	1
38	не хотел	1	1
39	этом и	2	1
40	каждая новая	1	1
41	время в	1	1
42	и его	5	1
43	сводится к	1	1
44	даже не	1	1
45	к чему	1	1
46	бы уже	1	1
47	значительной степени	1	1
48	на одном	2	1
49	хотя бы	2	1
50	зависят от	1	1
51	по поводу	1	1
52	далеко не	2	1
53	тем более	2	1
54	в которых	3	1
55	к этому	5	1
56	только в	16	1
57	не играет	1	1
58	одном и	3	1
59	потому что	14	1
60	в значительной	1	1
61	в их	12	1
62	и почти	1	1
63	и только	4	1
64	то же	18	1
65	по своим	1	1
66	без учета	1	1
67	слово вещь	1	1
68	и том	3	1
69	и не	16	1
70	деле как	2	1
71	гораздо более	1	1
72	я не	1	1
73	да и	1	1
74	в этом	35	1
75	так как	19	1
76	все это	8	1
77	совершенно ясно	3	1
