N	4gram	Losev_Vesc	Morfolog
1	в то время как	4	3
2	это не значит что	1	2
3	и т д а	1	2
4	и т д в	1	2
5	бы то ни было	12	2
6	и тем не менее	5	2
7	не что иное как	12	2
8	но если это так	2	2
9	с этой точки зрения	3	1
10	и т д таким	1	1
11	уже не может быть	2	1
12	с тех пор как	1	1
13	и т д и	11	1
14	если это так то	2	1
15	и т д то	1	1
16	то это значит что	3	1
17	в коем случае не	1	1
18	решить вопрос о том	1	1
19	в том что он	2	1
20	вопрос о том как	2	1
21	одно и то же	5	1
22	нет не только никакого	1	1
23	было бы сказать что	2	1
24	т д таким образом	1	1
25	и т д словом	1	1
26	в то же время	4	1
27	то возникает другой вопрос	1	1
28	какого бы то ни	2	1
29	один и тот же	1	1
30	мы видим таким образом	1	1
31	и т д все	1	1
32	не может быть и	1	1
33	что бы то ни	1	1
34	в том или другом	2	1
35	ни в коем случае	1	1
36	видим таким образом что	1	1
37	есть не что иное	8	1
