N	2gram	Potebnia_M	UchenyiS
1	и в	48	14
2	не только	32	10
3	а не	22	10
4	и не	28	8
5	прежде всего	6	8
6	то что	37	7
7	в этом	19	7
8	не может	18	7
9	может быть	46	6
10	в искусстве	6	6
11	перестает быть	5	5
12	хотя бы	3	5
13	то же	35	5
14	в художественном	1	5
15	и только	5	5
16	все это	4	5
17	художественное произведение	6	5
18	с другой	8	4
19	в этой	3	4
20	конечно не	2	4
21	что такое	2	4
22	но и	30	4
23	в их	2	4
24	бы то	2	3
25	было бы	16	3
26	и то	13	3
27	и формы	1	3
28	только к	1	3
29	или точнее	1	3
30	и т.д	1	3
31	для этого	1	3
32	очевидно что	9	3
33	произведения искусства	2	3
34	это не	2	3
35	как и	22	3
36	то ни	1	3
37	вряд ли	4	3
38	для него	14	3
39	формы в	3	3
40	в своей	2	3
41	все же	3	3
42	ни было	2	3
43	в области	3	3
44	в то	16	3
45	не как	3	3
46	у нас	2	3
47	другой стороны	4	3
48	не следует	6	3
49	но в	8	3
50	же время	8	3
51	таким образом	24	2
52	в самом	11	2
53	если не	6	2
54	ее нельзя	1	2
55	должна была	1	2
56	в противном	1	2
57	могли бы	3	2
58	его и	1	2
59	если бы	20	2
60	самом деле	5	2
61	могут быть	6	2
62	не в	24	2
63	это было	3	2
64	бы и	4	2
65	и с	4	2
66	до сих	4	2
67	их и	1	2
68	же самое	3	2
69	одним из	3	2
70	еще ничего	1	2
71	крайней мере	8	2
72	но не	8	2
73	тем менее	1	2
74	форму и	1	2
75	тем что	13	2
76	более чем	2	2
77	в себе	26	2
78	в его	6	2
79	должна быть	2	2
80	мы не	17	2
81	мы получаем	1	2
82	ничего не	1	2
83	между тем	19	2
84	что она	4	2
85	не есть	24	2
86	художественного произведения	6	2
87	что он	8	2
88	на каждом	1	2
89	на эту	1	2
90	этом отношении	2	2
91	противном случае	1	2
92	художественном произведении	3	2
93	каждом шагу	1	2
94	а его	1	2
95	не могут	7	2
96	а как	2	2
97	что мы	16	2
98	сводится к	1	2
99	в буквальном	2	2
100	в том	47	2
101	представляется нам	2	2
102	том что	28	2
103	нас в	3	2
104	но это	9	2
105	этом смысле	2	2
106	материал не	1	2
107	но даже	3	2
108	а о	1	2
109	в системе	2	2
110	что и	16	2
111	не столько	2	2
112	меньшей степени	1	2
113	а между	6	2
114	смысле этого	9	2
115	с его	1	2
116	превращается в	3	2
117	на первый	1	2
118	сих пор	4	2
119	по крайней	8	2
120	только в	29	2
121	формы и	2	2
122	по себе	26	2
123	что все	5	2
124	не все	5	2
125	очевидно не	1	2
126	но конечно	1	2
127	нам представляется	1	2
128	настолько насколько	3	1
129	еще один	1	1
130	строится вся	1	1
131	первый взгляд	1	1
132	в той	2	1
133	признать что	2	1
134	так то	1	1
135	все в	3	1
136	что в	30	1
137	была уже	1	1
138	камня и	2	1
139	и понятий	1	1
140	не было	12	1
141	вне его	1	1
142	так или	2	1
143	бы только	1	1
144	и даже	3	1
145	содержания в	3	1
146	науки есть	1	1
147	более или	6	1
148	всего что	1	1
149	о необходимости	2	1
150	и потому	9	1
151	столько же	2	1
152	буквальном смысле	2	1
153	нам известно	1	1
154	но он	3	1
155	отказаться от	2	1
156	этом случае	2	1
157	в свое	2	1
158	в которой	9	1
159	сколько и	2	1
160	все и	1	1
161	можно сказать	4	1
162	несомненно что	3	1
163	этого не	3	1
164	какой именно	1	1
165	или меньшей	1	1
166	восприятия и	2	1
167	мы можем	13	1
168	что же	3	1
169	которой все	1	1
170	отлична от	1	1
171	или иначе	1	1
172	в данном	3	1
173	и быть	3	1
174	все его	2	1
175	художественное творчество	1	1
176	история литературы	1	1
177	что ему	1	1
178	он уже	1	1
179	подобным образом	1	1
180	больше чем	1	1
181	а для	1	1
182	еще раз	2	1
183	нет и	2	1
184	как на	6	1
185	равно как	2	1
186	вообще в	1	1
187	есть наука	2	1
188	себе еще	1	1
189	а оно	1	1
190	это содержание	7	1
191	быть не	4	1
192	он в	1	1
193	и все	5	1
194	слова а	1	1
195	что этот	2	1
196	определений и	1	1
197	научного анализа	2	1
198	состоять в	2	1
199	такое что	1	1
200	к изучению	1	1
201	формы слова	3	1
202	группы и	1	1
203	впечатление которое	1	1
204	сказать что	8	1
205	в сфере	1	1
206	к следующему	1	1
207	не исключительно	1	1
208	и эта	2	1
209	в процессе	2	1
210	данном случае	3	1
211	речи в	1	1
212	же художественное	1	1
213	его как	3	1
214	но для	1	1
215	один пример	1	1
216	то есть	53	1
217	свое место	2	1
218	этот процесс	1	1
219	от которой	1	1
220	и др	1	1
221	нас самих	1	1
222	и содержание	2	1
223	его раскрывает	1	1
224	своем кругу	1	1
225	без них	2	1
226	на последующих	1	1
227	того как	10	1
228	тех и	1	1
229	общего и	1	1
230	в таком	6	1
231	то и	10	1
232	сводятся к	2	1
233	оно по	1	1
234	которое мы	2	1
235	материал поэзии	1	1
236	она не	4	1
237	степени и	1	1
238	быть в	1	1
239	в произведении	4	1
