N	2gram	Losev_Prob	EvropaiE
1	и в	48	37
2	в отношении	8	32
3	точки зрения	17	23
4	что в	12	21
5	не только	28	18
6	с точки	13	17
7	в то	6	16
8	то же	6	15
9	хотя бы	11	15
10	отношении к	1	15
11	в качестве	9	14
12	и не	29	14
13	но и	21	14
14	же время	1	14
15	в своем	16	14
16	но в	17	14
17	в этом	31	12
18	в том	25	11
19	в их	4	11
20	в области	3	11
21	так и	15	10
22	в себе	7	9
23	прежде всего	15	9
24	только в	21	9
25	в смысле	8	9
26	все более	1	9
27	так же	7	9
28	не может	6	9
29	отнюдь не	14	9
30	и азии	1	8
31	с одной	5	8
32	в ее	6	8
33	в своей	29	8
34	одной стороны	5	8
35	между тем	2	8
36	было бы	12	8
37	к тому	7	8
38	так как	10	7
39	того что	8	7
40	а также	8	7
41	как и	10	7
42	между прочим	2	7
43	по своему	3	7
44	также и	21	7
45	с другой	8	7
46	то есть	38	6
47	с этой	4	6
48	и даже	24	6
49	вслед за	2	6
50	и на	9	6
51	том что	29	6
52	вовсе не	18	6
53	во всех	2	6
54	может быть	11	6
55	того чтобы	3	6
56	для того	4	6
57	то что	26	6
58	как бы	10	6
59	на то	2	6
60	в той	5	5
61	тем самым	2	5
62	в виде	25	5
63	этой точки	2	5
64	не в	16	5
65	в россии	2	5
66	но не	12	5
67	к которым	1	5
68	от этого	4	5
69	на мировом	1	5
70	со стороны	1	5
71	и потому	4	5
72	которую мы	2	5
73	в частности	5	5
74	как мы	5	5
75	одной из	5	5
76	столь же	1	5
77	и по	2	5
78	в перспективе	1	4
79	в самом	7	4
80	бы то	4	4
81	то в	4	4
82	на путях	2	4
83	мы не	7	4
84	в предыдущем	1	4
85	даже в	2	4
86	ни было	2	4
87	того или	3	4
88	для нас	14	4
89	не на	1	4
90	чем в	1	4
91	и притом	8	4
92	именно в	11	4
93	по себе	5	4
94	не имеет	3	4
95	в каком	1	4
96	тем более	2	4
97	той или	5	4
98	вопрос о	2	4
99	но даже	6	4
100	то ни	4	4
101	или иного	2	4
102	как это	5	4
103	россии в	2	4
104	несмотря на	7	4
105	к ней	2	4
106	в ней	4	4
107	сказать что	13	4
108	можно сказать	10	4
109	или иной	4	4
110	мира в	3	4
111	культурной жизни	1	4
112	и к	9	3
113	говорит о	9	3
114	но на	1	3
115	и мы	1	3
116	можно ли	2	3
117	она в	2	3
118	из всех	2	3
119	этом отношении	4	3
120	с более	1	3
121	ее в	2	3
122	что и	8	3
123	в результате	11	3
124	или иную	1	3
125	мы можем	5	3
126	не является	2	3
127	можно было	4	3
128	x в	1	3
129	в будущем	1	3
130	на себя	2	3
131	что согласно	1	3
132	и некоторые	1	3
133	дело в	4	3
134	тем что	2	3
135	в таком	4	3
136	вообще не	1	3
137	в стороне	1	3
138	большинстве случаев	2	3
139	в пределы	1	3
140	как в	3	3
141	жизни в	7	3
142	мира и	5	3
143	и со	1	3
144	в известном	2	3
145	бы ни	1	3
146	в них	5	3
147	во всяком	7	3
148	тем в	1	3
149	ни на	2	3
150	бы и	1	3
151	во все	3	3
152	в данном	6	3
153	в свою	4	3
154	ту или	1	3
155	представляет собой	1	3
156	потому что	21	3
157	время в	2	3
158	и тем	4	3
159	когда он	3	3
160	не будет	4	3
161	и для	11	3
162	этот факт	1	3
163	этом смысле	4	3
164	уже и	4	3
165	себе в	2	3
166	в прошлом	1	3
167	к ним	3	3
168	как на	1	3
169	с тем	7	3
170	известном смысле	1	3
171	и от	7	3
172	о том	17	3
173	в общем	1	3
174	и прежде	2	3
175	от них	2	3
176	мы видели	2	3
177	там где	1	3
178	и только	4	3
179	является ли	1	3
180	всяком случае	6	3
181	того же	7	3
182	из них	4	3
183	никогда не	7	3
184	всего в	1	2
185	таким образом	20	2
186	и то	6	2
187	в другой	1	2
188	во втором	2	2
189	и во	2	2
190	и этот	1	2
191	по преимуществу	2	2
192	говоря уже	2	2
193	только те	1	2
194	можно в	1	2
195	данном случае	5	2
196	если в	2	2
197	и сейчас	2	2
198	но еще	2	2
199	тогда когда	4	2
200	и имеет	1	2
201	в его	19	2
202	свою очередь	2	2
203	или по	1	2
204	еще более	4	2
205	что это	4	2
206	это значит	3	2
207	хотя и	10	2
208	с этим	3	2
209	будет ли	1	2
210	которого мы	2	2
211	его на	3	2
212	и тут	4	2
213	и если	2	2
214	например с	1	2
215	и творчества	1	2
216	для них	3	2
217	с другими	1	2
218	другой стороны	8	2
219	в европейской	1	2
220	участие в	2	2
221	в этих	3	2
222	не могут	3	2
223	и наиболее	3	2
224	всех прочих	1	2
225	высокой и	1	2
226	но с	1	2
227	в своих	3	2
228	при условии	1	2
229	если бы	2	2
230	или в	7	2
231	в свои	2	2
232	что к	1	2
233	и с	10	2
234	и можно	6	2
235	заключается в	1	2
236	и все	12	2
237	и совершенной	1	2
238	дошла до	2	2
239	на месте	2	2
240	представление о	2	2
241	в какой	5	2
242	вместе с	15	2
243	и как	10	2
244	нас к	1	2
245	притом в	1	2
246	есть в	6	2
247	но по	3	2
248	не есть	3	2
249	в порядке	1	2
250	в мире	1	2
251	одном из	1	2
252	поскольку он	1	2
253	не нужно	1	2
254	если брать	1	2
255	в эту	1	2
256	в существе	1	2
257	и таким	1	2
258	в других	5	2
259	а именно	12	2
260	к той	1	2
261	на них	1	2
262	только одно	1	2
263	что эти	1	2
264	большей части	1	2
265	не говоря	2	2
266	но как	3	2
267	только к	1	2
268	и других	1	2
269	и более	3	2
270	в котором	5	2
271	или вернее	4	2
272	следовало бы	1	2
273	океана и	2	2
274	и человеческой	1	2
275	эти последние	1	2
276	и что	9	2
277	человеческого рода	1	2
278	оставить в	1	2
279	она не	1	2
280	в значительной	3	2
