N	2gram	Vinokur_Vv	Mirosoze
1	и в	35	97
2	может быть	30	64
3	не только	26	63
4	в этом	35	55
5	но и	7	54
6	а не	5	53
7	в нем	13	49
8	не может	19	49
9	у него	1	47
10	и не	13	39
11	никогда не	3	38
12	человеческого духа	1	38
13	в ней	3	37
14	потому что	18	37
15	не было	2	36
16	не в	10	34
17	и есть	3	33
18	для него	1	31
19	не есть	5	30
20	но он	1	30
21	есть лишь	2	30
22	человека в	1	30
23	человеческой природы	1	30
24	как и	7	29
25	прежде всего	10	29
26	но в	10	27
27	к человеку	1	26
28	о человеке	1	26
29	человека и	1	26
30	в своей	4	25
31	он был	1	25
32	и это	6	25
33	и все	1	24
34	у нас	2	24
35	в своем	3	23
36	что в	13	23
37	что он	5	22
38	в самом	13	21
39	в себе	4	20
40	отношение к	3	20
41	в россии	1	19
42	как бы	7	19
43	до конца	3	19
44	в его	12	18
45	того что	12	17
46	и потому	2	17
47	том что	30	16
48	в том	38	16
49	то что	19	16
50	было бы	7	16
51	достоевского в	1	16
52	и его	6	16
53	духа в	1	15
54	в котором	4	15
55	в этой	3	15
56	в конце	3	14
57	человек в	1	14
58	так как	15	14
59	в глубине	1	14
60	та же	1	13
61	и на	3	13
62	и вот	3	13
63	в русском	1	13
64	в них	5	12
65	он сам	3	12
66	к нему	3	12
67	и у	1	12
68	но не	9	12
69	смысле слова	7	12
70	это не	8	12
71	все это	6	12
72	и к	3	11
73	любовь к	4	11
74	с тем	6	11
75	уже не	6	11
76	хотя бы	6	11
77	в которой	1	11
78	человеческой личности	1	11
79	только в	16	11
80	как в	3	11
81	но это	2	11
82	и для	4	11
83	жизни и	2	11
84	то же	11	10
85	так же	3	10
86	один из	6	10
87	должна быть	2	10
88	не могут	6	10
89	не имеет	4	10
90	это и	1	10
91	связана с	4	10
92	в самой	1	10
93	человека к	1	10
94	есть не	5	10
95	все что	1	9
96	из самых	1	9
97	к тому	4	9
98	не мог	2	9
99	должно быть	2	9
100	что и	5	9
101	не будет	1	9
102	с ним	1	9
103	вместе с	6	9
104	человека на	1	9
105	в свою	2	9
106	бы и	3	9
107	есть и	5	9
108	а в	6	9
109	лишь в	1	9
110	в этих	3	8
111	и с	2	8
112	тем что	6	8
113	о том	16	8
114	вопрос о	10	8
115	себя в	2	8
116	т е	40	8
117	что не	5	8
118	человеке и	1	8
119	за пределы	1	8
120	жизнь в	1	8
121	что есть	1	8
122	в отношении	3	8
123	еще в	1	8
124	русской истории	1	8
125	того чтобы	22	8
126	отношении к	2	8
127	нет и	1	8
128	ничего не	2	8
129	они не	1	8
130	уже в	5	8
131	для того	23	8
132	во всем	2	7
133	в духе	1	7
134	если он	1	7
135	не существует	2	7
136	нем есть	1	7
137	что все	1	7
138	точки зрения	12	7
139	она есть	5	7
140	все в	1	7
141	чем в	3	7
142	что она	3	7
143	на этом	3	7
144	в жизни	1	7
145	отношения к	1	7
146	он в	1	7
147	мог бы	2	7
148	но если	6	7
149	в высшей	1	7
150	должен быть	4	7
151	также и	20	7
152	как он	6	7
153	с этой	5	6
154	не как	3	6
155	к концу	1	6
156	увидим что	2	6
157	и те	2	6
158	русской литературы	1	6
159	всего в	1	6
160	что у	1	6
161	прийти к	2	6
162	его в	6	6
