N	2gram	Voloshinov	Literetu
1	а не	1	50
2	и не	1	47
3	не только	1	46
4	и в	3	44
5	может быть	1	43
6	но и	1	41
7	то же	1	26
8	в то	1	23
9	не может	4	22
10	же время	1	21
11	точки зрения	1	17
12	в его	1	17
13	не менее	1	15
14	и на	1	10
15	к тому	1	9
16	связи с	1	9
17	один из	2	9
18	с точки	1	8
19	для него	1	8
20	в каждом	1	6
21	в ней	1	6
22	русской литературы	1	5
23	несмотря на	1	5
24	деятельности в	1	5
25	литературного произведения	1	5
26	исходя из	1	4
27	и все	1	4
28	тех же	1	4
29	художественного целого	1	4
30	во второй	1	4
31	искусство как	1	4
32	он в	1	3
33	в особенности	1	3
34	если в	2	3
35	если бы	1	3
36	на нее	1	3
37	художественного произведения	1	3
38	в центре	2	2
39	можно и	1	2
40	о литературе	1	2
41	сравнении с	1	2
42	с другими	1	2
43	тому что	1	2
44	вопрос что	1	2
45	бы в	1	2
46	в школе	1	2
47	можно назвать	1	2
48	и поэтика	1	2
49	из этих	1	2
50	нет и	1	2
51	ничего кроме	1	2
52	бы на	1	2
53	аудитории и	1	2
54	может и	1	2
55	общения и	2	1
56	о художественной	1	1
57	языка как	1	1
58	в системе	1	1
59	или иными	1	1
60	вещей и	1	1
61	теми или	1	1
62	в иную	1	1
63	на месте	1	1
64	подхода к	1	1
65	себя от	1	1
66	по своим	1	1
67	ни один	1	1
68	из крупнейших	1	1
69	и тому	1	1
70	обязывает к	1	1
