N	2gram	Medvedev_S	Mirosoze
1	и в	3	97
2	может быть	2	64
3	не только	3	63
4	в этом	5	55
5	но и	2	54
6	не может	1	49
7	у него	1	47
8	и не	1	39
9	никогда не	1	38
10	не было	1	36
11	не в	3	34
12	и есть	1	33
13	как и	1	29
14	прежде всего	1	29
15	в мире	1	27
16	в своей	1	25
17	что в	2	23
18	что он	1	22
19	как бы	2	19
20	в его	3	18
21	и потому	1	17
22	том что	2	16
23	в том	5	16
24	то что	2	16
25	было бы	2	16
26	и его	1	16
27	в котором	1	15
28	в этой	1	15
29	в конце	2	14
30	в них	1	12
31	но не	1	12
32	это не	1	12
33	все это	7	12
34	хотя бы	1	11
35	только в	2	11
36	то же	2	10
37	один из	1	10
38	должна быть	2	10
39	это и	2	10
40	с ним	1	9
41	а в	1	9
42	в этих	1	8
43	тем что	1	8
44	о том	1	8
45	за пределы	2	8
46	ничего не	1	8
47	они не	1	8
48	что все	1	7
49	те же	1	7
50	что она	1	7
51	более чем	3	7
52	его в	1	6
53	что это	1	6
54	не способен	1	6
55	и более	1	6
56	на все	1	6
57	еще не	2	5
58	бы в	1	5
59	и как	1	5
60	во всяком	1	5
61	для этого	1	5
62	к которому	2	5
63	в то	1	5
64	и мы	2	5
65	так и	1	5
66	него и	1	5
67	как будто	2	5
68	жизни он	1	4
69	в него	1	4
70	по отношению	2	4
71	в каждом	1	4
72	не от	1	4
73	тому что	1	4
74	в чем	1	4
75	а с	1	4
76	и что	2	4
77	и по	1	4
78	вряд ли	1	4
79	мы еще	1	4
80	может не	1	4
81	мы не	1	4
82	все эти	1	4
83	стало быть	1	4
84	отношению к	2	4
85	место в	1	4
86	и только	3	4
87	конце концов	2	4
88	это значит	1	3
89	все же	1	3
90	и границы	1	3
91	конечно не	1	3
92	идей и	2	3
93	я и	1	3
94	но ведь	3	3
95	остается в	1	3
96	в наше	1	3
97	между тем	1	3
98	и должно	1	3
99	и русская	1	3
100	и будет	1	3
101	она может	2	3
102	на этот	1	3
103	всяком случае	1	3
104	выходит за	1	3
105	литературы и	2	3
106	для нас	3	3
107	ведь это	2	3
108	мы должны	1	3
109	но она	1	3
110	по себе	1	2
111	только для	1	2
112	у которых	1	2
113	из себя	1	2
114	с другой	1	2
115	которая должна	1	2
116	по природе	2	2
117	связи с	1	2
118	между ними	1	2
119	что личность	1	2
120	в смысле	2	2
121	можно принять	1	2
122	когда мы	1	2
123	столь же	1	2
124	что без	1	2
125	и им	1	2
126	наше время	1	2
127	в сущности	1	2
128	его собственная	1	2
129	ним все	1	2
130	тотчас же	1	2
131	быть не	1	2
132	пишет он	1	2
133	но сам	1	2
134	же этот	1	2
135	на что	1	2
136	же не	1	2
137	в свои	1	2
138	он ни	1	2
139	нужно было	2	2
140	кто не	1	2
141	как то	1	2
142	и о	1	2
143	бы он	1	2
144	им не	2	2
145	новое и	1	1
146	даже в	1	1
147	или нет	1	1
148	одно дело	2	1
149	с увлечением	1	1
150	происходит не	1	1
151	и связь	1	1
152	еще недостаточно	1	1
153	на точке	1	1
154	читать в	1	1
155	одной стороны	1	1
156	может служить	1	1
157	в строгом	1	1
158	существу своему	1	1
159	а между	1	1
160	точке зрения	1	1
161	на ней	1	1
162	и сложность	1	1
163	этом нужно	1	1
164	не выходит	1	1
165	с одной	1	1
166	тогда и	1	1
167	перейдет в	1	1
168	как же	3	1
169	или не	1	1
170	наука о	1	1
171	свои права	1	1
172	слишком много	1	1
173	должно было	1	1
174	представляется нам	1	1
175	внешними причинами	1	1
176	не дает	1	1
177	характера это	1	1
178	в цельном	1	1
179	вот в	1	1
180	главным образом	2	1
181	него для	1	1
182	в силу	1	1
183	будет а	1	1
184	вопросом о	1	1
185	будто в	1	1
186	никак не	1	1
187	из тех	1	1
188	человек все	1	1
189	два типа	1	1
190	все то	1	1
191	хотелось бы	1	1
192	ни на	1	1
193	всему этому	1	1
194	и заключается	2	1
195	наконец в	1	1
196	и никак	1	1
197	только тогда	1	1
198	вступает в	1	1
199	этой задаче	1	1
200	он по	1	1
201	же время	1	1
202	тем же	1	1
203	не из	1	1
204	писателя не	1	1
205	не без	1	1
206	но одно	1	1
207	в виде	1	1
208	по существу	2	1
209	между собою	1	1
210	сама по	1	1
211	можно будет	1	1
212	это происходит	1	1
213	нельзя мыслить	1	1
214	вовсе не	1	1
215	мысли в	1	1
216	тем более	2	1
217	он говорит	1	1
218	она должна	1	1
219	в частности	2	1
220	право на	1	1
221	в области	1	1
222	же это	1	1
223	как живой	1	1
224	в целом	1	1
225	и наконец	1	1
226	что на	1	1
