N	4gram	Propp_Isto	Marksizm
1	бы то ни было	2	12
2	на самом же деле	1	5
3	в том что он	1	4
4	с одной стороны и	1	3
5	один и тот же	2	3
6	какой бы то ни	1	3
7	уже с самого начала	2	2
8	на этот вопрос мы	2	2
9	так же как и	1	2
10	но тем не менее	1	1
11	и в соответствии с	1	1
12	так как нам важно	1	1
13	не что иное как	3	1
14	является не чем иным	1	1
15	сам по себе а	1	1
16	но все же и	1	1
17	мы можем сказать что	1	1
18	так же обстоит дело	2	1
19	до сих пор мы	3	1
20	не сам по себе	1	1
21	не может быть признано	1	1
22	то же самое что	2	1
23	говоря уже о том	1	1
24	дело в том что	2	1
25	в большей или меньшей	1	1
26	во всех этих случаях	1	1
27	в тех случаях когда	1	1
28	уже о том что	1	1
29	не говоря уже о	1	1
30	в качестве столь же	1	1
31	к тому или иному	1	1
32	не чем иным как	1	1
33	связаны друг с другом	1	1
34	с другой же стороны	1	1
35	само нуждается в объяснении	1	1
36	не сами по себе	1	1
37	в соответствии с этим	1	1
38	они не могут быть	1	1
39	это не совсем так	1	1
40	прибавим от себя что	1	1
41	с одной стороны оно	1	1
42	приводит к тому что	1	1
43	мы перейдем к рассмотрению	1	1
44	мы не будем здесь	2	1
