N	2gram	Ircho_Kome	Morfolog
1	и т	11	62
2	может быть	16	61
3	т д	4	60
4	таким образом	13	26
5	т е	14	25
6	действующих лиц	8	22
7	могут быть	3	21
8	так как	6	20
9	мы имеем	1	19
10	не может	3	19
11	в этом	9	18
12	в этих	5	17
13	представляет собой	1	17
14	и в	40	17
15	и не	19	16
16	перед нами	1	14
17	с этим	5	14
18	прежде всего	8	14
19	по существу	1	13
20	связи с	3	12
21	и др	1	12
22	а не	1	11
23	заметить что	1	11
24	чаще всего	3	11
25	что в	12	10
26	то же	7	10
27	а затем	4	10
28	вопрос о	5	10
29	не всегда	2	10
30	но если	4	10
31	в том	19	10
32	так и	17	10
33	что и	10	10
34	в связи	3	10
35	то что	8	10
36	все же	7	9
37	с другой	7	9
38	из дома	1	9
39	но и	14	9
40	не только	12	8
41	в результате	5	8
42	ход действия	1	8
43	иногда в	1	8
44	мы не	4	8
45	в качестве	8	8
46	но не	3	8
47	в тех	5	8
48	а в	9	8
49	как мы	5	8
50	нет необходимости	2	7
51	один из	9	7
52	и здесь	6	7
53	если в	3	7
54	не могут	1	7
55	не менее	6	7
56	том что	19	7
57	потому что	8	7
58	по отношению	5	7
59	наряду с	7	7
60	точки зрения	7	7
61	как это	7	7
62	тем не	3	7
63	и этим	1	7
64	а также	5	7
65	отношению к	5	7
66	и другие	3	6
67	подобно тому	1	6
68	о том	12	6
69	большей частью	3	6
70	как бы	3	6
71	не все	2	6
72	но это	2	6
73	это не	2	6
74	в образе	4	6
75	в нашем	2	6
76	или в	5	6
77	и как	3	6
78	вовсе не	3	6
79	во всех	4	6
80	если мы	1	6
81	также и	1	6
82	в форме	2	6
83	во время	11	6
84	они и	1	5
85	из которых	5	5
86	другой стороны	6	5
87	в первом	2	5
88	вслед за	4	5
89	что он	11	5
90	как в	8	5
91	со стороны	3	5
92	видно что	1	5
93	то это	3	5
94	хотя бы	2	5
95	было бы	8	5
96	к тому	15	5
97	ничего не	4	5
98	что они	4	5
99	хотя и	6	5
100	тому что	4	5
101	ясно что	9	5
102	все эти	1	5
103	одна из	4	5
104	в поле	4	5
105	на его	5	5
106	об этом	2	5
107	№ здесь	1	5
108	в других	3	5
109	там где	1	5
110	мы можем	6	5
111	тому как	1	5
112	между тем	9	5
113	он не	5	5
114	далеко не	1	5
115	и затем	1	5
116	главным образом	4	5
117	в ходе	1	5
118	в целом	6	5
119	и ее	5	5
120	и к	2	4
121	пока же	2	4
122	на этом	3	4
123	как и	12	4
124	но все	4	4
125	ни одна	2	4
126	тем что	5	4
127	никто не	3	4
128	еще не	7	4
129	не является	2	4
130	тех же	4	4
131	того чтобы	4	4
132	говорить о	3	4
133	на пути	1	4
134	так же	4	4
135	он совершает	1	4
136	сказать что	1	4
137	следующим образом	1	4
138	на него	4	4
139	и для	4	4
140	из них	16	4
141	но в	6	4
142	к началу	1	4
143	несмотря на	5	4
144	на самом	1	4
145	его в	6	4
146	что его	1	4
147	встречается в	1	4
148	к этому	8	4
149	в то	14	4
150	№ и	2	4
151	мы уже	1	4
152	в руки	1	4
153	можно было	5	4
154	от того	3	4
155	могла бы	2	4
156	о его	5	4
157	независимо от	5	4
158	три года	2	4
159	всего это	1	3
160	то время	8	3
161	та же	1	3
162	в последнем	1	3
163	только что	2	3
164	с этой	3	3
165	и при	1	3
166	по всему	3	3
167	что это	5	3
168	это уже	2	3
169	в сущности	3	3
170	в живых	1	3
171	одному из	2	3
172	ни в	9	3
173	связывается с	1	3
174	с собой	2	3
175	только в	6	3
176	здесь мы	3	3
177	время как	6	3
178	из двух	2	3
179	если это	2	3
180	или на	2	3
181	и другим	1	3
182	в собственном	1	3
183	имеется в	1	3
184	на первый	1	3
185	первом случае	1	3
186	такие случаи	1	3
187	и что	2	3
188	для того	3	3
189	и тогда	1	3
190	целый ряд	2	3
191	состоит в	1	3
192	так например	1	3
193	же она	2	3
194	с его	4	3
195	для этой	3	3
196	к нему	5	3
197	бы то	4	3
198	то в	1	3
199	не происходит	1	3
200	что эти	1	3
201	они не	1	3
202	не слишком	1	3
203	а и	1	3
204	того что	1	3
205	ее в	2	3
206	у нас	3	3
207	же можно	1	3
208	в виде	3	3
209	а на	2	3
210	а то	3	3
211	здесь же	1	3
212	по мотивам	1	3
213	в какой	2	3
214	большинстве случаев	2	3
215	даже не	4	3
216	из дому	1	3
217	это было	5	3
218	и у	3	3
219	том случае	1	3
220	героя и	1	3
221	как уже	1	3
222	то ни	4	3
223	совсем не	2	3
224	в ход	1	3
225	если бы	4	3
226	вопрос как	1	3
227	друг друга	2	3
228	и тем	2	3
229	не в	8	3
230	в которой	9	3
231	на нем	2	3
232	а по	1	3
233	и их	3	3
234	в начале	7	3
235	в пределах	1	3
236	в большинстве	2	3
237	значение и	1	3
238	в этой	9	3
239	к ней	2	3
240	приводит к	1	3
241	же в	7	3
