N	3gram	Tiupa_Narr	KFilosof
1	по отношению к	6	22
2	не может быть	5	11
3	с точки зрения	2	10
4	может быть только	1	7
5	в отвлечении от	2	5
6	к нему в	1	4
7	по отношению ко	1	4
8	отношению к нему	1	4
9	того или иного	2	3
10	в этом смысле	1	3
11	один и тот	1	3
12	в данный момент	1	3
13	на самом деле	1	3
14	и тот же	1	3
15	и не быть	1	2
16	в том что	8	2
17	бы он ни	1	2
18	той или иной	4	2
19	он ни был	1	2
20	то или иное	2	2
21	мира в котором	1	2
22	дело здесь не	1	2
23	как событие в	1	2
24	тем не менее	3	2
25	в то же	3	2
26	включает в себя	1	2
27	событие может быть	1	2
28	события так и	1	2
29	в соответствии с	1	2
30	во всей его	1	2
31	то ни было	3	2
32	а не в	2	2
33	лишь постольку поскольку	1	2
34	бы то ни	3	2
35	то же время	3	2
36	мог бы быть	2	1
37	в свою очередь	3	1
38	мы не имеем	1	1
39	и как бы	1	1
40	в данном контексте	1	1
41	в конечном счете	2	1
42	по себе а	1	1
43	ее а не	1	1
44	а не как	1	1
45	в себя и	2	1
46	то же самое	1	1
47	во всех его	1	1
48	себя в другом	1	1
49	ту или иную	2	1
50	он не может	1	1
51	и не в	4	1
52	и небо и	1	1
53	в том же	1	1
54	в себе момент	1	1
55	между жизнью и	1	1
56	и должна быть	1	1
57	всей его полноте	1	1
58	независимо от того	1	1
59	всю свою жизнь	1	1
60	одного и того	1	1
61	как это было	1	1
62	до сих пор	1	1
63	как и на	2	1
64	в первом случае	2	1
65	дело в том	1	1
66	здесь не в	2	1
67	само по себе	1	1
68	не подлежит сомнению	1	1
69	не о том	1	1
70	и на чем	1	1
71	и тем самым	3	1
72	и в то	1	1
73	протекает именно в	1	1
74	пространства и времени	1	1
75	не было и	1	1
76	в нем не	1	1
77	и то что	1	1
78	и того же	1	1
79	не может не	2	1
80	возможна только в	1	1
81	а во втором	2	1
82	она может быть	1	1
83	события отнюдь не	1	1
84	не имеет для	1	1
85	в известном смысле	2	1
86	в этом последнем	1	1
87	никогда не было	1	1
88	но это не	1	1
89	в значительной степени	2	1
90	пока еще не	1	1
91	в основе своей	4	1
92	может быть и	1	1
