N	3gram	Tiupa_Teor	Poddanst
1	то же время	8	7
2	в то же	8	7
3	в отношении к	2	5
4	в том что	10	4
5	в сравнении с	1	3
6	с точки зрения	3	3
7	с одной стороны	3	3
8	в полной мере	1	2
9	заключается в том	1	2
10	заключает в себе	1	2
11	и в то	2	2
12	в том числе	3	2
13	одной стороны и	1	2
14	именно потому что	1	1
15	с тем же	1	1
16	не только мы	1	1
17	и в частности	1	1
18	но в то	2	1
19	и тем самым	2	1
20	том числе и	2	1
21	не может быть	5	1
22	– все это	1	1
23	в этом мире	2	1
24	та или иная	1	1
25	только в условиях	1	1
26	в большинстве случаев	1	1
27	мы видим в	1	1
28	том что в	1	1
29	в отличие от	7	1
30	в отдельности и	1	1
31	можно говорить о	1	1
32	в этом смысле	3	1
33	в xix веке	1	1
34	есть как бы	1	1
35	сколько бы ни	1	1
36	в русской культуре	1	1
37	между тем в	1	1
38	для того чтобы	5	1
39	ни к чему	1	1
40	видим в нем	1	1
41	и тем более	1	1
42	с другой стороны	6	1
43	тем и другим	1	1
44	в известном смысле	2	1
45	в настоящее время	1	1
46	но в отличие	1	1
47	более или менее	6	1
48	так же как	1	1
49	в душе своей	1	1
50	и теперь в	1	1
51	тот или иной	3	1
52	начала и конца	1	1
