N	2gram	Bakhtin_Fr	Psycholo
1	то что	11	193
2	и в	68	190
3	в том	12	163
4	что в	14	123
5	потому что	3	114
6	том что	6	113
7	и что	2	108
8	может быть	10	107
9	таким образом	22	102
10	в этом	28	100
11	то есть	31	97
12	все время	3	86
13	в самом	6	82
14	как бы	7	80
15	для того	5	78
16	того чтобы	6	78
17	что он	7	76
18	не только	21	75
19	на то	1	73
20	и не	25	73
21	самом деле	5	70
22	точки зрения	8	69
23	и т	1	69
24	не может	5	68
25	так же	3	63
26	так как	7	63
27	было бы	4	56
28	если бы	3	55
29	то же	14	54
30	о том	5	54
31	и мы	2	54
32	при этом	5	52
33	как и	17	51
34	что и	3	50
35	а не	6	50
36	что это	4	49
37	сказать что	3	46
38	по себе	1	46
39	только в	9	46
40	в сущности	15	46
41	заключается в	1	46
42	говорит что	1	45
43	не в	2	45
44	в этой	15	43
45	никогда не	2	42
46	и все	16	42
47	вместе с	4	41
48	как это	1	40
49	но и	17	40
50	с и	1	40
51	как раз	8	39
52	при помощи	1	39
53	того что	3	39
54	и это	5	37
55	мы видим	9	37
56	и как	5	36
57	с тем	1	35
58	вовсе не	18	34
59	как на	3	34
60	и если	2	34
61	и его	26	34
62	тому что	1	33
63	все же	6	33
64	что все	2	33
65	когда он	1	33
66	в себе	5	32
67	все это	6	32
68	художественного произведения	1	32
69	он не	11	31
70	мы не	3	31
71	в его	21	31
72	для нас	1	31
73	в ней	6	31
74	мы увидим	3	30
75	как будто	2	30
76	никак не	3	30
77	как в	4	30
78	с одной	5	29
79	и для	6	29
80	одной стороны	4	29
81	с точки	4	29
82	в нем	12	29
83	что они	3	28
84	и то	2	28
85	что мы	1	28
86	в своих	7	27
87	в основе	7	27
88	и на	16	27
89	а в	3	27
90	с другой	8	27
91	все то	2	27
92	так что	1	26
93	совершенно не	1	26
94	только что	1	25
95	и здесь	5	25
96	жизни и	6	25
97	до сих	6	24
98	с таким	3	24
99	до конца	10	24
100	тем что	6	24
101	указывает на	1	24
102	и совершенно	1	24
103	в целом	3	24
104	в своем	11	23
105	сих пор	6	23
106	из этого	3	23
107	один из	9	23
108	что оно	1	23
109	для этого	3	23
110	казалось бы	1	22
111	с этим	2	22
112	из них	8	22
113	что у	2	22
114	между тем	3	22
115	и даже	7	22
116	всякий раз	2	22
117	как она	2	22
118	в котором	3	21
119	том чтобы	1	21
120	той же	9	21
121	в своей	11	21
122	ни в	6	21
123	в конце	8	21
124	что эта	2	21
125	но только	2	21
126	как мы	18	21
127	и вот	4	21
128	и только	1	21
129	другой стороны	5	20
130	в то	14	20
131	тот же	4	20
132	мы имеем	2	20
133	дело с	2	20
134	несмотря на	1	20
135	на этом	3	20
136	там где	6	20
137	это не	5	20
138	все эти	16	20
139	в одном	7	19
140	мы уже	19	19
141	в ее	5	19
142	у него	14	19
143	он говорит	6	19
144	в которой	6	18
145	можно было	3	18
146	но в	20	18
147	на самом	7	18
148	но не	4	18
149	и есть	5	18
150	был бы	1	18
151	перед нами	4	18
152	видим что	2	18
153	есть не	1	18
154	в виду	8	17
155	во всяком	2	17
156	мы все	1	17
157	время как	1	17
158	что для	2	17
159	из этих	2	17
160	но это	5	17
161	одна из	3	17
162	только не	1	17
163	у нас	4	17
164	и о	5	17
165	и к	4	16
166	из которых	1	16
167	к этому	6	16
168	говорит о	2	16
169	самого начала	1	16
170	с самого	1	16
171	в таком	2	16
172	же как	1	16
173	и тем	1	16
174	не имеет	1	16
175	формы и	1	16
176	так и	8	16
177	тому как	2	16
178	от того	1	16
179	в результате	1	15
180	в них	19	15
181	только на	4	15
182	во всех	8	15
183	мы знаем	3	15
184	не могут	1	15
185	и так	5	15
186	о котором	2	15
187	и потому	6	15
188	далеко не	3	15
189	еще не	3	15
190	для него	7	15
191	в частности	4	15
192	в совершенно	1	14
193	хотя бы	2	14
194	одной и	2	14
195	но он	9	14
196	и той	2	14
197	главным образом	3	14
198	то время	1	14
199	в художественном	3	14
200	это и	4	14
201	того как	1	14
202	прежде всего	23	14
203	такой же	3	14
204	что на	2	14
205	те же	6	14
206	в жизни	1	14
207	показывает что	1	14
208	это есть	2	14
209	всяком случае	2	14
210	этом отношении	4	14
211	с той	1	14
212	или в	3	14
213	в области	5	14
214	с ним	3	14
215	само по	1	14
216	именно в	5	13
217	не могли	1	13
218	с здесь	1	13
219	могла бы	1	13
220	отнюдь не	1	13
221	с такой	1	13
222	знаем что	1	13
223	в той	7	13
224	и он	2	13
225	говорит он	2	13
