N	3gram	Losev_Prob	Hudozhes
1	в том что	7	8
2	в то же	4	7
3	с другой стороны	7	6
4	более или менее	7	6
5	той или иной	5	5
6	для того чтобы	9	5
7	так или иначе	7	4
8	того или иного	6	4
9	не может быть	5	4
10	мы имеем в	1	3
11	с точки зрения	3	3
12	в этом смысле	8	3
13	имеем в виду	1	3
14	и в самом	2	3
15	в том числе	2	3
16	тем не менее	25	3
17	можно сказать что	6	3
18	и то же	1	3
19	одного и того	2	3
20	отношение знака к	4	3
21	одно и то	1	3
22	подобно тому как	2	3
23	несет в себе	1	3
24	и того же	2	3
25	в связи с	7	3
26	с одной стороны	4	3
27	тот или иной	3	3
28	в той или	1	2
29	бы то ни	2	2
30	в данном контексте	1	2
31	до известной степени	1	2
32	в данный момент	1	2
33	в том и	1	2
34	но и любые	1	2
35	в самом деле	4	2
36	во всех подобных	1	2
37	в таком случае	14	2
38	внутренней и внешней	1	2
39	ни одно слово	1	2
40	том числе и	2	2
41	тех или иных	2	2
42	и в то	1	2
43	во всей его	1	2
44	а с другой	1	2
45	сама по себе	6	2
46	к тому что	1	2
47	в известном смысле	1	2
48	в основе своей	1	2
49	мы имеем дело	1	2
50	может быть и	5	2
51	точно так же	7	1
52	собственно говоря только	1	1
53	и не быть	1	1
54	может и не	1	1
55	чтобы оно стало	1	1
56	может быть это	1	1
57	может быть определен	1	1
58	о том о	1	1
59	больше и больше	1	1
60	и как бы	2	1
61	отнюдь не в	1	1
62	то есть в	6	1
63	далеко не всякий	3	1
64	и потому что	1	1
65	и тем же	2	1
66	тоже является знаком	1	1
67	даже сказать что	1	1
68	еще не есть	5	1
69	что по своему	1	1
70	та или иная	1	1
71	лежат в основе	1	1
72	в противоречие с	1	1
73	точки зрения логики	1	1
74	обратим внимание на	1	1
75	по крайней мере	8	1
76	было и не	1	1
77	заключается в том	2	1
78	ту же самую	1	1
79	один из видов	1	1
80	в самом начале	1	1
81	говоря и является	1	1
82	но в таком	7	1
83	при этом что	1	1
84	о том что	16	1
85	то или иное	2	1
86	которые лежат в	1	1
87	в последние десятилетия	2	1
88	чем собственно говоря	1	1
89	в ее внутренней	1	1
90	в отдельности и	1	1
91	определенного смысла и	1	1
92	для которого он	1	1
93	или иной мере	1	1
94	одной стороны и	2	1
95	отношений которые в	1	1
96	отчет в том	1	1
97	именно такого рода	1	1
98	имеет дело со	1	1
99	как и в	1	1
100	то есть как	1	1
101	ни к каким	1	1
102	как один из	1	1
103	не все что	1	1
104	в таких случаях	2	1
105	уходит своими корнями	1	1
106	не является ни	1	1
107	о чем подробно	1	1
108	и тем более	2	1
109	тем и другим	2	1
110	в этом втором	1	1
111	связи с этим	2	1
112	в этих случаях	3	1
113	друг от друга	1	1
114	в настоящее время	17	1
115	не совпадает с	2	1
116	в то время	2	1
117	мы встречаемся с	1	1
118	в душе своей	1	1
119	каждая из этих	1	1
120	момент для понимания	1	1
121	в жизни человека	1	1
122	имеем дело не	1	1
123	всегда так или	1	1
124	с которыми он	1	1
125	именно в этом	2	1
126	в самом общем	1	1
127	в том случае	2	1
128	семантики лингвистических единиц	1	1
129	не что иное	5	1
130	и в частности	3	1
131	одним и тем	2	1
132	по своей структуре	1	1
133	иметь в виду	4	1
134	таким образом что	2	1
135	но в то	1	1
136	в сравнении с	1	1
137	содержит в себе	7	1
138	как раз в	1	1
139	в зависимости от	1	1
140	том о чем	1	1
141	нет в его	1	1
142	чего нет в	1	1
143	так же как	2	1
144	в себе никакого	1	1
145	однако и в	1	1
146	и тем самым	4	1
147	можно даже сказать	2	1
148	уже не просто	1	1
149	в том или	1	1
150	своими корнями в	1	1
151	не было и	1	1
152	в этом случае	6	1
153	можно говорить о	2	1
154	во всей своей	1	1
155	а в том	1	1
156	если он не	1	1
157	к тому же	1	1
158	не только на	1	1
159	есть не что	5	1
160	в первую очередь	1	1
161	не могут быть	1	1
162	в частности в	2	1
163	между внутренней и	1	1
164	на первый взгляд	2	1
165	то же самое	9	1
166	том случае если	1	1
167	по своему смыслу	2	1
168	том или ином	1	1
169	что иное как	5	1
170	еще и потому	1	1
171	и на его	2	1
172	только то что	6	1
173	не только такие	1	1
174	в искусстве не	1	1
175	только о том	1	1
176	но в силу	1	1
177	и не субъективно	1	1
178	перед нами не	1	1
179	а не только	2	1
180	является одним из	1	1
181	имея в виду	1	1
182	по содержанию своему	2	1
183	иной раз и	1	1
184	предстают перед нами	1	1
185	и в том	1	1
186	также еще и	1	1
187	а иной раз	1	1
188	в чистом виде	3	1
189	это было бы	2	1
