1	к тому что	2	3
2	то что мы	1	3
3	в том что	25	2
4	по этому пути	2	2
5	ведет по пути	1	2
6	но и в	5	2
7	том что он	4	2
8	а между тем	2	2
9	как бы и	1	2
10	уже не с	1	1
11	но прежде всего	1	1
12	в конце концов	1	1
13	в прошлом и	1	1
14	по крайней мере	9	1
15	мы видим что	1	1
16	то что во	1	1
17	и вместе с	1	1
18	что они в	1	1
19	хотя бы и	3	1
20	не совместима с	1	1
21	уже и не	1	1
22	вместе с тем	1	1
23	так и в	1	1
24	и теперь в	1	1
25	не могут быть	3	1
26	в этом мире	1	1
27	есть одна из	1	1
28	других людей в	1	1
29	бог не есть	1	1
30	в своей истории	1	1
31	и в этом	4	1
32	после того как	1	1
33	как бы в	1	1
34	бы то ни	3	1
35	то и другое	1	1
36	свободного выбора в	1	1
37	с другой стороны	9	1
38	вслед за ним	1	1
39	в известном смысле	4	1
40	и каким образом	1	1
41	идет по этому	1	1
42	как и в	8	1
43	в них и	1	1
44	и в форме	2	1
45	в xx веке	1	1
