N	2gram	Potebnia_M	Tragedij
1	и в	58	18
2	в этом	18	9
3	не только	32	8
4	и на	8	7
5	и не	34	7
6	может быть	47	7
7	и с	3	7
8	как бы	12	7
9	что он	5	6
10	у него	3	6
11	же время	4	6
12	в образе	1	6
13	но в	12	6
14	и его	7	6
15	это не	10	5
16	несмотря на	5	5
17	что это	5	5
18	так и	17	5
19	все же	11	5
20	то же	13	5
21	как и	16	5
22	не может	30	5
23	в то	6	5
24	что в	34	4
25	в себе	22	4
26	и даже	4	4
27	все это	3	4
28	прежде всего	8	4
29	и все	6	4
30	об этом	1	4
31	еще не	9	4
32	но и	26	4
33	том что	21	4
34	и что	13	4
35	так же	7	4
36	то что	24	4
37	в этой	3	4
38	что я	2	4
39	в нем	26	4
40	но это	7	4
41	в целом	3	4
42	что с	3	3
43	один из	2	3
44	должно быть	9	3
45	уже в	5	3
46	в его	7	3
47	для него	13	3
48	в своем	3	3
49	с ним	7	3
50	что вы	1	3
51	и сам	1	3
52	что за	3	3
53	iii в	1	3
54	и как	11	3
55	в мире	3	3
56	как в	18	3
57	никто не	3	3
58	то есть	69	3
59	при этом	17	3
60	как это	1	3
61	тем самым	6	3
62	с ее	2	3
63	мог бы	5	3
64	как будто	2	3
65	все эти	3	3
66	к нему	2	3
67	в самом	5	2
68	не так	6	2
69	вместе со	3	2
70	и то	4	2
71	ребенка и	1	2
72	в душе	28	2
73	и здесь	1	2
74	и за	1	2
75	в том	38	2
76	это уже	1	2
77	с тем	9	2
78	в ее	2	2
79	по мнению	4	2
80	что и	16	2
81	из своих	2	2
82	отказывается от	1	2
83	ни в	2	2
84	но при	3	2
85	отвечает ему	1	2
86	к области	1	2
87	по словам	1	2
88	что все	4	2
89	не могут	10	2
90	в виде	1	2
91	его в	3	2
92	как же	1	2
93	не в	23	2
94	но этого	1	2
95	в первом	5	2
96	но все	4	2
97	даже на	1	2
98	но эта	1	2
99	было в	1	2
100	еще в	1	2
101	в таком	7	2
102	между этими	2	2
103	ничем не	2	2
104	этими двумя	1	2
105	одном из	3	2
106	вопрос о	5	2
107	вряд ли	2	2
108	состоит из	1	2
109	имеет в	1	2
110	и это	3	2
111	она как	1	2
112	под влиянием	10	2
113	уже не	4	2
114	к тому	5	2
115	о том	6	2
116	перед нами	1	2
117	с первого	1	2
118	а что	1	2
119	не имеет	9	2
120	что эти	1	2
121	в данном	1	2
122	ее к	1	2
123	только к	1	2
124	что этот	1	2
125	отличие от	1	2
126	раз и	1	2
127	то и	15	2
128	потому что	89	2
129	боли и	2	2
130	так что	23	2
131	он не	4	2
132	по поводу	7	2
133	если б	7	2
134	пусть мы	1	2
135	на меня	1	2
136	точно так	18	2
137	в одном	13	2
138	говорит что	1	2
139	и до	1	2
140	в отличие	1	2
141	отношение к	1	2
142	в ходе	1	2
143	не за	1	2
144	о его	2	2
145	в глазах	4	2
146	столь же	6	2
147	что она	3	2
148	одна из	4	2
149	с его	3	2
150	а как	3	2
151	не мог	3	2
152	тем что	15	2
153	только о	2	2
154	и ее	1	2
155	никогда не	7	2
156	ничего не	2	2
157	жизнью и	1	2
158	друг друга	6	2
159	любви и	1	2
160	в той	1	1
161	для самого	5	1
162	в особенности	1	1
163	все в	2	1
164	во всем	5	1
165	это могло	1	1
166	им как	2	1
167	то в	6	1
168	от нее	6	1
169	от него	8	1
170	важнее для	1	1
171	в характеристику	1	1
172	могут быть	17	1
173	только не	2	1
174	проникает в	1	1
175	в последующих	1	1
176	не нашел	1	1
177	мы бы	3	1
178	к сожалению	1	1
179	взгляд на	2	1
180	мы видим	5	1
181	и прямо	1	1
182	а теперь	1	1
183	что оно	5	1
184	что ему	2	1
185	для ребенка	1	1
186	таким образом	21	1
187	мог быть	1	1
188	смотреть на	1	1
189	в ребенке	5	1
190	например что	3	1
191	сосредоточился в	2	1
192	что наконец	1	1
193	перед собою	2	1
194	после того	3	1
195	только что	4	1
196	на вопрос	3	1
197	его самого	2	1
198	также что	2	1
199	известно что	3	1
200	и эту	1	1
201	не нужен	2	1
202	того как	12	1
203	к этой	3	1
204	если он	1	1
205	перестает быть	3	1
206	с одной	7	1
207	его с	3	1
208	что даже	2	1
209	должна быть	4	1
210	но еще	1	1
211	к себе	1	1
212	с такой	1	1
213	он считает	1	1
214	что уже	1	1
215	с этой	3	1
216	при самом	5	1
217	и при	6	1
218	другие и	1	1
219	ко всему	1	1
220	и должно	2	1
221	дело с	2	1
222	в применении	3	1
223	начала и	1	1
224	собаки в	1	1
225	это часто	1	1
226	с образом	1	1
227	на деле	6	1
228	что при	6	1
229	с этими	1	1
230	того что	15	1
231	сам по	5	1
232	тем не	11	1
233	не вызывает	1	1
234	о нем	1	1
235	нам еще	1	1
236	не как	4	1
237	так можно	1	1
238	всегда быть	1	1
239	для нас	29	1
240	может так	1	1
241	где он	2	1
242	по-видимому не	1	1
243	и всегда	3	1
244	в человеке	14	1
245	одно из	5	1
246	на одной	1	1
247	как он	5	1
