N	2gram	Vygotskiy_	PoTuStor
1	может быть	19	17
2	и в	37	16
3	и пр	2	12
4	таким образом	39	9
5	в этом	32	9
6	прежде всего	12	9
7	мы можем	11	9
8	и только	2	9
9	совершенно не	1	8
10	точки зрения	49	8
11	и с	10	8
12	не может	16	8
13	и его	10	8
14	не только	29	7
15	фрейд и	1	7
16	сказать что	16	7
17	с его	7	7
18	и к	9	6
19	при этом	6	6
20	для него	5	6
21	самом деле	8	6
22	я и	1	6
23	и это	3	6
24	конечно не	1	6
25	с точки	34	6
26	что такое	1	5
27	ни в	6	5
28	все эти	6	5
29	только для	6	5
30	в чем	5	5
31	еще не	1	5
32	как бы	16	5
33	ту сторону	2	5
34	нуждается в	2	5
35	а потому	1	4
36	все что	4	4
37	для всех	8	4
38	и на	8	4
39	так как	11	4
40	все это	9	4
41	в его	16	4
42	жизни человека	2	4
43	мысли и	7	4
44	так и	12	4
45	на самом	4	4
46	по ту	2	4
47	и даже	5	4
48	и все	7	4
49	только в	8	4
50	и желаний	1	4
51	и не	15	4
52	но мы	4	4
53	можно сказать	6	4
54	с самого	9	4
55	но и	23	4
56	хотя бы	7	4
57	и их	5	4
58	самого начала	9	4
59	в этой	13	4
60	как мы	11	4
61	отнюдь не	2	4
62	в нем	2	4
63	с ее	3	4
64	в один	4	4
65	и ее	9	4
66	и наконец	3	4
67	но в	9	4
68	и вот	3	3
69	ребенка и	8	3
70	до сих	4	3
71	на язык	2	3
72	в основном	1	3
73	к себе	2	3
74	в том	47	3
75	мы знаем	3	3
76	полагаем что	1	3
77	те же	2	3
78	с другими	5	3
79	с их	2	3
80	представлений и	1	3
81	на этой	2	3
82	между ними	2	3
83	в конечном	4	3
84	их в	6	3
85	отношения к	3	3
86	этом смысле	3	3
87	учение о	4	3
88	и как	7	3
89	что в	25	3
90	том что	42	3
91	вместе с	14	3
92	на этом	3	3
93	в этих	3	3
94	мира и	2	3
95	сравнению с	9	3
96	и оно	1	3
97	во всех	4	3
98	во всяком	6	3
99	и потому	3	3
100	реальности и	1	3
101	в основе	9	3
102	тех же	3	3
103	только как	1	3
104	по сравнению	10	3
105	по крайней	1	3
106	назад в	1	3
107	и теперь	2	3
108	как это	6	3
109	только на	1	3
110	в одном	5	3
111	и значение	2	3
112	пр и	1	3
113	а в	4	3
114	то что	32	3
115	мы полагаем	1	3
116	на две	3	3
117	и др	5	3
118	могут быть	5	3
119	у фрейда	2	3
120	и есть	2	3
121	сих пор	4	3
122	в общем	5	3
123	жизни и	2	3
124	в области	4	3
125	чувств и	1	3
126	всяком случае	5	3
127	во время	1	3
128	крайней мере	1	3
129	едва ли	5	3
130	в самом	16	2
131	в свое	1	2
132	сущность его	1	2
133	мы видим	7	2
134	что оно	6	2
135	и этот	1	2
136	и мы	3	2
137	к другим	1	2
138	на протяжении	3	2
139	почти не	1	2
140	т.е в	1	2
141	возникает в	2	2
142	мы не	13	2
143	с этой	7	2
144	ни было	1	2
145	что это	8	2
146	ее в	3	2
147	и говорить	1	2
148	в область	1	2
149	может иметь	1	2
150	для нас	4	2
151	но как	1	2
152	что и	3	2
153	сознания и	4	2
