N	4gram	Vygotskiy_	Sovremen
1	по самому своему существу	1	1
2	с самого начала от	1	1
3	таким образом один и	1	1
4	как и во всей	1	1
5	но тем не менее	1	1
6	то же самое что	1	1
7	все более и более	3	1
8	дело в том что	2	1
9	мы видели далее что	1	1
10	бы то ни было	1	1
11	одной и той же	2	1
12	и в то же	1	1
13	с одной стороны и	3	1
14	совершенно так же как	1	1
15	в то же время	1	1
16	в такой же мере	3	1
17	образом один и тот	1	1
18	развития в зависимости от	1	1
19	развития с точки зрения	1	1
20	один и тот же	1	1
