N	4gram	Tiupa_Anal	VerxiiNi
1	в том числе и	1	4
2	и вместе с тем	1	3
3	бы то ни было	3	2
4	с этой точки зрения	2	2
5	в то же время	7	2
6	в том виде в	1	2
7	свидетельствует о том что	1	1
8	можно сказать что в	1	1
9	состоит в том что	6	1
10	человека для того чтобы	1	1
11	по крайней мере в	1	1
12	то же время он	1	1
13	самое следует сказать и	1	1
14	широком смысле этого слова	1	1
15	том виде в каком	1	1
16	но в то же	2	1
17	в широком смысле этого	1	1
18	мы имеем в виду	1	1
19	одного и того же	2	1
20	следует сказать и о	1	1
21	в том или ином	3	1
22	один и тот же	1	1
