N	3gram	Vinokur_Vv	SlovoVZh
1	по отношению к	4	11
2	не может быть	10	7
3	можно сказать что	3	5
4	в том что	15	4
5	дело в том	3	4
6	так как если	1	4
7	как если бы	1	4
8	то ни было	1	3
9	до сих пор	7	3
10	этой точки зрения	2	3
11	и не в	1	3
12	бы то ни	1	3
13	тем не менее	9	3
14	может быть и	2	3
15	находит свое выражение	1	2
16	имеем в виду	1	2
17	на самом деле	1	2
18	одной стороны и	3	2
19	то же самое	3	2
20	с этой стороны	1	2
21	одно и то	2	2
22	в данном случае	4	2
23	в зависимости от	3	2
24	с одной стороны	4	2
25	с другой стороны	5	2
26	и то же	2	2
27	с точки зрения	4	2
28	в настоящее время	1	2
29	сам по себе	2	1
30	это только одна	1	1
31	но что собственно	1	1
32	всего именно в	1	1
33	о том что	13	1
34	ни было области	1	1
35	в самом деле	6	1
36	в науке о	1	1
37	которая нуждается в	1	1
38	совершенно ясно что	1	1
39	имеет дело с	2	1
40	чтобы убедиться в	1	1
41	таким образом мы	1	1
42	только одна сторона	1	1
43	в свою очередь	2	1
44	в руках у	1	1
45	по себе не	1	1
46	но уже в	1	1
47	а между тем	2	1
48	что не только	1	1
49	ее отношении к	2	1
50	как мы уже	2	1
51	какой бы то	1	1
52	сама по себе	3	1
53	в том же	1	1
54	во всяком случае	5	1
55	таким образом для	1	1
56	но в то	3	1
57	науке о литературе	1	1
58	имеем дело с	1	1
59	как уже сказано	1	1
60	в лучшем случае	1	1
61	как на нечто	1	1
62	от его содержания	1	1
63	прежде всего именно	1	1
64	в ее отношении	1	1
65	только то что	1	1
66	подобно тому как	2	1
67	с самого начала	1	1
68	руках у нас	1	1
69	социального общения в	1	1
70	зависимости от того	1	1
71	при более широком	1	1
72	можно было бы	4	1
73	на вещи и	1	1
74	в этом отношении	4	1
75	но зато она	1	1
76	так же как	1	1
77	если бы оно	1	1
78	то же время	6	1
79	свое выражение в	1	1
80	уже и сейчас	1	1
81	все зависит от	1	1
82	тех или иных	3	1
83	здесь таким образом	1	1
84	и прежде всего	1	1
85	более или менее	1	1
86	но и в	1	1
87	в них и	1	1
88	в то же	6	1
89	мы имеем в	1	1
90	в значительной степени	1	1
91	это прежде всего	1	1
92	том что в	1	1
93	мы имеем дело	1	1
94	так как в	1	1
95	но если бы	1	1
96	и в этом	4	1
97	в обоих этих	1	1
98	по крайней мере	4	1
99	в частности в	1	1
100	и тогда когда	1	1
101	в этом смысле	10	1
102	но все же	4	1
103	может быть более	1	1
104	другой стороны как	1	1
105	может быть только	1	1
