N	2gram	Nazirov_Vr	Morfolog
1	может быть	4	61
2	таким образом	2	26
3	т е	3	25
4	могут быть	1	21
5	не может	2	19
6	в этом	8	18
7	в этих	1	17
8	и в	8	17
9	и не	5	16
10	с этим	1	14
11	прежде всего	1	14
12	при помощи	2	12
13	связи с	3	12
14	что в	7	10
15	то же	5	10
16	не всегда	1	10
17	в том	3	10
18	так и	1	10
19	в связи	3	10
20	то что	7	10
21	все же	6	9
22	с другой	1	9
23	но и	7	9
24	не только	9	8
25	в качестве	1	8
26	но не	1	8
27	а в	2	8
28	нет необходимости	1	7
29	один из	1	7
30	если в	1	7
31	не менее	2	7
32	том что	3	7
33	потому что	1	7
34	наряду с	3	7
35	точки зрения	2	7
36	тем не	1	7
37	а также	2	7
38	о том	4	6
39	как бы	4	6
40	не все	1	6
41	но это	2	6
42	это не	4	6
43	с точки	2	6
44	и как	3	6
45	во всех	1	6
46	также и	1	6
47	в форме	1	6
48	во время	2	6
49	героя в	1	5
50	этот момент	2	5
51	из которых	1	5
52	другой стороны	1	5
53	вслед за	1	5
54	начинается с	1	5
55	что он	4	5
56	как в	1	5
57	было бы	1	5
58	ничего не	1	5
59	что они	1	5
60	не будем	1	5
61	хотя и	1	5
62	ясно что	1	5
63	одна из	2	5
64	об этом	5	5
65	между тем	5	5
66	он не	3	5
67	далеко не	3	5
68	в целом	1	5
69	и ее	2	5
70	как и	6	4
71	обращается в	1	4
72	тем что	3	4
73	никто не	1	4
74	уже не	2	4
75	еще не	2	4
76	говорить о	1	4
77	так же	4	4
78	из них	2	4
79	но в	6	4
80	несмотря на	4	4
81	его в	3	4
82	к этому	3	4
83	в то	5	4
84	от того	1	4
85	независимо от	1	4
86	заметим что	1	3
87	то время	1	3
88	только что	1	3
89	что это	1	3
90	одному из	1	3
91	из двух	1	3
92	если это	1	3
93	в бою	1	3
94	имеется в	1	3
95	возникает вопрос	1	3
96	но мы	1	3
97	на первый	2	3
98	и что	8	3
99	целый ряд	4	3
100	с его	3	3
101	к нему	1	3
102	то в	1	3
103	первый взгляд	1	3
104	о помощи	1	3
105	они не	1	3
106	не слишком	1	3
107	того что	1	3
108	с просьбой	1	3
109	но как	2	3
110	это и	1	3
111	и есть	1	3
112	как же	2	3
113	но для	1	3
114	это было	1	3
115	и у	3	3
116	совсем не	1	3
117	друг друга	1	3
118	и их	1	3
119	в начале	6	3
120	в этой	2	3
121	же в	2	3
122	на то	3	3
123	и его	3	3
124	и этот	1	2
125	с героем	1	2
126	с предложением	1	2
127	или по	1	2
128	вопросу о	1	2
129	не с	1	2
130	в своих	4	2
131	в россии	5	2
132	но вот	1	2
133	в числе	1	2
134	мы получаем	1	2
135	в в	2	2
136	их в	2	2
137	вряд ли	1	2
138	не имеет	1	2
139	в итоге	1	2
140	роль в	1	2
141	в каком	1	2
142	во сне	1	2
143	во всяком	1	2
144	его и	2	2
145	того как	1	2
146	сразу же	1	2
147	что этот	1	2
148	на той	1	2
149	д в	1	2
150	том как	1	2
151	к себе	2	2
152	точно так	1	2
153	в одном	1	2
154	тогда как	2	2
155	в обоих	1	2
156	второй раз	1	2
157	что же	1	2
158	или вообще	1	2
159	из первых	1	2
160	на этот	1	2
161	всяком случае	1	2
162	себя в	1	2
163	для него	2	2
164	в свое	1	2
165	ответ на	2	2
166	собой в	1	2
167	этом отношении	1	2
168	для нас	4	2
169	все это	4	2
170	но с	1	2
171	этого не	1	2
172	в другую	1	2
173	одним из	3	2
174	просьбой о	1	2
175	также в	1	2
176	же быть	1	2
177	у него	5	2
178	по своему	1	2
179	к вопросу	1	2
180	в чем	3	2
181	бы в	1	2
182	рассказы о	1	2
183	а с	2	2
184	и даже	6	2
185	что ни	1	2
186	быть и	1	2
187	в частности	1	2
188	что эта	1	2
189	один раз	1	2
190	встреча с	1	2
191	б в	1	2
192	можно бы	1	2
193	однако в	1	2
194	это можно	1	2
195	что о	1	2
196	другой не	1	2
197	но они	1	2
198	в одну	2	2
199	во второй	1	2
200	в той	2	1
201	в особенности	1	1
202	который их	1	1
203	во всем	1	1
204	этот материал	1	1
205	все что	1	1
206	для всех	1	1
207	труд и	1	1
208	до сих	1	1
209	еще раз	1	1
210	можно говорить	1	1
211	в рассказе	1	1
212	этот закон	1	1
213	в момент	2	1
214	рассказ о	1	1
215	за исключением	1	1
216	его с	2	1
217	некоторые мотивы	1	1
218	и далее	2	1
219	при этом	4	1
220	или а	1	1
221	и был	1	1
222	в другой	1	1
223	но ведь	1	1
224	не являются	1	1
225	родной дочери	1	1
226	он лишь	1	1
227	за это	1	1
228	в них	2	1
