N	3gram	Nazirov_Vr	Problema
1	тем не менее	1	56
2	о том что	1	39
3	в том что	2	37
4	в связи с	3	29
5	по крайней мере	1	26
6	во всяком случае	1	25
7	с другой стороны	1	25
8	с точки зрения	2	25
9	в конце концов	1	23
10	и то что	1	20
11	на то что	1	19
12	в этом смысле	1	19
13	в то же	4	17
14	точно так же	1	16
15	до сих пор	1	14
16	не может быть	2	12
17	и в этом	1	12
18	в то время	1	12
19	или по крайней	1	11
20	не только не	1	10
21	может быть и	1	9
22	заключается в том	1	8
23	о том как	1	7
24	имеется в виду	1	7
25	это и есть	1	7
26	и то же	1	6
27	это то что	1	6
28	на первый план	1	6
29	на первый взгляд	1	6
30	в этом отношении	1	6
31	в литературе и	1	5
32	на этот раз	1	5
33	и о том	2	5
34	так же как	1	5
35	только при помощи	1	5
36	одно и то	1	5
37	что в нем	1	5
38	что это за	1	4
39	связи с этим	1	4
40	все же не	1	4
41	не было бы	1	4
42	а с другой	1	4
43	равно как и	1	4
44	в это время	1	4
45	имел в виду	3	3
46	всего то что	1	3
47	но это не	1	3
48	нет ничего общего	1	3
49	ничего общего ни	1	3
50	тем что он	1	3
51	что у человека	1	3
52	общего ни с	1	3
53	это не просто	1	3
54	и в то	1	3
55	и никогда не	1	3
56	в известном смысле	1	3
57	в русской литературе	3	3
58	далеко не все	1	3
59	но в то	2	3
60	войне и мире	1	2
61	и во всем	1	2
62	не имеет никаких	1	2
63	в войне и	1	2
64	как и у	3	2
65	и что в	2	2
66	и все же	5	2
67	все равно не	1	2
68	в том же	1	2
69	говорит о себе	1	2
70	в свою очередь	1	2
71	и не может	1	2
72	а следовательно и	1	2
73	но для нас	1	2
74	как раз в	2	2
75	и в самом	1	2
76	и что он	1	2
77	тем самым он	1	1
78	о котором уже	1	1
79	преступлении и наказании	1	1
80	записках из подполья	1	1
81	что в ней	1	1
82	тех пор мы	1	1
83	в этой сцене	1	1
84	но при этом	1	1
85	а между тем	1	1
86	речь идет о	1	1
87	еще не знали	1	1
88	быть и речи	1	1
89	что в этой	1	1
90	преступление и наказание	1	1
91	был знаком и	1	1
92	в разные периоды	1	1
93	к вопросу о	1	1
94	в той же	1	1
95	что уже в	1	1
96	достоевский прежде всего	1	1
97	в ту эпоху	1	1
98	и гораздо больше	1	1
99	факт остается фактом	1	1
100	тургенева и некрасова	2	1
101	года в москве	1	1
102	дон кихота сервантеса	1	1
103	чуть было не	1	1
104	и в котором	1	1
105	к себе на	1	1
106	уже в году	1	1
107	у тургенева и	1	1
108	не только как	1	1
109	тургенев и некрасов	2	1
110	в году в	2	1
111	бы его в	1	1
112	есть еще один	1	1
113	чтобы он стал	1	1
114	и это было	1	1
115	в котором он	1	1
116	мыслей и чувств	1	1
117	в полтаве пушкина	1	1
118	я не знаю	1	1
119	все же в	1	1
120	что они не	1	1
121	дневник лишнего человека	2	1
122	с тех пор	1	1
123	то же время	4	1
124	что у него	1	1
125	он не только	2	1
126	в третий раз	1	1
127	не только от	1	1
128	в мировой литературе	1	1
129	то же только	1	1
130	между прочим и	1	1
131	в свете этой	1	1
132	как он сам	1	1
133	едва ли не	1	1
134	то что я	1	1
135	по нашему мнению	1	1
136	в преступлении и	1	1
