N	3gram	Tiupa_Anal	VelikijI
1	к тому что	2	3
2	то что мы	1	3
3	в том что	13	2
4	а между тем	1	2
5	но и в	3	2
6	том что он	2	2
7	по этому пути	1	2
8	уже не с	1	1
9	вслед за ним	1	1
10	но прежде всего	1	1
11	вместе с тем	1	1
12	не совместима с	1	1
13	и вместе с	1	1
14	в xx веке	1	1
15	как и в	2	1
16	по крайней мере	4	1
17	не могут быть	2	1
18	то и другое	1	1
19	хотя бы и	1	1
20	других людей в	1	1
21	с другой стороны	2	1
22	в известном смысле	2	1
23	бы то ни	3	1
24	в своей истории	1	1
25	уже и не	1	1
26	и в этом	4	1
