N	3gram	Berdyaev_V	Problemy
1	в конце концов	1	11
2	с другой стороны	1	9
3	в том что	2	8
4	бы то ни	1	7
5	и т д	2	7
6	как бы в	1	7
7	и в этом	1	7
8	том что он	2	6
9	хотя бы и	1	5
10	по крайней мере	1	5
11	но все же	1	5
12	так и в	1	4
13	а между тем	2	4
14	как и в	1	4
15	ивана карамазова и	1	3
16	и все это	1	3
17	того что он	1	3
18	то что я	2	3
19	для него не	1	2
20	проявляется и в	1	2
21	так как не	2	2
22	вместе с тем	1	2
23	к тому что	3	2
24	и во всяком	1	2
25	не в силах	2	2
26	раз и навсегда	1	2
27	сознании и в	1	2
28	менее всего можно	1	1
29	и в жизни	1	1
30	нет этих черт	1	1
31	если б и	1	1
32	и нет этих	1	1
33	есть то что	1	1
34	по сравнению с	1	1
35	и великого инквизитора	1	1
36	знает может быть	1	1
37	что он так	1	1
38	во что бы	1	1
39	уже и не	1	1
40	реакция на нее	1	1
41	всех людей он	1	1
42	вместо того чтобы	2	1
43	и вместе с	1	1
44	в нем нет	2	1
45	в этом мире	1	1
46	и в форме	1	1
47	и никогда не	1	1
48	я ничего не	1	1
49	в последнем же	1	1
50	с ними как	1	1
51	и есть то	1	1
52	в платоновском смысле	1	1
53	по этому пути	2	1
54	его личности и	1	1
55	то ни стало	1	1
56	т д и	1	1
57	за то что	3	1
58	но прежде всего	1	1
59	в известном смысле	1	1
60	то что ты	1	1
61	великого инквизитора и	2	1
62	но и в	2	1
63	в сознании и	1	1
64	и менее всего	1	1
65	и не было	1	1
66	не к тому	1	1
67	то и другое	1	1
68	что бы то	1	1
69	это еще не	2	1
70	легенда о великом	2	1
71	да и то	1	1
72	очень важное место	1	1
73	есть прежде всего	1	1
74	его и не	1	1
75	и что в	1	1
76	не могут быть	1	1
77	и сам это	1	1
78	о великом инквизиторе	4	1
79	хоть и не	1	1
80	не верит что	1	1
81	после того как	1	1
