N	3gram	Propp_Russ	Russkaja
1	друг с другом	1	14
2	с точки зрения	3	9
3	в том что	27	7
4	на самом деле	1	6
5	во всяком случае	1	6
6	для того чтобы	6	6
7	а между тем	1	5
8	не может быть	1	4
9	на то что	2	4
10	более или менее	1	4
11	вместе с тем	10	3
12	можно было бы	2	3
13	в данном случае	7	3
14	в этом случае	9	3
15	не может не	1	3
16	и в том	2	2
17	ни одна из	2	2
18	точно так же	1	2
19	в большинстве случаев	2	2
20	но она не	1	2
21	о том что	6	2
22	в себе и	1	2
23	к тому что	4	2
24	а следовательно и	1	2
25	в настоящее время	3	2
26	о том чтобы	1	2
27	быть не может	1	1
28	необходимо иметь в	1	1
29	в противном случае	1	1
30	те или другие	1	1
31	на земле что	1	1
32	и как бы	1	1
33	том основании что	1	1
34	может быть назван	1	1
35	и в некоторых	2	1
36	не только для	1	1
37	и в своем	1	1
38	мы уже знаем	2	1
39	на том основании	1	1
40	в некоторых других	1	1
41	нельзя отрицать что	1	1
42	этого мало надо	1	1
43	так же как	5	1
44	между собой и	1	1
45	но этого мало	1	1
46	и таким образом	1	1
47	по отношению к	1	1
48	во многих случаях	4	1
49	во всех этих	1	1
50	в том чтобы	2	1
51	но даже если	1	1
52	точки зрения в	1	1
53	и на то	1	1
54	у разных народов	1	1
55	в своих целях	1	1
56	и в других	7	1
57	китае и в	1	1
58	чем ближе к	1	1
59	и то и	1	1
60	связано с понятием	1	1
61	так как это	2	1
62	в китае и	1	1
63	всяком случае не	1	1
64	не может признать	1	1
65	и того же	1	1
66	из всего этого	1	1
67	не всегда бывают	1	1
68	на первый взгляд	1	1
69	что не только	1	1
70	в связи с	4	1
71	в совершенно ином	1	1
72	в том же	1	1
73	не только сам	1	1
74	как видно из	1	1
75	тем не менее	3	1
76	но все же	2	1
77	несмотря на все	1	1
78	но совершенно очевидно	1	1
79	в другом месте	1	1
80	из всех этих	1	1
81	для нас важно	1	1
82	что для этого	1	1
83	можно согласиться с	1	1
84	в этом отношении	1	1
85	в истории россии	1	1
86	вопрос о том	1	1
87	в свою очередь	2	1
88	в применении к	1	1
89	и не только	1	1
90	в этом и	1	1
91	это и есть	1	1
92	все это делалось	2	1
93	тем более что	1	1
94	в этой роли	1	1
95	на этот вопрос	1	1
96	россии еще не	1	1
97	состоит в том	16	1
98	которую можно назвать	1	1
99	совершенно очевидно что	2	1
100	одного и того	1	1
101	потому что они	1	1
102	и в этом	2	1
103	друг к другу	2	1
