N	4gram	Propp_Isto	VeschiIm
1	не что иное как	1	12
2	и т д и	1	11
3	т д и т	1	10
4	д и т д	1	10
5	есть не что иное	1	8
6	одно и то же	2	5
7	и тем не менее	2	5
8	с этой точки зрения	2	4
9	в то же время	1	4
10	в то время как	3	4
11	свидетельствует о том что	1	3
12	указывает на то что	1	3
13	не может быть речи	2	1
14	только в том что	1	1
15	в том смысле что	1	1
16	стоит в связи с	1	1
17	не только то что	1	1
18	и т д то	1	1
19	ничего не говорит о	1	1
20	с одной стороны и	1	1
21	еще ничего не говорит	1	1
22	само по себе но	1	1
23	и с другой стороны	1	1
24	и т д в	1	1
25	о которых идет речь	1	1
26	так же как он	2	1
27	и т д все	2	1
28	никак не может быть	1	1
29	дело вовсе не в	1	1
30	и вместе с тем	1	1
31	и то что он	1	1
32	может быть речи о	1	1
