N	4gram	Trubetskoy	RusskieA
1	состоит в том что	1	26
2	но вместе с тем	2	3
3	его состоит в том	1	2
4	выше мы видели что	1	2
5	вместе с тем и	1	2
6	в тех случаях когда	1	2
7	стоит в связи с	1	2
8	в целом ряде других	1	1
9	и до сих пор	1	1
10	не только по отношению	1	1
11	может быть и не	1	1
12	может быть потому что	1	1
13	и того же явления	1	1
14	связанных друг с другом	1	1
15	в то время как	1	1
16	в том что они	1	1
17	одного и того же	3	1
18	сущность его состоит в	1	1
19	а может быть и	1	1
20	только по отношению к	1	1
21	дело в том что	1	1
22	все же не в	1	1
23	в этом и состоит	1	1
24	и другим народам на	1	1
25	приводит к тому что	1	1
26	и в том же	1	1
