N	3gram	Tiupa_Vved	StatiiOP
1	в том что	10	47
2	о том что	6	29
3	в этом отношении	7	24
4	для того чтобы	1	19
5	с другой стороны	2	13
6	во всяком случае	3	13
7	не может быть	6	11
8	в самом деле	2	9
9	то же время	4	9
10	на то что	2	9
11	в то же	5	9
12	дело в том	1	9
13	можно было бы	2	9
14	тем не менее	3	8
15	к тому что	1	8
16	на самом деле	4	8
17	не только в	3	8
18	не в том	3	7
19	в данном случае	15	7
20	и в этом	1	7
21	у нас нет	2	7
22	так же как	1	6
23	по отношению к	11	6
24	в этом смысле	1	6
25	речь идет о	3	6
26	по крайней мере	1	6
27	в том смысле	1	6
28	в одном из	1	6
29	в том же	1	5
30	но и в	3	5
31	в том чтобы	2	5
32	как раз в	1	5
33	что же касается	2	5
34	с самого начала	1	5
35	мере в какой	2	4
36	то что он	1	4
37	сами по себе	1	4
38	с одной стороны	9	4
39	в связи с	1	4
40	но это не	1	4
41	того или иного	1	4
42	и в самом	1	4
43	иметь в виду	1	4
44	только потому что	1	3
45	о том как	1	3
46	том смысле что	1	3
47	в той мере	2	3
48	в той же	1	3
49	в том как	2	3
50	можно сказать что	1	3
51	то или иное	1	3
52	в том числе	1	3
53	той мере в	2	3
54	более или менее	2	3
55	а с другой	3	3
56	к тому же	6	3
57	что это не	1	3
58	на этот раз	2	3
59	в наше время	1	3
60	как и вообще	1	3
61	в известном смысле	1	3
62	состоит в том	2	3
63	в значительной степени	2	3
64	в этом случае	1	3
65	что в области	1	3
66	но в целом	1	3
67	прежде всего в	1	3
68	в ряде случаев	1	2
69	в котором он	1	2
70	и в другом	1	2
71	и даже не	1	2
72	в той или	1	2
73	здесь совершенно не	1	2
74	но и с	1	2
75	во втором случае	1	2
76	одних и тех	1	2
77	в обоих случаях	1	2
78	сомневаться в том	1	2
79	в зависимости от	1	2
80	совсем не в	1	2
81	том числе и	1	2
82	если бы мы	1	2
83	и в то	1	2
84	в отличие от	11	2
85	том значении которое	1	2
86	связано с тем	1	2
87	а не в	1	2
88	то же самое	2	2
89	не только с	1	2
90	в самом тексте	1	2
91	а также и	2	2
92	в евгении онегине	1	2
93	внимание на то	1	2
94	как своего рода	1	2
95	в свою очередь	5	2
96	той или иной	4	2
97	вследствие того что	1	2
98	и который в	1	2
99	но и здесь	1	2
100	не столько в	2	2
101	это не так	1	2
102	не до конца	1	2
103	по большей части	4	2
104	тем о которых	1	2
105	что как раз	1	2
106	было бы не	1	2
107	он не может	1	2
108	и тех же	1	2
109	в настоящее время	1	2
110	но в то	1	2
111	как мы видели	3	2
112	том что и	1	2
113	объясняется тем что	1	2
114	в этом месте	1	2
115	всяком случае в	1	2
116	с того что	2	2
117	имеем дело с	4	2
118	как и в	2	2
119	благодаря тому что	1	1
120	в этой системе	1	1
121	принадлежат к числу	1	1
122	как будто бы	3	1
123	в последние годы	1	1
124	это вовсе еще	1	1
125	в этом направлении	2	1
126	дело не только	1	1
127	к одному из	1	1
128	первый из этих	1	1
129	к этому роду	1	1
130	по сравнению с	1	1
131	в ответ на	1	1
132	здесь следует признать	1	1
133	в самом начале	1	1
134	не говорится о	1	1
135	значении этого термина	1	1
136	для себя и	1	1
137	что я за	1	1
138	и это не	1	1
139	может быть общим	1	1
140	становится очевидным что	1	1
141	а в том	3	1
142	будет зависеть от	1	1
143	на котором он	1	1
144	потому что она	1	1
145	друг от друга	2	1
146	свидетельствует о том	1	1
147	это особый род	1	1
148	могло бы быть	1	1
149	но это вовсе	1	1
150	относится ни к	1	1
151	и то же	1	1
152	она тем что	1	1
153	ни к одному	1	1
154	то что могло	1	1
155	таким образом при	1	1
156	у него были	1	1
157	в приведенных выше	1	1
158	то что можно	1	1
159	у нее есть	1	1
160	следует подчеркнуть что	5	1
161	может быть не	3	1
162	об этом и	1	1
163	но на самом	1	1
164	вместо того чтобы	1	1
165	само по себе	1	1
166	в первом отношении	1	1
167	на пути к	1	1
168	в соответствии с	8	1
169	в своем роде	2	1
170	как она была	1	1
171	не было и	2	1
172	не могло быть	1	1
173	можно сказать не	1	1
174	нас нет никаких	1	1
175	и др а	1	1
176	или иначе в	1	1
177	но и по	1	1
178	для одного из	1	1
179	в высшей степени	2	1
180	это означало бы	1	1
181	кажется что все	1	1
182	было видно что	1	1
183	факт что в	1	1
184	на границе между	1	1
185	до второй половины	1	1
186	на этом пути	1	1
187	к этому времени	1	1
188	и совершенно не	1	1
189	никогда не было	1	1
190	имея в виду	1	1
191	о которых он	1	1
192	и не может	1	1
193	мы имеем дело	5	1
194	который в своем	1	1
195	а то и	2	1
196	мысль о том	1	1
197	а на самом	1	1
198	в каждой из	1	1
199	вплоть до второй	1	1
200	сказано что в	1	1
201	сколько в том	1	1
202	и едва ли	1	1
203	несет на себе	1	1
204	где между прочим	1	1
205	самом деле не	1	1
206	но и не	1	1
207	а потому не	1	1
208	не все что	2	1
209	и той же	1	1
210	том же году	1	1
211	именно то что	1	1
212	следует заметить что	2	1
213	ничего не говорится	1	1
214	что ему было	1	1
215	то есть с	1	1
216	в этом и	1	1
217	той же мере	1	1
218	в отказе от	1	1
219	с легкой руки	2	1
220	не должен быть	1	1
221	и для нас	2	1
222	в виду его	1	1
223	у карамзина в	1	1
224	но в конце	1	1
225	одна из этих	1	1
226	если бы она	1	1
227	в сущности говоря	1	1
228	и не является	1	1
229	вовсе еще не	1	1
230	если бы эти	1	1
231	а к тому	1	1
232	них как бы	1	1
233	не означает что	1	1
234	которой не может	1	1
235	одно и то	1	1
236	содержит в себе	1	1
237	прежде всего к	1	1
238	одной и той	1	1
239	как у карамзина	1	1
240	вовсе не о	1	1
241	однако и в	1	1
242	не относится ни	1	1
243	в поле зрения	1	1
244	оно свидетельствует о	1	1
245	была такова что	1	1
246	же как и	1	1
247	у него нет	1	1
248	судя по всему	1	1
249	жизни и смерти	1	1
250	и все же	6	1
251	с другой в	2	1
252	в году в	1	1
253	об этом в	1	1
254	не исключает возможности	1	1
255	мы не должны	1	1
256	в котором мы	1	1
257	этот текст в	1	1
258	должен был бы	1	1
259	если бы оно	1	1
260	на том как	1	1
261	в другом случае	1	1
262	к жизни и	1	1
263	же самое и	1	1
