N	3gram	Tiupa_Vved	EvropaiC
1	в том что	10	16
2	по отношению к	11	11
3	более или менее	2	8
4	на то что	2	7
5	для того чтобы	1	7
6	на самом деле	4	7
7	друг от друга	2	6
8	по сравнению с	1	5
9	в самом деле	2	5
10	к тому же	6	5
11	не может быть	6	4
12	о том что	6	4
13	тем не менее	3	4
14	с другой стороны	2	4
15	начало и конец	2	4
16	в этом случае	1	4
17	в том же	1	3
18	в настоящее время	1	3
19	все же не	1	3
20	одного и того	1	3
21	так же как	1	3
22	в данном случае	15	3
23	и того же	1	3
24	в связи с	1	3
25	в свою очередь	5	2
26	в нашем случае	3	2
27	во всяком случае	3	2
28	двух или нескольких	3	2
29	каждый из этих	1	2
30	друг на друга	2	2
31	заключает в себе	4	2
32	что же касается	2	2
33	он не может	1	2
34	как и в	2	2
35	в то же	5	2
36	как и все	1	2
37	а с другой	3	2
38	в высшей степени	2	2
39	с одной стороны	9	2
40	то же время	4	2
41	благодаря тому что	1	1
42	он вместе с	1	1
43	и в жизни	2	1
44	можно представить себе	1	1
45	все то что	1	1
46	то есть в	1	1
47	только по отношению	1	1
48	этом и состоит	1	1
49	выпадает на долю	1	1
50	в этом направлении	2	1
51	мысль о том	1	1
52	что он может	1	1
53	а на самом	1	1
54	в нашем опыте	1	1
55	как и вообще	1	1
56	по крайней мере	1	1
57	и в другом	1	1
58	это не так	1	1
59	том или ином	1	1
60	но в целом	1	1
61	тому же еще	1	1
62	лет тому назад	1	1
63	а потому не	1	1
64	таким образом для	1	1
65	в общих чертах	1	1
66	к одному из	1	1
67	в том числе	1	1
68	и той же	1	1
69	не в том	3	1
70	она к тому	1	1
71	свидетельствует о том	1	1
72	не имея возможности	1	1
73	в этом и	1	1
74	при этом не	2	1
75	но и с	1	1
76	состоит в том	2	1
77	может быть вполне	1	1
78	но и сам	2	1
79	хотя и не	2	1
80	в его сознании	1	1
81	одна из этих	1	1
82	но при этом	3	1
83	те же самые	1	1
84	ни одна из	1	1
85	может быть не	3	1
86	дело в том	1	1
87	иметь в виду	1	1
88	одно и то	1	1
89	как мы видели	3	1
90	в зависимости от	1	1
91	одной и той	1	1
92	том числе и	1	1
93	же еще и	1	1
94	можно было бы	2	1
95	так и к	1	1
96	и это не	1	1
97	на пути к	1	1
98	в том или	1	1
99	сил и вот	1	1
100	что они не	1	1
101	а в том	3	1
102	с самого начала	1	1
103	но не ее	1	1
104	в нем не	1	1
105	и то же	1	1
106	и конец а	1	1
107	иначе обстоит дело	1	1
108	на наших глазах	1	1
109	на первый взгляд	3	1
110	а не в	1	1
111	при этом у	1	1
112	то же самое	2	1
113	и все же	6	1
114	перед нами два	1	1
115	это не случайно	1	1
116	для этого необходимо	1	1
117	к тому что	1	1
118	вместо того чтобы	1	1
119	то что мы	1	1
120	не только с	1	1
121	из того что	1	1
122	никогда не было	1	1
123	пока еще не	4	1
124	со своей стороны	1	1
125	в другом случае	1	1
126	и не может	1	1
127	в этом последнем	1	1
