N	2gram	Vinokur_St	KFilosof
1	может быть	16	45
2	в его	19	42
3	в нем	9	32
4	не может	10	29
5	и не	23	28
6	и в	61	28
7	по отношению	3	26
8	в котором	11	24
9	отношению к	3	22
10	в себе	3	21
11	только в	11	18
12	и его	11	18
13	в своем	8	17
14	в ее	6	17
15	а не	19	17
16	в этом	37	15
17	для него	10	13
18	не в	15	13
19	точки зрения	16	13
20	к нему	2	12
21	ни в	5	12
22	но не	5	12
23	и это	4	12
24	в своей	12	11
25	все эти	7	11
26	во всех	8	11
27	все это	13	10
28	это не	8	10
29	с точки	10	10
30	и есть	1	10
31	от себя	1	10
32	и для	4	10
33	в целом	5	10
34	в их	3	9
35	и все	3	9
36	но и	28	9
37	как бы	8	9
38	момент его	1	9
39	не было	7	8
40	если бы	11	8
41	со стороны	7	8
42	было бы	21	8
43	лишь в	3	8
44	жизни и	6	8
45	себя в	1	8
46	и здесь	2	7
47	что и	8	7
48	должен быть	3	7
49	вовсе не	24	7
50	уже не	1	7
51	совершенно не	7	7
52	то что	27	7
53	я должен	1	7
54	конечно не	2	7
55	на основе	1	7
56	для себя	3	7
57	и только	3	7
58	не значит	3	6
59	но все	9	6
60	в моем	1	6
61	но эта	1	6
62	я не	13	6
63	не имеет	5	6
64	и я	5	6
65	в том	56	6
66	и их	3	6
67	и действительно	1	6
68	отношение к	3	6
69	место в	2	6
70	он не	11	6
71	но это	9	6
72	от его	2	5
73	то же	7	5
74	мы имеем	2	5
75	не только	36	5
76	я могу	1	5
77	но как	1	5
78	его в	4	5
79	не знает	2	5
80	в основе	4	5
81	но в	16	5
82	именно в	8	5
83	бы быть	1	5
84	но ведь	8	5
85	как и	11	5
86	все же	12	5
87	себя и	1	5
88	еще не	4	5
89	что я	3	5
90	время и	1	5
91	принципиально не	1	5
92	хотя бы	8	5
93	я действительно	1	5
94	в одном	7	5
95	ни одно	1	5
96	а в	18	5
97	там где	6	5
98	никогда не	7	5
99	что в	41	4
100	все попытки	1	4
101	должна быть	3	4
102	при этом	4	4
103	ни было	1	4
104	что это	5	4
105	о нем	1	4
106	не как	2	4
107	для нас	7	4
108	прежде всего	11	4
109	с другим	1	4
110	в своих	2	4
111	места в	3	4
112	нет в	1	4
113	с ними	1	4
114	за свое	1	4
115	том что	49	4
116	в чем	4	4
117	в каком	4	4
118	могло бы	3	4
119	и жизни	1	4
120	входит в	1	4
121	нисколько не	3	4
122	где я	1	4
123	во всей	1	4
124	могла бы	1	4
125	не по	5	4
126	между тем	7	4
127	времени и	4	4
128	тем самым	2	4
129	чем не	2	4
130	к ним	1	4
131	быть в	2	4
132	меня не	2	4
133	ближе к	1	3
134	от него	1	3
135	и на	7	3
136	здесь нет	1	3
137	на язык	1	3
138	и пр	4	3
139	мы не	3	3
140	был бы	1	3
141	тогда когда	1	3
142	всем его	1	3
143	и этот	1	3
144	того что	14	3
145	где он	2	3
146	и этим	1	3
147	на самом	8	3
148	ясно что	10	3
149	в виду	6	3
150	и тот	1	3
151	и делает	1	3
152	я имею	1	3
153	самом деле	14	3
154	тем что	6	3
155	но для	3	3
156	меня в	2	3
157	в корне	1	3
158	стороны в	2	3
159	что этот	3	3
160	не дает	2	3
161	не менее	8	3
162	для этой	1	3
163	по своему	2	3
164	бы не	2	3
165	здесь не	1	3
166	его жизни	3	3
167	себе и	1	3
168	в момент	1	3
169	той или	1	3
170	в каждом	3	3
171	это и	5	3
172	того или	4	3
173	бы и	4	3
174	что не	3	3
175	отсюда и	1	3
176	не могу	2	3
177	не должен	2	3
178	не должно	1	3
179	во мне	1	3
180	в другом	5	3
181	для того	15	3
182	в ней	9	3
183	быть и	2	3
184	и та	1	3
185	этом смысле	2	3
186	в современной	1	3
187	от того	1	3
188	я буду	1	3
189	на своем	1	3
190	из его	3	3
191	нет и	1	3
192	не быть	1	3
193	только с	4	3
194	могут быть	5	3
195	до конца	4	3
196	нигде не	2	3
197	о том	30	3
198	в то	10	3
199	для которого	1	3
200	лишь при	1	3
201	или иного	4	3
202	независимо от	1	3
203	всех этих	2	3
204	и совершенно	1	3
205	тот же	2	3
206	и тем	3	3
207	ничего не	6	3
208	котором он	2	3
209	или иным	3	2
210	были бы	2	2
211	бы то	2	2
212	как к	3	2
213	и эти	2	2
214	действительно ли	1	2
215	каждый отдельный	1	2
216	которой все	1	2
217	один из	1	2
218	я уже	3	2
219	бы он	1	2
220	и конечно	1	2
221	может не	2	2
222	чего не	1	2
223	можно ли	5	2
224	не нужен	1	2
225	что значит	2	2
226	дело с	2	2
227	еще более	5	2
228	конечно в	1	2
229	тому что	8	2
230	нее в	1	2
231	а это	1	2
232	тем не	4	2
233	так и	15	2
234	из которых	1	2
235	и то	6	2
236	и за	3	2
237	в качестве	7	2
238	и принципиально	1	2
239	и когда	1	2
240	по себе	3	2
241	и смысл	1	2
242	в виде	3	2
243	со всеми	2	2
244	оно не	3	2
245	не потому	3	2
246	если не	4	2
247	он имеет	1	2
248	говорим о	1	2
249	отказаться от	2	2
250	не о	2	2
251	однако что	1	2
252	из нее	3	2
253	всех его	1	2
254	в сознании	2	2
255	что за	1	2
256	мы говорим	1	2
257	дело в	9	2
258	вокруг него	1	2
259	в ту	1	2
260	в составе	1	2
261	не следует	1	2
262	в процессе	3	2
263	нем нельзя	1	2
264	с тем	3	2
265	и как	2	2
266	что он	23	2
267	в соответствии	1	2
268	но я	5	2
269	и именно	2	2
270	место и	1	2
271	и просто	1	2
272	как в	15	2
273	на первом	1	2
274	от этого	2	2
275	если я	1	2
276	это было	2	2
277	вследствие этого	1	2
278	в это	3	2
279	этом его	1	2
280	ничего общего	3	2
281	и смерти	1	2
282	перестал быть	1	2
283	этого слова	2	2
284	действительности в	1	2
285	к этому	4	2
286	и потому	3	2
287	ни к	1	2
288	его и	1	2
289	и ясно	1	2
290	ведь это	1	2
291	а с	6	2
292	в данном	16	2
293	и других	1	2
294	вытекает из	2	2
295	вопрос о	9	2
296	которой он	1	2
297	выхода в	4	2
298	оба эти	4	2
299	она не	3	2
300	потому что	13	2
301	дело когда	2	2
302	того чтобы	15	2
303	то ни	2	2
304	совсем не	3	2
305	быть не	2	2
306	другое дело	3	2
307	дело не	4	2
308	кажется что	5	2
309	не будет	1	2
310	именно на	1	2
311	на нем	1	2
312	а по	1	2
313	знает и	2	2
314	говорить о	3	2
315	что эта	5	2
316	для этого	2	2
317	отношении к	3	2
318	этим не	1	2
319	же время	5	2
320	которую я	1	2
321	думать что	2	2
322	всей его	1	2
323	или иное	3	2
324	но этот	1	2
325	это только	1	2
326	в этой	13	2
327	он и	1	2
328	соответствии с	1	2
329	что есть	1	2
330	но нет	2	2
331	при условии	1	2
332	только по	1	2
333	это можно	3	2
334	что только	2	2
335	слова в	1	2
336	или иной	1	2
337	бы оно	1	2
338	включает в	1	2
339	с его	3	2
340	в области	16	2
341	а как	5	2
342	ни был	1	2
343	себе как	1	2
344	чтобы не	1	2
345	то или	3	2
346	едва ли	1	2
347	гораздо более	5	2
348	именно вследствие	1	1
349	для самого	1	1
350	истории а	1	1
351	все в	2	1
352	в самом	14	1
353	какого бы	1	1
354	и к	5	1
355	на почве	2	1
356	новое и	1	1
357	целом это	1	1
358	только не	2	1
359	во втором	5	1
360	все что	1	1
361	в содержании	1	1
362	как это	6	1
363	только путем	1	1
364	до сих	13	1
365	и он	2	1
366	можно говорить	1	1
367	так как	7	1
368	в последнем	1	1
369	и очень	5	1
370	же и	4	1
371	например что	1	1
372	котором не	1	1
373	и было	1	1
374	то есть	2	1
375	такова же	1	1
376	самого себя	1	1
377	вообще а	1	1
378	и вследствие	1	1
379	за исключением	1	1
380	таком положении	2	1
381	только таким	1	1
382	бы себе	1	1
383	на том	1	1
384	не за	1	1
385	на ее	1	1
386	значение для	2	1
387	мог бы	1	1
388	смысле слова	1	1
389	всей полноте	1	1
390	не будем	1	1
391	общая оценка	1	1
392	отношения к	2	1
393	несмотря на	4	1
394	мысль в	1	1
395	была бы	10	1
