N	3gram	Tiupa_Narr	Freidism
1	с точки зрения	2	15
2	не может быть	5	14
3	по отношению к	6	11
4	в самом деле	1	10
5	в том что	8	9
6	как мы видели	1	8
7	и прежде всего	1	7
8	в то же	3	6
9	то же время	3	6
10	может быть и	1	6
11	можно сказать что	4	5
12	как мы уже	1	5
13	в свою очередь	3	4
14	тем не менее	3	4
15	сам по себе	1	4
16	на самом деле	1	4
17	в данном случае	4	4
18	в таком случае	2	4
19	в этом отношении	3	4
20	и тот же	1	3
21	все то что	1	3
22	только то что	1	3
23	точку зрения на	1	3
24	о том что	6	3
25	один и тот	1	3
26	до сих пор	1	3
27	к тому чтобы	1	3
28	не в его	1	3
29	далеко не всегда	1	3
30	бы то ни	3	3
31	так и в	1	3
32	прежде всего к	1	3
33	в конечном счете	2	3
34	в этом смысле	1	2
35	один из них	1	2
36	то или иное	2	2
37	не отличается от	2	2
38	а с другой	1	2
39	по отношению ко	1	2
40	его жизни и	1	2
41	в отличие от	5	2
42	том что он	1	2
43	то ни было	3	2
44	с одной стороны	7	2
45	а также и	1	2
46	то же самое	1	2
47	из них как	1	1
48	и у нас	1	1
49	они свидетельствуют о	1	1
50	того или иного	2	1
51	какую бы то	1	1
52	и др в	1	1
53	той или иной	4	1
54	он еще не	1	1
55	по аналогии с	1	1
56	и даже не	1	1
57	но не может	1	1
58	является как бы	1	1
59	мира именно в	1	1
60	время в западной	1	1
61	до известной степени	1	1
62	то что он	1	1
63	точки зрения не	1	1
64	в постель к	1	1
65	по крайней мере	1	1
66	в данный момент	1	1
67	в себя и	2	1
68	они и не	1	1
69	даже если это	1	1
70	во всех его	1	1
71	а иногда и	1	1
72	обратим внимание на	1	1
73	также и тех	1	1
74	в том же	1	1
75	лет тому назад	1	1
76	из этих двух	1	1
77	и не было	1	1
78	в свое время	1	1
79	всех без исключения	1	1
80	зрения не только	1	1
81	точка зрения внешне	1	1
82	или может быть	1	1
83	в западной европе	1	1
84	все же не	4	1
85	друг с другом	1	1
86	как и на	2	1
87	в себе самом	1	1
88	не что иное	2	1
89	дело в том	1	1
90	иметь в виду	1	1
91	с другом и	1	1
92	так же как	2	1
93	только потому что	1	1
94	так и его	1	1
95	том что в	1	1
96	и в то	1	1
97	есть прежде всего	1	1
98	точки зрения настоящего	1	1
99	есть не что	1	1
100	со всеми уже	1	1
101	не оставляет места	1	1
102	на первый взгляд	2	1
103	в хх веке	1	1
104	о себе самом	1	1
105	что иное как	2	1
106	но все же	4	1
107	не то что	2	1
108	все без исключения	1	1
109	тот или иной	1	1
110	можно было бы	2	1
111	или хотя бы	1	1
112	в основе своей	4	1
