N	4gram	Bakhtin_Pr	Formalny
1	в то же время	3	20
2	и не может быть	1	7
3	бы то ни было	2	7
4	и в то же	2	6
5	с одной стороны и	1	5
6	в настоящее время в	1	4
7	отсюда отнюдь не следует	1	4
8	на самом же деле	1	3
9	во что бы то	1	3
10	с точки зрения самого	2	3
11	что бы то ни	1	3
12	бы то ни стало	1	3
13	но в то же	1	3
14	отнюдь не следует что	1	3
15	в том смысле что	1	2
16	не выходит за пределы	1	2
17	не может и не	2	2
18	во всех своих моментах	2	2
19	иметь в виду что	1	2
20	от одного к другому	1	2
21	не говоря уже о	1	2
22	в его целом ни	1	2
23	и в этом отношении	1	2
24	не нуждается ни в	1	2
25	и с точки зрения	1	2
26	не в том что	1	2
27	в художественном произведении как	2	1
28	в значительной степени и	1	1
29	может иметь место в	1	1
30	истории того или иного	1	1
31	по отношению к этой	1	1
32	в этом смысле мы	2	1
33	не могут быть поняты	1	1
34	не что иное как	1	1
35	не может быть конечно	1	1
36	произведение в его целом	1	1
37	не выходя за его	1	1
38	по сравнению с предшествующим	1	1
39	не выходя за пределы	2	1
40	не для того чтобы	1	1
41	отношения к материалу к	1	1
42	мы можем сказать что	1	1
43	строгом смысле этого слова	1	1
44	по отношению к данному	1	1
45	там где оно не	1	1
46	так называемый формальный метод	1	1
47	сами по себе не	1	1
48	ее художественного воплощения в	1	1
49	дело в том что	1	1
50	действительностью познания и поступка	1	1
51	в области наук об	1	1
52	ни в чем не	2	1
53	на произведение в его	1	1
54	ни в коем случае	2	1
55	чего бы то ни	1	1
56	в противном случае мы	1	1
57	и в других областях	1	1
58	в его лингвистической определенности	3	1
59	в психике художника и	1	1
60	в полном согласии с	1	1
61	не чем иным как	1	1
62	выходя за его пределы	1	1
63	в связи с теорией	1	1
64	которые могут быть выделены	1	1
65	в своем творчестве если	1	1
66	самым неправильным было бы	1	1
67	отвлекаясь по возможности от	1	1
68	что в его состав	1	1
69	в чем не выходя	1	1
70	в его отличии от	1	1
71	в коем случае не	2	1
72	хотя бы в пределах	1	1
73	чем не выходя за	1	1
74	произведения в большинстве случаев	1	1
75	имеет место и у	1	1
76	совершенно не критически и	1	1
77	может быть определен в	1	1
78	идет вовсе не о	1	1
79	она не могла бы	1	1
80	должно быть соотнесено с	1	1
81	язык в его лингвистической	1	1
82	и иной чем в	1	1
83	и тем не менее	1	1
84	выходя за пределы произведения	1	1
85	а вовсе не как	1	1
86	может быть понята как	1	1
87	или хотя бы только	1	1
88	хотя и иной чем	1	1
89	в строгом смысле этого	1	1
90	о которых идет речь	1	1
91	в высшей степени характерно	1	1
92	с точки зрения одной	1	1
93	следует однако отметить что	1	1
94	ведь в противном случае	1	1
95	есть не что иное	1	1
