N	2gram	Voloshinov	VLabPisa
1	не только	1	26
2	и в	3	26
3	может быть	1	23
4	и не	1	20
5	не может	4	17
6	в его	1	15
7	то же	1	10
8	но и	1	10
9	для него	1	9
10	ни один	1	8
11	тому что	1	7
12	а не	1	7
13	из этих	1	7
14	один из	2	6
15	художественного произведения	1	6
16	в то	1	6
17	связи с	1	5
18	к тому	1	5
19	же время	1	5
20	этой проблемы	1	3
21	если бы	1	3
22	бы в	1	3
23	нет и	1	3
24	точки зрения	1	3
25	в особенности	1	2
26	достоевского и	2	2
27	если в	2	2
28	с другими	1	2
29	его от	1	2
30	в ней	1	2
31	не менее	1	2
32	может не	1	2
33	в каждом	1	2
34	художественной структуры	1	2
35	и социальной	1	2
36	в системе	1	2
37	он в	1	2
38	искусство как	1	2
39	персонажей и	1	2
40	ситуации и	1	1
41	мы видим	1	1
42	можно и	1	1
43	несмотря на	1	1
44	или иными	1	1
45	от общей	1	1
46	условно можно	1	1
47	и все	1	1
48	с теми	1	1
49	можно назвать	1	1
50	теми или	1	1
51	вопрос что	1	1
52	исходя из	1	1
53	почти с	1	1
54	художественного целого	1	1
55	тех же	1	1
56	себе все	1	1
57	произведения но	1	1
58	как художественная	1	1
59	себя от	1	1
60	анализа и	1	1
