N	2gram	Losev_Dial	Sotsiolo
1	все это	13	7
2	в том	17	5
3	в этом	14	5
4	не только	35	3
5	как же	9	3
6	не в	11	3
7	и в	34	3
8	и только	6	3
9	но ведь	2	3
10	в его	6	3
11	для нас	2	3
12	их между	1	2
13	что в	12	2
14	ведь это	2	2
15	то что	25	2
16	таким образом	14	2
17	том что	18	2
18	дело не	2	2
19	как бы	19	2
20	в результате	7	2
21	было бы	13	2
22	как будто	3	2
23	в смысле	4	2
24	очевидно что	1	2
25	в частности	3	2
26	и мы	6	2
27	по природе	1	2
28	диалектический материализм	3	2
29	но и	14	2
30	конце концов	1	2
31	может быть	30	2
32	по существу	2	2
33	и что	21	2
34	это и	12	2
35	за пределы	3	2
36	в конце	2	2
37	как только	5	2
38	исторического развития	1	2
39	должна быть	11	2
40	далеко не	1	2
41	тем более	5	2
42	только в	10	2
43	к которому	1	2
44	только как	7	2
45	то же	9	2
46	метод и	1	2
47	еще не	7	2
48	как то	1	1
49	а в	3	1
50	что он	18	1
51	образом в	1	1
52	в конечном	1	1
53	даже в	1	1
54	на что	2	1
55	быть не	3	1
56	в силу	5	1
57	и самые	1	1
58	на этот	1	1
59	это значит	29	1
60	что эти	1	1
61	более не	2	1
62	жизни он	2	1
63	все эти	4	1
64	не было	6	1
65	представить себе	1	1
66	сказать и	1	1
67	когда мы	3	1
68	связи с	3	1
69	представляет и	1	1
70	положения в	1	1
71	ибо по	1	1
72	точке зрения	1	1
73	кто не	1	1
74	только то	2	1
75	нет а	1	1
76	не мешает	3	1
77	в своей	4	1
78	где же	4	1
79	во всяком	5	1
80	в мире	2	1
81	и потому	6	1
82	все же	4	1
83	научной мысли	1	1
84	что это	20	1
85	или не	10	1
86	еще и	2	1
87	от друга	1	1
88	на ней	1	1
89	можно будет	1	1
90	поставить и	1	1
91	по крайней	10	1
92	с другой	5	1
93	ни на	5	1
94	мы понимаем	3	1
95	мы должны	1	1
96	и стало	6	1
97	в соответствующих	1	1
98	это как	3	1
99	это же	3	1
100	далеко еще	1	1
101	невозможно никакое	1	1
102	с ним	3	1
103	право на	1	1
104	как совокупность	1	1
105	именно и	1	1
106	и более	1	1
107	но как	3	1
108	в этой	3	1
109	из себя	3	1
110	в свои	1	1
111	и его	8	1
112	не должна	1	1
113	ли не	1	1
114	никак не	3	1
115	в данном	6	1
116	на все	1	1
117	и по	2	1
118	самому существу	1	1
119	первый план	4	1
120	же самое	1	1
121	его собственная	1	1
122	так и	11	1
123	только тогда	7	1
124	в то	9	1
125	может не	4	1
126	в котором	2	1
127	те же	1	1
128	не значат	3	1
129	данный субъект	1	1
130	именно на	1	1
131	не выходит	1	1
132	мы переходим	1	1
133	должно было	1	1
134	же это	4	1
135	нельзя мыслить	1	1
136	отнюдь не	16	1
137	и не	50	1
138	тогда и	2	1
139	объекта и	1	1
140	но она	4	1
141	всяком случае	3	1
142	эти два	3	1
143	он ни	1	1
144	по самому	2	1
145	том как	2	1
146	или нет	8	1
147	и о	9	1
148	это вовсе	1	1
149	и должны	1	1
150	выдвигает на	1	1
151	что т	1	1
152	но не	3	1
153	они не	3	1
154	на точке	1	1
155	лучшем случае	2	1
156	в него	2	1
157	диалектического материализма	1	1
158	его собственные	1	1
159	она должна	3	1
160	что личность	2	1
161	для этого	3	1
162	наука но	2	1
163	прежде всего	20	1
164	не пошел	1	1
165	наукой в	1	1
166	тем что	5	1
167	что она	13	1
168	и строить	1	1
169	не наука	3	1
170	в систему	1	1
171	бы видеть	2	1
172	существу своему	2	1
173	друг от	1	1
174	что данный	2	1
175	в чем	11	1
176	не из	1	1
177	на основании	3	1
178	мы еще	2	1
179	виде задания	1	1
180	но только	7	1
181	и будет	1	1
182	не дает	1	1
183	тех кто	1	1
184	в лучшем	2	1
185	в сущности	10	1
186	в область	2	1
187	конечном счете	1	1
188	факта что	1	1
189	его в	2	1
190	же теперь	1	1
191	не от	2	1
192	зависит от	4	1
193	крайней мере	10	1
194	тотчас же	3	1
195	но одно	1	1
196	в процессе	2	1
197	между собою	3	1
198	границы и	3	1
199	я и	2	1
200	этого и	1	1
201	вовсе не	18	1
202	даже не	8	1
203	не умея	1	1
204	против этого	1	1
205	с одной	4	1
206	и наконец	2	1
207	конечно не	6	1
208	материализм в	1	1
209	о том	11	1
210	мы не	11	1
211	и понимает	1	1
212	метафизический дуализм	1	1
213	тому что	5	1
214	но именно	1	1
215	эти вопросы	1	1
216	в этих	3	1
217	ровно ничего	9	1
218	как живой	1	1
219	сама по	11	1
220	какой же	1	1
221	у него	2	1
222	по себе	31	1
223	на первый	4	1
224	без этого	1	1
225	перед нами	5	1
226	в любой	1	1
227	это дает	2	1
228	все то	1	1
229	хотя бы	9	1
230	же время	5	1
231	наконец в	1	1
232	что на	3	1
233	это не	13	1
234	одной стороны	3	1
235	в связи	3	1
236	бы в	5	1
237	и должно	1	1
238	стало быть	23	1
239	в виде	11	1
240	именно в	5	1
241	никогда не	9	1
242	и есть	24	1
243	не может	29	1
244	между ними	1	1
245	и как	13	1
246	и никакая	1	1
247	что все	16	1
248	место в	2	1
249	не без	1	1
250	как и	14	1
251	ничего не	29	1
252	в них	6	1
