N	2gram	Vinokur_Vv	VrazhdaK
1	не только	26	9
2	в этом	35	8
3	и в	35	8
4	и что	6	8
5	что в	13	7
6	достоевского в	1	7
7	и все	1	7
8	но и	7	7
9	то что	19	7
10	как и	7	6
11	и даже	6	6
12	и с	2	6
13	все же	9	6
14	в котором	4	6
15	в начале	3	6
16	в нем	13	6
17	но в	10	6
18	то же	11	5
19	у него	1	5
20	в россии	1	5
21	и не	13	5
22	между тем	10	5
23	об этом	6	5
24	не было	2	5
25	же время	6	5
26	в то	6	5
27	это не	8	4
28	при этом	3	4
29	несмотря на	2	4
30	с ним	1	4
31	для нас	1	4
32	все это	6	4
33	в виду	5	4
34	в своих	2	4
35	что он	5	4
36	уже в	5	4
37	о том	16	4
38	может быть	30	4
39	в ней	3	4
40	в истории	9	4
41	как бы	7	4
42	так же	3	4
43	что у	1	3
44	в его	12	3
45	в том	38	3
46	т е	40	3
47	имел в	1	3
48	его в	6	3
49	раз в	1	3
50	связи с	3	3
51	но он	1	3
52	давно уже	1	3
53	в связи	2	3
54	и как	9	3
55	далеко не	1	3
56	тем что	6	3
57	речь идет	2	3
58	в чем	4	3
59	и у	1	3
60	человека в	1	3
61	он был	1	3
62	чтобы он	2	3
63	том что	30	3
64	в этот	2	3
65	и уже	3	3
66	в конце	3	3
67	и о	1	3
68	наряду с	3	3
69	что есть	1	3
70	одним из	5	3
71	в своем	3	3
72	на то	2	3
73	и его	6	3
74	к этому	3	3
75	который был	1	3
76	в той	10	2
77	таким образом	21	2
78	и то	7	2
79	ответ на	4	2
80	после этого	2	2
81	в момент	1	2
82	время и	1	2
83	б и	1	2
84	мы знаем	1	2
85	и далее	2	2
86	с точки	4	2
87	для него	1	2
88	его и	1	2
89	о чем	4	2
90	как раз	4	2
91	нашего времени	2	2
92	о которой	2	2
93	в них	5	2
94	как же	1	2
95	а также	3	2
96	же в	1	2
97	в среде	1	2
98	отношения к	1	2
99	в в	3	2
100	же как	3	2
101	в своей	4	2
102	рядом с	2	2
103	вместе с	6	2
104	в известном	3	2
105	не менее	9	2
106	и это	6	2
107	в эту	1	2
108	еще не	4	2
109	но как	2	2
110	а с	2	2
111	это в	2	2
112	в свою	2	2
113	после смерти	1	2
114	и т.п	1	2
115	в этой	3	2
116	что к	2	2
117	при помощи	3	2
118	тогда как	2	2
119	а в	6	2
120	к ним	1	2
121	отношение к	3	2
