N	3gram	Tiupa_Lite	Russkaja
1	то же время	12	10
2	в то же	12	10
3	с точки зрения	4	9
4	в том что	15	7
5	на самом деле	1	6
6	во всяком случае	2	6
7	для того чтобы	1	6
8	до сих пор	1	5
9	не может быть	5	4
10	на то что	1	4
11	к тому чтобы	1	4
12	бы то ни	1	4
13	той или иной	1	3
14	в конце концов	1	3
15	можно было бы	2	3
16	в данном случае	6	3
17	в лучшем случае	1	3
18	в этом случае	2	3
19	с тем чтобы	1	3
20	и то что	2	3
21	и не может	1	3
22	что он не	1	2
23	в большинстве случаев	1	2
24	и тем самым	2	2
25	о том что	3	2
26	только в том	2	2
27	на себя как	1	2
28	к тому что	1	2
29	быть не может	1	1
30	оградить себя от	1	1
31	но при этом	2	1
32	в самом деле	1	1
33	лишь тогда когда	1	1
34	или иной культурной	1	1
35	и в частности	1	1
36	для всей русской	1	1
37	за то что	2	1
38	может быть назван	1	1
39	дело в том	2	1
40	в этом есть	1	1
41	но в то	1	1
42	речь идет о	3	1
43	как и следовало	1	1
44	но и от	1	1
45	внутренней и внешней	1	1
46	дело сводится к	1	1
47	не подлежит сомнению	1	1
48	тех или иных	2	1
49	по отношению к	4	1
50	во многих случаях	1	1
51	и прежде всего	4	1
52	и этот последний	1	1
53	во всех этих	1	1
54	в том чтобы	1	1
55	не только от	1	1
56	по крайней мере	2	1
57	прежде всего в	4	1
58	средства воздействия на	1	1
59	с самого начала	1	1
60	же время она	1	1
61	когда речь идет	1	1
62	прочим и как	1	1
63	то ни было	1	1
64	и того же	1	1
65	без особых объяснений	1	1
66	здесь дело сводится	1	1
67	внутри себя в	1	1
68	на первый взгляд	1	1
69	он не может	1	1
70	в связи с	4	1
71	в том же	3	1
72	в том числе	2	1
73	тем не менее	4	1
74	но все же	1	1
75	только то что	2	1
76	в другом месте	1	1
77	жизни но и	1	1
78	том что для	1	1
79	по этому пути	1	1
80	между прочим и	1	1
81	в этом отношении	5	1
82	по отношению ко	2	1
83	перед нами не	1	1
84	в свою очередь	2	1
85	жизни и в	2	1
86	и не только	1	1
87	в этом и	1	1
88	тем более что	1	1
89	в значительной степени	1	1
90	но даже и	1	1
91	тот или иной	1	1
92	речь шла о	1	1
93	состоит в том	8	1
94	к тому же	1	1
95	одного и того	1	1
96	и в этом	1	1
97	в полной мере	1	1
