N	2gram	Losev_Vesc	VrazhdaK
1	не только	48	9
2	в этом	17	8
3	и в	44	8
4	и что	22	8
5	что в	11	7
6	и все	6	7
7	но и	19	7
8	то что	47	7
9	о нем	1	6
10	как и	15	6
11	и даже	12	6
12	и с	11	6
13	все же	18	6
14	в котором	4	6
15	в начале	1	6
16	– это	4	6
17	в нем	6	6
18	но в	8	6
19	то же	12	5
20	у него	3	5
21	в россии	2	5
22	и не	57	5
23	об этом	5	5
24	не было	4	5
25	же время	4	5
26	в то	11	5
27	это не	9	4
28	при этом	1	4
29	несмотря на	6	4
30	с ним	8	4
31	для нас	2	4
32	все это	7	4
33	в виду	2	4
34	в своих	3	4
35	что он	7	4
36	уже в	2	4
37	о том	11	4
38	может быть	37	4
39	в ней	14	4
40	в истории	3	4
41	как бы	19	4
42	так же	4	4
43	во многом	1	4
44	что у	5	3
45	в его	5	3
46	в том	15	3
47	т е	79	3
48	его в	8	3
49	раз в	2	3
50	связи с	1	3
51	но он	2	3
52	в связи	1	3
53	я не	7	3
54	и как	12	3
55	далеко не	2	3
56	тем что	7	3
57	в те	1	3
58	речь идет	1	3
59	в чем	10	3
60	и у	4	3
61	человека в	1	3
62	том что	13	3
63	он не	4	3
64	и уже	2	3
65	в конце	3	3
66	и о	4	3
67	наряду с	2	3
68	что есть	8	3
69	одним из	1	3
70	в своем	9	3
71	на то	9	3
72	с его	2	3
73	и его	4	3
74	к этому	2	3
75	и во	3	3
76	в той	6	2
77	таким образом	16	2
78	об их	3	2
79	и то	14	2
80	ответ на	1	2
81	но после	1	2
82	и он	1	2
83	после этого	1	2
84	его с	1	2
85	к себе	4	2
86	мы знаем	1	2
87	с точки	6	2
88	для него	8	2
89	его и	4	2
90	о чем	2	2
91	как раз	16	2
92	мне и	2	2
93	о которой	3	2
94	же не	4	2
95	в них	1	2
96	как же	6	2
97	а также	1	2
98	же в	1	2
99	отношения к	3	2
100	его на	4	2
101	в в	2	2
102	их в	6	2
103	же как	3	2
