N	2gram	Nazirov_Tr	Sovremen
1	не может	5	17
2	может быть	7	12
3	таким образом	1	11
4	в этом	9	7
5	и в	18	7
6	в результате	1	6
7	как и	5	6
8	ничего не	2	6
9	и не	7	6
10	прежде всего	4	5
11	все эти	3	5
12	в условиях	1	5
13	и наконец	1	5
14	в дальнейшем	5	4
15	вопрос о	2	4
16	это не	5	4
17	не только	8	4
18	в развитии	1	4
19	с помощью	1	4
20	как бы	7	4
21	вместе с	1	4
22	в целом	4	4
23	в том	2	4
24	и потому	1	3
25	с самого	1	3
26	уже в	3	3
27	то же	5	3
28	при этом	3	3
29	не в	2	3
30	а не	1	3
31	для нас	1	3
32	все это	4	3
33	как он	1	3
34	в одном	2	3
35	самого начала	1	3
36	в конце	3	3
37	и т.д	1	3
38	в первом	2	3
39	ли мы	1	3
40	в этой	4	3
41	он в	1	3
42	и все	4	3
43	на две	1	3
44	в себе	4	3
45	что она	2	3
46	одна из	2	3
47	состоит из	2	3
48	все же	5	3
49	при таком	1	3
50	в области	1	3
51	между собой	1	3
52	отнюдь не	3	3
53	в нем	4	3
54	но мы	1	3
55	но в	6	3
56	еще не	4	3
57	что в	4	2
58	тем не	1	2
59	в самом	2	2
60	совершенно не	1	2
61	мы видим	1	2
62	и что	4	2
63	отличие от	2	2
64	которой он	1	2
65	то и	2	2
66	с одной	1	2
67	в отличие	2	2
68	в его	3	2
69	во всяком	1	2
70	с совершенно	1	2
71	что это	5	2
72	что при	1	2
73	по мнению	2	2
74	только один	1	2
75	конечно в	1	2
76	рот и	1	2
77	у него	6	2
78	не могут	2	2
79	в виде	2	2
80	а на	1	2
81	и даже	4	2
82	самом деле	1	2
83	в которой	1	2
84	но все	2	2
85	необходимо отметить	1	2
86	как мы	1	2
87	развития в	1	2
88	той же	1	2
89	о жизни	2	2
90	могут быть	1	2
91	в таком	2	2
92	уже не	2	2
93	и есть	1	2
94	что все	2	2
95	на этот	1	2
96	на этом	1	2
97	роль в	1	2
98	не менее	1	2
99	так сказать	1	2
100	и по	1	2
101	в и	1	2
102	на котором	1	2
103	всяком случае	1	2
104	во всех	1	1
105	это и	1	1
106	несколько времени	1	1
107	этом случае	1	1
108	только не	1	1
109	но как	1	1
110	в окончательном	1	1
111	чем же	1	1
112	всего необходимо	1	1
113	не является	1	1
114	в данном	2	1
115	только к	2	1
116	еще раз	2	1
117	опирается на	1	1
118	с жизнью	1	1
119	данном случае	2	1
120	ли это	1	1
121	связи с	1	1
122	раз и	2	1
123	первом же	1	1
124	и эту	1	1
125	должно быть	3	1
126	к области	2	1
127	это как	1	1
128	почти не	1	1
129	случае и	1	1
130	в скрытом	1	1
131	для ее	1	1
132	его с	1	1
133	она не	1	1
134	чтобы он	1	1
135	но еще	1	1
136	но затем	1	1
137	что уже	1	1
138	на другой	1	1
139	она всегда	1	1
140	быть в	1	1
141	в другом	1	1
142	а из	1	1
143	несмотря на	5	1
144	не быть	1	1
145	в ней	1	1
146	что эта	1	1
147	мы опять	1	1
148	а это	1	1
149	подчеркнуть что	1	1
150	с ним	3	1
151	это уже	2	1
152	он не	2	1
153	что с	3	1
154	ее конец	1	1
155	а затем	1	1
156	как у	2	1
157	только на	1	1
158	но они	2	1
159	и их	1	1
160	и всегда	1	1
161	каким же	1	1
162	и при	1	1
163	сколько угодно	1	1
164	можно было	1	1
165	и должно	1	1
166	xix века	1	1
167	ни в	2	1
168	но только	1	1
169	и от	1	1
170	факт что	1	1
171	еще в	2	1
172	роль играет	1	1
173	только в	1	1
174	позиции в	1	1
175	раз он	2	1
176	же время	6	1
177	не случайно	2	1
178	так же	4	1
179	чего же	1	1
180	его в	2	1
181	в обоих	1	1
182	отметить что	1	1
183	или как	1	1
184	всегда будет	1	1
185	не было	1	1
186	с его	2	1
187	и первое	1	1
188	один из	3	1
189	в духе	1	1
190	этого не	1	1
191	к одному	1	1
192	наших дней	1	1
193	и еще	1	1
194	скрытом виде	1	1
195	в пьесе	1	1
196	как его	1	1
197	может ли	1	1
198	но эта	2	1
199	собой но	2	1
200	во многом	1	1
201	и эта	1	1
202	xviii века	1	1
203	именно в	1	1
204	затем он	1	1
205	что наш	1	1
206	и до	2	1
207	представление о	1	1
208	при которой	1	1
209	виде и	1	1
210	и чисто	1	1
211	обратимся к	1	1
212	в своем	3	1
213	в связи	1	1
214	в целый	1	1
215	том что	4	1
216	обоих случаях	1	1
217	рядом с	1	1
218	в мире	3	1
219	всю эту	1	1
220	дома и	2	1
221	жизни в	1	1
222	но не	1	1
223	но если	1	1
224	по себе	1	1
225	он сам	7	1
226	им это	1	1
227	не имеет	2	1
228	и могут	1	1
229	в такой	1	1
230	в то	5	1
231	является ли	1	1
232	за все	1	1
233	сводится только	1	1
234	именно эта	1	1
235	уже чисто	1	1
236	но это	4	1
237	для чего	1	1
238	когда в	1	1
239	но уже	1	1
240	с ее	3	1
241	не из	1	1
242	и это	2	1
243	все время	1	1
244	нет в	2	1
245	и если	1	1
246	только о	2	1
247	он с	1	1
248	и его	6	1
249	и особенно	1	1
250	о том	2	1
251	играть в	1	1
252	человека и	1	1
253	к нему	3	1
254	никогда не	2	1
255	на них	1	1
