N	2gram	Vygotskiy_	ViktorSh
1	конце концов	2	2
2	в конце	3	2
3	и в	33	2
4	в том	44	2
5	том что	41	2
6	в другом	7	1
7	все время	3	1
8	но это	4	1
9	одно и	2	1
10	столь же	5	1
11	том же	1	1
12	по существу	5	1
13	главным образом	1	1
14	связанным с	1	1
15	в самом	10	1
16	как же	2	1
17	в теории	4	1
18	чем больше	1	1
19	и т.д	6	1
20	образом из	1	1
21	интересует в	1	1
22	говорили в	1	1
23	а только	8	1
24	именно в	8	1
25	этому и	2	1
26	они на	1	1
27	самом деле	9	1
28	более чем	1	1
29	другом месте	4	1
30	и составляет	5	1
31	ясно что	2	1
32	речи и	8	1
33	с большой	1	1
34	говоря о	2	1
35	в частности	9	1
36	чем к	1	1
37	и то	9	1
38	и заключается	2	1
39	к созданию	1	1
40	этом и	2	1
41	достаточно но	1	1
42	и его	6	1
43	сводится к	1	1
44	даже не	1	1
45	теснейшим образом	1	1
46	под влиянием	4	1
47	значительной степени	1	1
48	на одном	2	1
49	хотя бы	5	1
50	по поводу	3	1
51	тем более	5	1
52	в которых	2	1
53	к этому	7	1
54	которые они	3	1
55	только в	21	1
56	одном и	1	1
57	потому что	40	1
58	языка если	1	1
59	в их	4	1
60	все дело	2	1
61	образом связаны	1	1
62	и только	4	1
63	то же	12	1
64	чего не	2	1
65	что язык	1	1
66	и не	18	1
67	деле как	1	1
68	гораздо более	1	1
69	собственно и	1	1
70	я не	6	1
71	старых и	1	1
72	находится под	1	1
73	дело в	1	1
74	да и	1	1
75	сводится в	1	1
76	в этом	43	1
77	так как	20	1
78	все это	2	1
79	совершенно ясно	2	1
