N	3gram	Bakhtin_Fr	Sotsiolo
1	по отношению к	2	2
2	в том что	2	2
3	но ведь это	1	2
4	в конце концов	3	2
5	но как и	1	1
6	это и есть	2	1
7	и в то	2	1
8	в то же	13	1
9	том именно и	1	1
10	ровно ничего не	1	1
11	что в них	1	1
12	в конечном счете	1	1
13	дает нам право	1	1
14	с одной стороны	4	1
15	в связи с	5	1
16	на первый план	1	1
17	то что в	1	1
18	о том как	1	1
19	то же время	13	1
20	только то что	2	1
21	в том именно	1	1
22	это вовсе не	2	1
23	во всяком случае	2	1
24	и что на	1	1
25	и в этом	1	1
26	очень далеки от	2	1
27	на точке зрения	1	1
28	в настоящее время	2	1
