N	3gram	Medvedev_V	Vvedenie
1	и т д	16	39
2	для того чтобы	3	22
3	в том что	5	15
4	о том что	3	13
5	не может быть	8	10
6	в этом смысле	1	10
7	до сих пор	2	7
8	в применении к	1	6
9	в самом деле	1	6
10	в то же	5	6
11	в этом случае	1	6
12	то же время	5	6
13	и т п	9	5
14	в том чтобы	2	5
15	на этот вопрос	1	5
16	с другой стороны	8	5
17	т д но	1	5
18	во всяком случае	2	5
19	вопрос о том	1	5
20	по отношению к	7	4
21	по крайней мере	2	4
22	по сравнению с	1	4
23	в прямом смысле	1	4
24	так или иначе	1	4
25	можно было бы	2	4
26	не только в	2	4
27	в данном случае	1	4
28	т е в	2	4
29	но все же	1	4
30	с одной стороны	2	4
31	в этом отношении	14	4
32	в конечном итоге	2	3
33	одной стороны и	2	3
34	той или иной	1	3
35	большей или меньшей	3	3
36	вместе с тем	4	3
37	том отношении что	2	3
38	в чем же	2	3
39	можно сказать что	4	3
40	того чтобы понять	1	3
41	именно в этом	1	3
42	но в то	1	3
43	в зависимости от	5	3
44	тех или иных	1	3
45	также и в	2	3
46	то же самое	1	3
47	сама по себе	1	3
48	по этому поводу	7	3
49	в том отношении	2	3
50	нельзя не признать	1	3
51	на этой почве	1	2
52	в свою очередь	1	2
53	т е не	1	2
54	как будто бы	1	2
55	не в том	2	2
56	но вместе с	1	2
57	в значительной мере	3	2
58	в течение многих	1	2
59	как об этом	2	2
60	таким образом по	2	2
61	этой точки зрения	2	2
62	том или ином	1	2
63	хотя бы и	5	2
64	с этой точки	1	2
65	может быть в	1	2
66	не могут не	2	2
67	только в том	2	2
68	и то же	1	2
69	не говоря уже	1	2
70	а между тем	1	2
71	в конце концов	2	2
72	ответ на этот	1	2
73	одно и то	1	2
74	по меньшей мере	1	2
75	в соответствии с	1	2
76	в том или	1	2
77	следует понимать в	1	2
78	подобно тому как	3	2
79	не могут быть	4	2
80	в связи с	4	2
81	в другом месте	2	2
82	что даже и	1	2
83	после того как	2	2
84	может быть и	1	2
85	но ведь это	1	1
86	деятельности человека и	2	1
87	в той или	1	1
88	в этой системе	1	1
89	в одном и	1	1
90	бы и не	3	1
91	в том же	1	1
92	с этим и	1	1
93	все то что	1	1
94	и др в	3	1
95	того обстоятельства что	1	1
96	и том же	2	1
97	том же направлении	1	1
98	быть и речи	1	1
99	одним из наиболее	1	1
100	на вопрос что	1	1
101	но и в	1	1
102	одной из этих	1	1
103	от того что	2	1
104	примером может служить	1	1
105	как мы знаем	1	1
106	в том смысле	1	1
107	как это было	1	1
108	не в этом	1	1
109	у них не	1	1
110	и в результате	1	1
111	то или иное	1	1
112	из них и	1	1
113	и без того	1	1
114	мы говорим о	1	1
115	отсюда следует что	1	1
116	в целом но	1	1
117	дело не в	1	1
118	понимать в том	1	1
119	в реальной действительности	1	1
120	не следует понимать	5	1
121	как один из	1	1
122	таким образом для	1	1
123	и как оно	1	1
124	как видно из	1	1
125	в том числе	2	1
126	от его содержания	1	1
127	не значит что	1	1
128	у него в	1	1
129	только в этом	1	1
130	более или менее	6	1
131	того или иного	1	1
132	них не было	1	1
133	в частности в	2	1
134	и есть то	1	1
135	в большей или	2	1
136	особый вид познания	1	1
137	в таком случае	1	1
138	а как на	1	1
139	во взглядах на	1	1
140	об искусстве и	1	1
141	говоря уже о	1	1
142	ставится этот вопрос	1	1
143	не было бы	4	1
144	на то или	1	1
145	то о чем	1	1
146	во всех его	2	1
147	образом связана с	1	1
148	могут не быть	1	1
149	с теми или	1	1
150	так же как	1	1
151	или меньшей степени	2	1
152	а потому и	1	1
153	имеем в виду	1	1
154	и никогда не	2	1
155	а в том	1	1
156	об этом речь	1	1
157	не следует забывать	1	1
158	хотя бы уже	1	1
159	дошедших до нас	1	1
160	одной из основных	1	1
161	как если бы	1	1
162	чем же заключается	1	1
163	не может не	2	1
164	заключает в себе	1	1
165	не как на	1	1
166	в точном смысле	2	1
167	к тому что	4	1
168	та или иная	3	1
169	ни к какому	1	1
170	только то что	2	1
171	лицом к лицу	1	1
172	все это не	1	1
173	а одним из	1	1
174	теми или иными	1	1
175	ту или иную	1	1
176	точки зрения на	1	1
177	в начале этой	1	1
178	целого ряда других	1	1
179	одном и том	2	1
180	а не только	1	1
181	том смысле что	1	1
182	только тогда когда	1	1
183	то что в	1	1
184	уже о том	1	1
185	теснейшим образом связана	1	1
186	имеем дело с	1	1
187	каждой из этих	2	1
188	в каждой из	1	1
189	мы имеем дело	1	1
190	но с другой	1	1
191	о природе и	1	1
192	все зависит от	1	1
