N	3gram	Propp_Isto	VrazhdaK
1	в связи с	1	3
2	в том что	7	2
3	не может быть	5	2
4	он не только	1	2
5	с точки зрения	1	2
6	и что в	1	2
7	в ответ на	3	1
8	о чем говорилось	1	1
9	в свете этой	1	1
10	в то время	4	1
11	еще один пример	1	1
12	он как бы	1	1
13	о том как	3	1
14	он вспоминает о	1	1
15	точно так же	2	1
16	так же как	4	1
17	но это не	3	1
18	на то что	1	1
19	не забудем что	1	1
20	что они не	1	1
21	а с другой	1	1
22	что в нем	1	1
23	и то что	1	1
24	о том что	9	1
25	не имеет никаких	1	1
26	при этом он	1	1
27	до сих пор	4	1
28	не все ясно	2	1
29	с тех пор	1	1
30	во всяком случае	3	1
31	этим можно объяснить	1	1
32	тем не менее	4	1
33	как бы в	1	1
34	на первый план	1	1
35	на свое место	2	1
36	с другой стороны	17	1
37	почему этого не	1	1
38	у него в	1	1
39	и из него	1	1
40	что у него	5	1
41	но в целом	1	1
42	независимо от того	2	1
43	на первый взгляд	5	1
44	между прочим и	2	1
45	и что он	2	1
46	говорилось выше и	1	1
47	все же не	1	1
48	и не может	1	1
