N	3gram	Bakhtin_fo	VerxiiNi
1	вместе с тем	3	8
2	с одной стороны	3	7
3	с точки зрения	9	6
4	во всяком случае	1	6
5	друг с другом	5	5
6	до сих пор	4	5
7	для того чтобы	11	5
8	в том числе	7	5
9	том числе и	4	4
10	и вместе с	1	4
11	но все же	3	4
12	о том что	2	4
13	к тому же	2	4
14	в том что	4	3
15	в конце концов	1	3
16	так же как	2	3
17	главным образом в	1	3
18	в связи с	12	3
19	а так как	1	3
20	и для того	1	2
21	он не имеет	1	2
22	той или иной	3	2
23	и связанные с	1	2
24	в значительной мере	2	2
25	с тем и	1	2
26	между этими двумя	3	2
27	сих пор еще	1	2
28	говорили о том	1	2
29	с самого начала	3	2
30	но вместе с	1	2
31	этой точки зрения	1	2
32	то же самое	1	2
33	по сравнению с	3	2
34	можно сказать что	1	2
35	в этом отношении	5	2
36	то же время	13	2
37	в то же	10	2
38	с этой точки	1	2
39	друг на друга	4	2
40	но все это	1	2
41	и в этом	2	2
42	может быть и	4	2
43	но в конце	1	1
44	сами по себе	2	1
45	которой нет ничего	1	1
46	так и в	1	1
47	представлены и в	1	1
48	жизни то есть	2	1
49	те же что	2	1
50	что и у	1	1
51	же представление о	1	1
52	сих пор не	1	1
53	совершенно ясно что	1	1
54	особенно важное значение	2	1
55	все более и	2	1
56	все это для	1	1
57	в таком количестве	1	1
58	в свою очередь	1	1
59	в одном и	1	1
60	всему существующему и	1	1
61	старости и смерти	1	1
62	смысле этого слова	1	1
63	не похожи друг	1	1
64	и том же	1	1
65	том что все	1	1
66	но в то	2	1
67	всем существом своим	1	1
68	с нашей точки	3	1
69	до известной степени	1	1
70	в соответствии с	2	1
71	о каждом из	1	1
72	этими двумя моментами	1	1
73	все это мы	1	1
74	не может быть	4	1
75	по отношению к	3	1
76	и в то	7	1
77	данном случае мы	1	1
78	так как по	1	1
79	в данном случае	2	1
80	мы имеем в	2	1
81	что в таком	2	1
82	и все же	1	1
83	в отличие от	3	1
84	же время он	1	1
85	бросающееся в глаза	1	1
86	принципиально отличается от	1	1
87	же что и	3	1
88	в себе не	1	1
89	того же материала	1	1
90	совершенно иной характер	1	1
91	что в этом	1	1
92	похожи друг на	2	1
93	между собой поэтому	1	1
94	и того же	6	1
95	что касается до	1	1
96	нашей точки зрения	3	1
97	в xvii веке	2	1
98	не может не	1	1
99	имеем в виду	3	1
100	том что они	1	1
101	с тем что	2	1
102	в широком смысле	3	1
103	и в сущности	3	1
104	в самом деле	1	1
105	в котором он	1	1
106	закономерности этого мира	1	1
107	тот факт что	1	1
108	в так называемой	1	1
109	каждая из этих	1	1
110	в одном из	1	1
111	а следовательно и	3	1
112	что происходит в	1	1
113	в этом процессе	1	1
114	совершенно так же	1	1
115	с собой на	1	1
116	связи с тем	1	1
117	с другой стороны	1	1
118	уже говорили о	1	1
119	мы уже говорили	6	1
120	все это было	1	1
121	даже там где	1	1
122	о том как	2	1
123	и у них	1	1
124	одном и том	1	1
125	в то время	3	1
126	все в мире	1	1
127	обстоит дело с	1	1
128	более и более	2	1
129	но по существу	2	1
130	что и в	1	1
131	и путь к	1	1
132	связан и с	1	1
133	он один может	1	1
134	все эти элементы	1	1
135	не имеет ни	1	1
136	одного и того	6	1
137	все эти особенности	2	1
138	лишь то что	1	1
139	имеется и в	1	1
140	друг к другу	2	1
