N	4gram	Losev_Prob	Analitik
1	не что иное как	6	6
2	одного и того же	1	6
3	в той или иной	7	5
4	есть не что иное	6	5
5	с той или иной	1	4
6	в том что он	1	4
7	дело здесь не только	1	4
8	в том или ином	2	4
9	по крайней мере в	1	3
10	дело в том что	3	3
11	одной и той же	1	3
12	здесь не только в	1	3
13	бы то ни было	4	3
14	с этой точки зрения	1	2
15	в то же самое	10	2
16	то же самое время	10	2
17	а в то же	1	2
18	дело не в самом	1	2
19	в тех случаях когда	1	2
20	в войне и мире	1	2
21	один и тот же	1	2
22	какой бы то ни	1	2
23	заключается в том что	4	2
24	одно и то же	3	2
25	доходит до того что	1	1
26	мы имеем в виду	1	1
27	и в этом случае	3	1
28	выхожу один я на	1	1
29	о и а и	1	1
30	по крайней мере не	1	1
31	во всяком случае не	2	1
32	том и заключается что	1	1
33	том или ином отношении	1	1
34	в том смысле что	4	1
35	один я на дорогу	1	1
36	и есть не что	1	1
37	все же не есть	1	1
38	к тому или иному	1	1
39	подобно тому как мы	1	1
40	а не так как	1	1
41	по себе еще не	1	1
42	на самом же деле	7	1
43	в данном случае совершенно	1	1
44	свидетельствует о том что	1	1
45	в том и заключается	1	1
46	тех случаях когда мы	1	1
47	подобно тому например как	1	1
48	никак не может быть	1	1
49	тем не менее в	3	1
50	чего бы то ни	2	1
51	только в том что	1	1
52	и там и здесь	2	1
53	в том числе и	1	1
54	ничего не говорит о	1	1
55	данном случае совершенно не	1	1
56	не сами по себе	1	1
57	но с другой стороны	2	1
58	значении этого слова как	1	1
59	с другой стороны и	1	1
60	в собственном смысле слова	1	1
61	на том или ином	1	1
62	одним и тем же	1	1
63	требует для себя не	1	1
64	той или иной мере	3	1
65	уже по одному этому	1	1
66	ответ на этот вопрос	1	1
