N	3gram	Losev_Prob	Vvedenie
1	и т д	1	39
2	для того чтобы	3	22
3	в том что	13	15
4	о том что	14	13
5	не может быть	2	10
6	в этом смысле	4	10
7	тем не менее	8	9
8	до сих пор	3	7
9	мере в какой	1	6
10	до н э	5	6
11	в самом деле	1	6
12	к выводу что	1	6
13	в то же	2	6
14	то же время	1	6
15	и т п	1	5
16	в том чтобы	2	5
17	не что иное	3	5
18	что иное как	3	5
19	с другой стороны	7	5
20	во всяком случае	6	5
21	вопрос о том	1	5
22	и в том	1	4
23	по отношению к	2	4
24	по крайней мере	8	4
25	с точки зрения	13	4
26	и в особенности	1	4
27	так или иначе	3	4
28	можно было бы	2	4
29	не только в	5	4
30	в данном случае	5	4
31	но все же	2	4
32	с одной стороны	5	4
33	в этом отношении	4	4
34	и в этом	1	4
35	не только как	1	4
36	и тем не	1	3
37	той или иной	4	3
38	вместе с тем	5	3
39	заключается в том	1	3
40	можно сказать что	4	3
41	того чтобы понять	1	3
42	именно в этом	1	3
43	дело в том	4	3
44	но в то	2	3
45	как мы видели	1	3
46	тех или иных	2	3
47	и то что	3	3
48	также и в	2	3
49	то же самое	2	3
50	сама по себе	2	3
51	что представляет собой	1	3
52	по этому поводу	4	3
53	в известном смысле	1	3
54	или иначе но	1	2
55	в свою очередь	2	2
56	в большей степени	1	2
57	как будто бы	3	2
58	не в том	1	2
59	и потому что	2	2
60	в значительной мере	3	2
61	в до н	2	2
62	на задний план	1	2
63	на том что	1	2
64	по своему значению	1	2
65	в самом своем	1	2
66	этой точки зрения	2	2
67	в большей части	1	2
68	с этой точки	2	2
69	это не только	1	2
70	только в том	2	2
71	как мы уже	1	2
72	состоит в том	1	2
73	каждой из них	1	2
74	не говоря уже	2	2
75	сам по себе	3	2
76	в конце концов	7	2
77	потому что он	2	2
78	точно так же	4	2
79	в том или	3	2
80	всяком случае не	1	2
81	принять во внимание	1	2
82	вовсе не только	1	2
83	в связи с	11	2
84	а так как	1	2
85	что даже и	1	2
86	всего то что	2	2
87	обратить внимание на	4	2
88	свое значение и	1	2
89	после того как	3	2
90	что несмотря на	1	2
91	вовсе не в	1	2
92	а также и	3	2
93	вечных стремлений человека	1	1
94	не только по	1	1
95	древней греции и	1	1
96	что в ней	1	1
97	в той или	2	1
98	в и в	1	1
99	н э в	3	1
100	таким образом мы	1	1
101	пор и в	1	1
102	в одном и	1	1
103	в том же	1	1
104	здесь нет никакого	1	1
105	о котором мы	1	1
106	и том же	1	1
107	на одной из	1	1
108	никак не может	2	1
109	который мог бы	1	1
110	он должен быть	1	1
111	вв до н	2	1
112	одним из самых	1	1
113	в том как	1	1
114	но и в	2	1
115	нисколько не мешает	1	1
116	одной из этих	1	1
117	во главе с	1	1
118	от того что	1	1
119	в xix в	1	1
120	себе отчет в	1	1
121	в том смысле	2	1
122	как это было	1	1
123	все равно не	1	1
124	имеется в виду	1	1
125	и в дальнейшем	1	1
126	на самом деле	2	1
127	то или иное	1	1
128	ли кто-нибудь может	1	1
129	xix в и	1	1
130	того же автора	2	1
131	здесь как и	1	1
132	случае не есть	1	1
133	а именно в	3	1
134	у меня в	2	1
135	заключается не только	1	1
136	в своей работе	1	1
137	приходит к выводу	1	1
138	и не в	2	1
139	тот факт что	1	1
140	в каждом из	1	1
141	он вовсе не	1	1
142	в том числе	2	1
143	который хотя и	1	1
144	не значит что	1	1
145	в средние века	1	1
146	связи с этим	1	1
147	и для того	1	1
148	более или менее	1	1
