N	2gram	Tiupa_Disk	Istorich
1	в сказке	3	252
2	и в	27	181
3	может быть	29	115
4	не только	36	114
5	что он	6	111
6	мы имеем	4	102
7	что в	8	90
8	но и	22	85
9	в этом	29	81
10	то что	10	73
11	таким образом	4	72
12	вместе с	3	71
13	и не	25	67
14	все же	8	65
15	в этих	4	64
16	еще не	20	63
17	не может	17	61
18	то же	12	56
19	никогда не	3	56
20	в том	29	53
21	том что	27	53
22	а в	5	52
23	с другой	14	52
24	потому что	7	52
25	и что	2	51
26	что и	5	51
27	мы видели	1	49
28	а не	35	48
29	о том	12	48
30	его в	1	47
31	не в	8	47
32	другой стороны	5	46
33	превращается в	1	45
34	мы должны	1	44
35	но в	15	44
36	это не	5	43
37	и его	4	43
38	в нем	16	42
39	только в	9	42
40	как в	16	42
41	представление о	1	41
42	или в	2	39
43	тем что	4	38
44	и на	8	38
45	в его	9	38
46	как и	27	37
47	уже не	7	37
48	он не	4	37
49	что здесь	1	37
50	так и	14	37
51	мы можем	1	36
52	что они	1	35
53	с тем	1	35
54	мы не	2	35
55	все эти	2	35
56	не всегда	2	34
57	связи с	4	34
58	но не	17	34
59	а именно	1	34
60	во время	1	34
61	что это	1	34
62	представления о	2	33
63	же как	1	33
64	там где	1	33
65	об этом	3	33
66	сих пор	1	32
67	в качестве	45	32
68	один из	3	31
69	прежде всего	17	31
70	так в	1	31
71	представляет собой	24	31
72	ничего не	1	31
73	с этим	3	30
74	с одной	12	30
75	в русской	4	30
76	в сказках	2	30
77	до сих	1	30
78	к нему	1	30
79	при помощи	1	30
80	этом случае	3	29
81	но все	2	29
82	одной стороны	12	29
83	как мы	2	29
84	но это	3	29
85	и другие	1	28
86	что она	1	28
87	что сказка	1	28
88	и с	2	28
89	например в	4	28
90	героя в	6	27
91	так что	1	27
92	могут быть	5	27
93	в образе	1	27
94	того что	4	27
95	как это	2	26
96	на него	2	26
97	и др	3	26
98	представляют собой	2	26
99	в ней	2	26
100	вопрос о	2	25
101	и он	2	25
102	не менее	6	24
103	видно что	1	24
104	к этому	4	24
105	было бы	1	24
106	в виде	1	24
107	если бы	1	24
108	представлений о	1	23
109	их в	2	23
110	как бы	9	23
111	и это	3	23
112	тем не	1	23
113	в этой	5	23
114	все это	2	23
115	когда он	3	23
116	в частности	18	23
117	и по	2	22
118	при этом	22	22
119	в некоторых	1	22
120	связано с	1	21
121	в другом	5	21
122	в одном	5	21
123	сказать что	4	21
124	в связи	1	21
125	должны были	1	21
126	здесь не	1	21
127	к тому	6	21
128	они не	2	21
129	ее в	1	21
130	в мифе	1	20
131	из них	6	20
132	из этих	3	20
133	она не	1	20
134	наряду с	1	20
135	одна из	1	20
136	в других	1	20
137	в силу	5	20
138	так например	2	19
139	на том	2	19
140	в тех	2	19
141	все еще	1	19
142	на то	1	19
143	и как	9	19
144	живет в	3	19
145	в то	8	18
146	что этот	1	18
147	не все	1	18
148	в данном	9	18
149	вовсе не	1	18
150	в них	6	17
151	том как	1	17
152	то и	1	17
153	дело не	3	17
154	и только	1	17
155	герой в	1	16
156	во всех	6	16
157	всех этих	1	16
158	и они	1	16
159	в котором	7	16
160	между двумя	1	16
161	не вполне	1	16
162	и действительно	1	16
163	и все	5	16
164	со стороны	17	16
165	перед нами	4	16
166	даже в	1	15
167	в пределах	4	15
168	за тридевять	1	15
169	но есть	1	15
170	в особенности	5	15
171	и то	4	15
172	в своей	10	15
173	в которых	5	15
174	данном случае	6	15
175	его и	1	15
176	и там	1	15
177	в одной	4	15
178	и эти	1	15
179	в античности	1	15
180	как будто	3	15
181	и даже	4	15
182	на его	4	15
183	и тем	2	15
184	он в	1	15
185	друг друга	2	15
186	в целом	5	15
187	с этой	2	14
188	на смену	3	14
189	по отношению	13	14
190	в исторической	2	14
191	и ее	5	14
192	одной из	4	14
193	право на	1	14
194	его на	1	14
195	должна быть	2	14
196	но они	3	14
197	и есть	2	14
198	из которых	1	14
199	с ней	3	14
200	более ранних	1	14
201	тридевять земель	1	14
202	а также	15	14
203	отношение к	6	14
204	отношению к	13	14
205	на себя	2	14
206	и наконец	2	14
207	или на	3	13
208	в своем	11	13
209	по себе	3	13
210	сказки в	1	13
211	сказки и	2	13
212	тогда как	28	13
213	в себе	22	13
214	в таких	1	13
215	своего рода	15	13
216	не просто	1	13
217	на этом	3	13
218	в форме	2	13
219	и от	2	13
220	с ними	1	13
221	не имеет	1	13
222	в книге	2	13
223	сказка не	1	13
224	к своему	2	13
225	его не	1	13
226	таким же	1	13
227	во всем	2	12
228	хотя бы	3	12
229	к себе	2	12
230	а потом	2	12
231	утверждать что	1	12
232	в основном	1	12
233	и герой	3	12
234	ответ на	1	12
235	о нем	3	12
236	в их	5	12
237	на более	1	12
238	не знает	4	12
239	одним из	2	12
240	что не	4	12
241	ни один	1	12
242	чаще всего	1	12
243	за ним	1	12
244	случаях когда	1	12
245	и их	1	12
246	в этот	1	11
247	некоторое время	1	11
248	к которому	2	11
249	точки зрения	6	11
250	я не	1	11
251	от этого	1	11
252	эту связь	1	11
253	должны быть	3	11
254	стоит на	1	11
255	уже в	2	11
256	же в	1	11
257	по мере	2	11
258	восходит к	4	11
259	но уже	3	11
260	тех случаях	1	11
261	хотя и	3	11
262	должно было	2	11
263	но оно	1	11
264	и более	1	11
265	этого не	1	11
266	такой же	1	11
267	человека в	6	11
268	далеко не	10	11
269	и к	4	10
270	не как	5	10
271	на земле	1	10
272	к ним	3	10
273	от них	1	10
274	не было	9	10
275	в которой	2	10
276	а с	8	10
277	его к	1	10
278	вслед за	1	10
279	что же	4	10
280	но если	1	10
281	однако это	3	10
282	связаны с	1	10
283	и других	1	10
284	о чем	4	10
285	говорит о	1	10
286	там же	3	10
287	в это	1	10
288	в различных	2	10
289	приходит к	1	10
290	как правило	5	10
291	не мог	1	10
292	себя в	8	10
293	в состоянии	1	10
294	в ее	4	10
295	но как	2	10
296	сказки с	1	10
297	ни в	7	10
298	не знаем	1	10
299	указывает на	2	10
300	то чего	1	10
301	три года	1	10
302	более или	2	9
303	на первый	1	9
304	но эти	1	9
305	только на	2	9
306	том чтобы	2	9
307	сказкой и	1	9
308	но для	2	9
309	в чем	2	9
310	героя и	2	9
311	сюда же	1	9
312	не будет	1	9
313	также не	1	9
314	герой не	1	9
315	это и	2	9
316	в свою	3	9
317	целый ряд	2	9
318	на этот	1	9
319	он должен	1	9
320	зависит от	2	9
321	бы мы	1	9
322	из этого	1	9
323	а по	2	9
324	из другой	1	9
325	он имеет	1	9
326	в первую	3	9
327	которой он	1	9
328	когда она	1	9
329	следующим образом	1	9
330	и сказка	3	9
331	не могут	2	9
332	в себя	7	9
333	пребывания в	1	9
334	или же	1	9
335	а как	1	9
336	в основе	11	9
337	в истории	5	9
338	с его	9	9
339	ему в	3	9
340	но по	1	9
341	или менее	2	9
342	но здесь	2	9
343	стороны и	3	9
344	стоит в	1	9
345	приводит к	4	9
346	что на	3	9
347	жизни и	2	9
348	сказке но	1	8
349	и сам	2	8
350	в некотором	1	8
351	именно в	5	8
352	во всяком	3	8
353	он был	1	8
354	это тоже	1	8
355	превратился в	1	8
356	восходят к	2	8
357	с другими	1	8
358	большинстве случаев	2	8
359	чем это	1	8
360	на нем	1	8
361	подобно тому	4	8
362	с целью	1	8
363	солнца и	1	8
364	в отдельности	1	8
365	из его	1	8
366	и наоборот	1	8
367	у них	1	8
368	независимо от	1	8
369	или даже	2	8
370	и потому	3	8
371	но она	3	8
372	не с	4	8
373	тем самым	6	8
374	могло быть	1	8
375	же самое	2	8
376	которые в	1	8
377	для этого	1	8
378	или по	1	8
379	одно из	4	8
380	роль в	10	8
381	можно сказать	7	8
382	входит в	2	8
383	тут же	3	8
384	она и	1	8
385	что его	1	8
386	здесь же	1	8
387	встречается в	1	8
388	не дает	1	8
389	в современной	2	8
390	сказка как	1	8
391	образом и	1	8
392	его с	2	8
393	на своем	1	8
394	может оказаться	1	8
395	что такое	1	8
396	здесь в	4	8
397	но с	1	8
398	не имеют	2	8
399	должен быть	1	8
400	это явление	1	8
401	он говорит	1	8
402	тому как	5	8
403	в жизни	2	8
404	от того	1	8
405	можно указать	1	8
406	не столько	3	7
407	только через	2	7
408	приходит в	2	7
409	первый взгляд	1	7
410	а сам	4	7
411	будто бы	3	7
412	не есть	3	7
413	между собой	2	7
414	о которых	1	7
415	в работе	1	7
416	между тем	5	7
417	если в	2	7
418	и при	1	7
419	самом деле	2	7
420	обращается к	1	7
421	состоит в	20	7
422	на самом	1	7
423	что ни	3	7
424	образом в	1	7
425	на них	1	7
426	не по	1	7
427	здесь совершенно	1	7
428	иногда и	1	7
429	в начале	2	7
430	еще в	6	7
431	в области	3	7
432	вплоть до	2	7
433	случае мы	1	7
434	те же	1	7
435	в каких	1	7
436	и стали	1	7
437	я буду	1	7
438	как на	1	7
439	о ней	2	7
440	указать на	3	7
441	в конце	1	7
442	себе и	1	7
443	а только	1	7
444	того же	5	7
445	когда мы	1	7
446	однако в	3	7
447	не то	2	7
448	этого слова	1	7
449	всяком случае	2	7
450	для него	9	7
451	как у	1	7
452	со своим	1	7
453	как она	1	7
454	с самого	2	7
455	в какой	2	7
456	в большинстве	3	7
457	и часто	1	7
458	со своими	1	7
459	одного из	5	7
460	и о	4	7
461	же и	1	6
462	его от	1	6
463	между ними	1	6
464	не удается	1	6
465	дело с	2	6
466	той же	2	6
467	как можно	1	6
468	как говорит	1	6
469	иногда не	2	6
470	что как	1	6
471	они же	1	6
472	он стал	1	6
473	только о	2	6
474	равно как	1	6
475	его как	3	6
476	это приводит	1	6
477	еще одно	1	6
478	с миром	2	6
479	где нет	1	6
480	в роли	1	6
481	а через	1	6
482	работе о	1	6
483	в сказании	6	6
484	сказки о	3	6
485	это еще	2	6
486	этих двух	1	6
487	отличие от	13	6
488	ей в	2	6
489	также и	6	6
490	одну из	2	6
491	от отца	1	6
492	не случайно	2	6
493	сводится к	7	6
494	волшебная сказка	1	6
495	к небу	1	6
496	самого начала	2	6
497	то в	1	6
498	от его	1	6
499	и сказкой	2	6
500	не соответствует	1	6
501	и за	1	6
502	к жизни	1	6
503	тому же	5	6
