N	2gram	Tiupa_Teor	Narrotol
1	не только	24	62
2	и не	17	50
3	при этом	20	47
4	но и	14	45
5	а не	14	38
6	в качестве	33	35
7	в частности	23	31
8	может быть	22	30
9	и в	24	30
10	в том	20	29
11	в этом	12	28
12	тогда как	18	28
13	своего рода	11	28
14	том что	11	28
15	а в	15	27
16	такого рода	13	26
17	с собачкой	1	25
18	представляет собой	13	25
19	только в	9	25
20	состоит в	22	25
21	в данном	9	24
22	как и	6	24
23	не в	9	23
24	то что	6	23
25	то есть	22	22
26	в тексте	19	22
27	не может	8	20
28	в рассказе	2	18
29	в себе	14	17
30	данном случае	5	17
31	так и	14	17
32	а также	7	17
33	со стороны	6	16
34	в его	12	16
35	к тому	4	15
36	можно сказать	5	15
37	и т.п	7	15
38	но в	12	15
39	иначе говоря	5	15
40	в жизни	3	14
41	картина мира	6	14
42	и его	11	14
43	то же	12	13
44	в своей	8	13
45	уже не	6	13
46	о том	2	13
47	в своем	7	13
48	у него	2	13
49	времени и	2	13
50	все же	1	12
51	картины мира	3	12
52	сводится к	12	12
53	как в	5	12
54	перед нами	3	12
55	как бы	8	12
56	прежде всего	3	12
57	по отношению	10	11
58	об этом	2	11
59	хотя и	4	11
60	в мире	26	11
61	если бы	3	11
62	и тем	5	11
63	в этой	3	11
64	дамы с	1	11
65	в нем	7	11
66	жизни в	2	11
67	в отличие	7	11
68	отличие от	7	11
69	тем самым	6	11
70	отношению к	10	11
71	один из	2	10
72	как правило	5	10
73	никогда не	4	10
74	тому же	1	10
75	точки зрения	11	10
76	всего лишь	8	10
77	между тем	5	10
78	как это	10	10
79	в то	9	10
80	не является	5	10
81	жизни и	1	10
82	с его	6	10
83	того что	5	10
84	коммуникативного события	10	10
85	но не	13	10
86	и т.д	4	10
87	в соответствии	3	9
88	как раз	3	9
89	тем не	3	9
90	коммуникативное событие	2	9
91	той или	3	9
92	не сводится	9	9
93	я в	18	9
94	столь же	3	9
95	отнюдь не	3	9
96	что в	10	9
97	с ним	1	9
98	что он	4	9
99	еще не	6	9
100	потому что	3	9
101	во времени	4	9
102	для него	5	9
103	далеко не	4	9
104	в рамках	13	9
105	в той	2	8
106	и к	3	8
107	в самом	7	8
108	в таком	3	8
109	о чем	3	8
110	по мысли	3	8
111	не менее	6	8
112	большей части	2	8
113	одна из	1	8
114	он не	5	8
115	действующих лиц	1	8
116	самом деле	2	8
117	того чтобы	5	8
118	мы имеем	7	8
119	же время	8	8
120	соответствии с	2	8
121	и для	3	8
122	в литературе	4	8
123	у нас	2	8
124	по большей	2	8
125	у нее	1	8
126	или иной	7	8
127	мира в	3	8
128	в финале	3	7
129	в принципе	7	7
130	имеет место	3	7
131	при всей	2	7
132	в котором	1	7
133	встречи с	1	7
134	с другой	9	7
135	едва ли	1	7
136	в ее	6	7
137	на себя	2	7
138	в конце	2	7
139	в чем	2	7
140	в силу	4	7
141	и на	2	7
142	в форме	4	7
143	же в	1	7
144	и состоит	2	7
145	в свою	4	7
146	это не	4	7
147	вслед за	3	7
148	из наиболее	1	7
149	человеческого я	3	7
150	или в	3	7
151	также и	1	7
152	одного из	1	7
153	в целом	4	7
154	все что	1	6
155	в результате	1	6
156	например в	3	6
157	между двумя	3	6
158	сказать что	4	6
159	в нашем	4	6
160	имеем дело	2	6
161	о ней	3	6
162	то в	2	6
163	с одной	3	6
164	что и	2	6
165	в конечном	6	6
166	героя и	6	6
167	в случае	2	6
168	не могла	1	6
169	главного героя	1	6
170	человеческих отношений	2	6
171	известном смысле	2	6
172	однако в	7	6
173	однако и	1	6
174	во втором	3	6
175	в состав	6	6
176	таким образом	3	6
177	представляют собой	1	6
178	никак не	1	6
179	к его	3	6
180	в слове	4	6
181	в известном	2	6
182	то и	1	6
183	из этих	3	6
184	присутствия в	8	6
185	в сознании	1	6
186	здесь не	2	6
187	они не	1	6
188	уже говорилось	2	6
189	как у	1	6
190	слова в	4	6
191	не по	1	6
192	одной стороны	3	6
193	на то	1	6
194	в центре	1	5
195	человеческой жизни	3	5
196	исходя из	1	5
197	и конца	1	5
198	дело с	1	5
199	не столько	7	5
200	в своих	1	5
201	и даже	2	5
202	и сам	4	5
203	именно в	3	5
204	а именно	3	5
205	мира и	4	5
206	и того	4	5
207	свою очередь	3	5
208	другая жизнь	1	5
209	в другом	4	5
210	для того	5	5
211	не всегда	2	5
212	может служить	2	5
213	в одном	3	5
214	себя в	7	5
215	из них	1	5
216	к нему	2	5
217	художественного письма	7	5
218	от его	1	5
219	начала и	1	5
220	не было	1	5
221	я не	2	5
222	такова что	1	5
223	человек в	1	5
224	между собой	3	5
225	его жизни	1	5
226	а для	2	5
227	в русской	6	5
228	по поводу	1	5
229	следует признать	2	5
230	и от	1	5
231	с ее	4	5
232	и здесь	2	5
233	что это	1	5
234	подобно тому	3	5
235	если не	1	5
236	их в	3	5
237	с ними	2	5
238	да и	1	5
239	о котором	1	5
240	вследствие этого	2	5
241	было бы	1	5
242	за пределами	5	5
243	и то	3	5
244	свидетельствует о	1	5
245	читателя в	4	5
246	являет собой	3	5
247	о жизни	2	5
248	в равной	3	5
249	в какой	2	5
250	тем более	2	5
251	тому как	3	5
252	высказывания в	5	5
253	в пределах	5	5
254	не случайно	5	5
255	и о	5	5
256	говорилось выше	1	5
257	этом и	1	5
258	место в	7	5
259	как будто	2	5
260	себе самому	1	5
261	или напротив	2	5
262	в душе	9	4
263	и мира	2	4
264	субъекта самоопределения	1	4
265	даже в	3	4
266	строго говоря	2	4
267	в виду	5	4
268	по себе	2	4
269	в них	2	4
270	жизненной позиции	1	4
271	в первом	2	4
272	ведет к	2	4
273	конечном счете	6	4
