N	2gram	Nazirov_Vr	VelikijI
1	и не	5	20
2	и в	8	16
3	то что	7	9
4	в истории	4	8
5	еще не	2	8
6	что они	1	7
7	к людям	1	6
8	человека и	1	6
9	не есть	1	6
10	что есть	3	5
11	хотя и	1	5
12	того что	1	5
13	все это	4	5
14	как бы	4	5
15	в мире	2	5
16	но и	7	5
17	все что	1	4
18	в котором	6	4
19	в этом	8	4
20	потому что	1	4
21	в его	3	4
22	в ней	4	4
23	так и	1	4
24	говорить о	1	4
25	и есть	1	4
26	и все	7	4
27	как и	6	4
28	что он	4	4
29	и я	1	4
30	в нем	6	4
31	о великом	1	4
32	во всех	1	3
33	что в	7	3
34	нет ничего	1	3
35	в конце	3	3
36	в том	3	3
37	от которого	1	3
38	и что	8	3
39	в этих	1	3
40	в них	2	3
41	не было	5	3
42	в жизни	1	3
43	что я	2	3
44	человечества и	1	3
45	их в	2	3
46	в своей	2	3
47	с его	3	3
48	не имеет	1	3
49	но это	2	3
50	истории человечества	1	3
51	жизни и	1	3
52	в чем	3	3
53	но в	6	3
54	никогда не	2	3
55	во всяком	1	2
56	его и	2	2
57	уже на	1	2
58	ее и	1	2
59	один из	1	2
60	не могли	1	2
61	это не	4	2
62	между тем	5	2
63	не только	9	2
64	для него	2	2
65	человека как	1	2
66	с ним	4	2
67	не будет	1	2
68	для нас	4	2
69	и то	2	2
70	не с	1	2
71	прежде всего	1	2
72	так не	1	2
73	в форме	1	2
74	людей и	1	2
75	а между	1	2
76	вслед за	1	2
77	и это	2	2
78	все равно	1	2
79	а с	2	2
80	а в	2	2
81	до того	1	2
82	в духе	1	2
83	не хотел	1	2
84	и сам	1	2
85	я думаю	1	2
86	ненависти и	1	2
87	верит в	1	2
88	но не	1	2
89	у людей	1	2
90	и никогда	1	2
91	тем что	3	2
92	тот кто	1	2
93	легенда о	1	2
94	и во	3	2
95	могут быть	1	2
96	не имел	1	2
97	давно уже	3	2
98	уж конечно	1	2
99	одна из	2	2
100	для хранения	1	2
101	да и	1	2
102	том что	3	2
103	но мы	1	2
104	уже не	2	2
105	в великом	1	1
106	в самом	1	1
107	во всем	1	1
108	было не	1	1
109	человека в	3	1
110	но как	2	1
111	все в	1	1
112	речь идет	3	1
113	может быть	4	1
114	они не	1	1
115	раз и	1	1
116	свое место	1	1
117	если в	1	1
118	лет назад	1	1
119	того как	1	1
120	это как	1	1
121	и уж	1	1
122	и вообще	1	1
123	его с	2	1
124	с любовью	1	1
125	уже в	4	1
126	б и	2	1
127	что уже	1	1
128	то же	5	1
129	живет в	1	1
130	можно признать	1	1
131	нельзя не	1	1
132	обратился к	1	1
133	что это	1	1
134	более всего	1	1
135	не всегда	1	1
136	него в	1	1
137	в глазах	2	1
138	о чем	2	1
139	в ее	1	1
140	и уже	3	1
141	души и	1	1
142	говорит о	1	1
143	нашего времени	2	1
144	чем у	1	1
145	есть еще	1	1
146	искать в	1	1
147	от этой	1	1
148	с ненавистью	1	1
149	я вижу	1	1
150	и ненависти	1	1
151	этому же	1	1
152	в одном	1	1
153	о своем	1	1
154	в этой	2	1
155	это слово	1	1
156	в виду	4	1
157	другой стороны	1	1
158	я не	3	1
159	человека к	1	1
160	у него	5	1
161	вот в	1	1
162	так же	4	1
163	тогда как	2	1
164	не был	1	1
165	праве любить	1	1
166	но с	1	1
167	и самые	1	1
168	в своих	4	1
169	христа и	1	1
170	их и	1	1
171	эта попытка	1	1
172	из ненависти	1	1
173	в разные	1	1
174	с другой	1	1
175	конечно в	1	1
176	говорил с	1	1
177	и с	6	1
178	и можно	1	1
179	к ним	2	1
180	неверие в	1	1
181	достоевский имел	1	1
182	людей а	1	1
183	отношение к	2	1
184	он всегда	1	1
185	ко всем	1	1
186	на нее	1	1
187	имя его	1	1
188	известном смысле	1	1
189	но вот	1	1
190	в процессе	1	1
191	близок к	1	1
192	у человека	1	1
193	в своем	3	1
194	меня в	1	1
195	человек и	1	1
196	его на	2	1
197	был в	1	1
198	и от	1	1
199	тем чтобы	1	1
200	быть может	1	1
201	ничего не	1	1
202	равно не	1	1
203	несравненно более	1	1
204	тогда это	1	1
205	по крайней	1	1
206	нам уже	1	1
207	о которой	2	1
208	что тот	1	1
209	вместе с	2	1
210	все же	6	1
211	но я	1	1
212	как в	1	1
213	роль в	1	1
214	еще к	1	1
215	к этому	3	1
216	теперь это	1	1
217	в их	1	1
218	с которым	2	1
219	который был	3	1
220	это в	2	1
221	ли он	1	1
222	конце концов	1	1
223	в известном	2	1
224	не просто	1	1
225	он был	3	1
226	в целом	1	1
227	крайней мере	1	1
228	и ее	2	1
229	презрения к	1	1
230	легенду о	1	1
231	и отвергает	1	1
232	в речах	1	1
233	и дал	1	1
234	бы в	1	1
235	к нему	1	1
236	от них	1	1
