N	2gram	Bakhtin_KF	VLabPisa
1	в этом	15	29
2	не только	5	26
3	и в	28	26
4	может быть	45	23
5	и не	28	20
6	хотя бы	5	20
7	художественного творчества	1	19
8	не может	29	17
9	в процессе	2	17
10	в его	42	15
11	в том	6	15
12	все это	10	13
13	прежде всего	4	13
14	в качестве	2	12
15	как это	1	12
16	что в	4	11
17	то же	5	10
18	о том	3	10
19	но и	9	10
20	и др	1	10
21	для него	13	9
22	об этом	1	9
23	к этому	2	9
24	могут быть	3	8
25	только в	18	8
26	все эти	11	8
27	вместе с	1	8
28	том что	4	8
29	ни один	1	8
30	было бы	8	8
31	не следует	2	8
32	в своем	17	8
33	это не	10	7
34	в конечном	1	7
35	не было	8	7
36	по отношению	26	7
37	тому что	2	7
38	как и	5	7
39	их в	1	7
40	действительности и	1	7
41	во всех	11	7
42	а не	17	7
43	то что	7	7
44	главным образом	1	7
45	отношению к	22	7
46	же в	1	7
47	в нем	32	7
48	один из	2	6
49	все же	5	6
50	приводит к	1	6
51	это и	3	6
52	бы и	3	6
53	в искусстве	1	6
54	не в	13	6
55	между тем	4	6
56	так и	2	6
57	в себе	21	6
58	в зависимости	1	6
59	том же	1	6
60	и его	18	6
61	в то	3	6
62	утверждать что	1	5
63	в результате	1	5
64	в их	9	5
65	конечном счете	1	5
66	зависимости от	1	5
67	к тому	1	5
68	не является	1	5
69	на основе	7	5
70	в одном	5	5
71	же время	2	5
72	как бы	9	5
73	в целом	10	5
74	и есть	10	5
75	никогда не	5	5
76	в самом	1	4
77	основных чертах	1	4
78	ее в	1	4
79	только что	1	4
80	познания и	4	4
81	в ее	17	4
82	как раз	1	4
83	можно сказать	1	4
84	в этой	2	4
85	в единстве	8	4
86	что все	1	4
87	что он	2	4
88	равно как	1	4
89	в виду	3	4
90	с тем	2	4
91	с ними	4	4
92	в своей	11	4
93	должен быть	7	4
94	с его	2	4
95	в философии	1	4
96	это только	2	4
97	когда он	1	4
98	их и	1	4
99	в сознании	2	4
100	из его	3	4
101	одна из	1	4
102	по поводу	1	4
103	отнюдь не	7	4
104	и ее	2	4
105	познания в	2	4
106	и к	1	3
107	и он	1	3
108	этот процесс	1	3
109	мы имеем	5	3
110	действительной жизни	3	3
111	своем содержании	2	3
112	того что	3	3
113	но как	5	3
114	видеть в	1	3
115	него в	1	3
116	что и	7	3
117	сводится к	2	3
118	его в	5	3
119	в форме	1	3
120	творчества и	1	3
121	если бы	8	3
122	или в	1	3
123	именно в	5	3
124	момент в	7	3
125	между ними	1	3
126	и как	2	3
127	же и	1	3
128	например что	1	3
129	мира и	4	3
130	вовсе не	7	3
131	с этим	1	3
132	и мир	2	3
133	а в	5	3
134	что не	3	3
135	как о	1	3
136	в котором	24	3
137	в основных	1	3
138	она не	2	3
139	в значительной	1	3
140	его не	1	3
141	того чтобы	2	3
142	для того	3	3
143	а значит	2	3
144	так называемые	1	3
145	и их	6	3
146	всех других	2	3
147	человека и	3	3
148	нет и	3	3
149	работая над	1	3
150	образом в	1	3
151	и от	1	3
152	точки зрения	13	3
153	жизни и	8	3
154	и по	1	3
155	всех этих	3	3
156	и весь	4	2
157	только не	1	2
158	и этот	3	2
159	из которых	2	2
160	от его	5	2
161	они не	1	2
162	на язык	3	2
163	самого себя	1	2
164	должно быть	6	2
165	зависит от	1	2
166	ее как	2	2
167	должна быть	4	2
168	тогда когда	3	2
169	смысле слова	1	2
170	говорить о	2	2
171	следует что	1	2
172	хотя и	1	2
173	а затем	1	2
174	и через	1	2
175	его от	1	2
176	от до	1	2
177	по себе	2	2
178	единого и	9	2
179	но с	1	2
180	в своих	4	2
181	и даже	1	2
182	и наконец	1	2
183	в которой	1	2
184	не о	2	2
185	ни одна	2	2
186	всех его	2	2
187	и социальные	1	2
188	мысль о	1	2
189	что она	1	2
190	но не	12	2
191	в ней	3	2
192	и познания	1	2
193	который по	1	2
194	включен в	1	2
195	в материальной	1	2
196	в жизни	2	2
197	стороны в	3	2
198	в последнем	1	2
199	к его	1	2
200	не подлежит	1	2
201	между прочим	1	2
202	что мы	1	2
203	и просто	2	2
204	на этом	1	2
205	противном случае	1	2
206	живет не	1	2
207	не менее	3	2
208	можно ли	2	2
209	только для	1	2
210	бы не	3	2
211	остановимся на	1	2
212	может не	2	2
213	отличается от	1	2
214	на то	1	2
215	себе и	3	2
216	в чем	4	2
217	могло бы	4	2
218	но к	1	2
219	сих пор	1	2
220	а для	2	2
221	от них	1	2
222	еще не	5	2
223	эти положения	1	2
224	нам остается	1	2
225	все они	2	2
226	в каждом	3	2
227	во всяком	1	2
228	и потому	2	2
229	обычно и	1	2
230	того или	3	2
231	до сих	1	2
232	а к	1	2
233	в конкретной	3	2
234	а как	2	2
235	значит что	1	2
236	ли это	2	2
237	много и	1	2
238	всяком случае	1	2
239	относится к	1	2
240	также и	1	2
241	ту же	1	2
242	в другом	3	2
243	не по	4	2
244	не быть	3	2
245	из себя	11	2
246	формы и	1	2
