N	2gram	Bakhtin_fo	Sotsiolo
1	истории литературы	1	10
2	все это	10	7
3	в том	16	5
4	в этом	41	5
5	не только	16	3
6	не в	10	3
7	и в	84	3
8	и только	3	3
9	в его	19	3
10	для нас	2	3
11	их между	1	2
12	что в	9	2
13	ведь это	2	2
14	то что	13	2
15	таким образом	14	2
16	том что	7	2
17	или даже	1	2
18	дело не	1	2
19	как бы	11	2
20	в результате	6	2
21	было бы	2	2
22	в смысле	5	2
23	в частности	11	2
24	по природе	2	2
25	но и	14	2
26	конце концов	1	2
27	может быть	18	2
28	идей и	1	2
29	по существу	17	2
30	она может	1	2
31	главным образом	1	2
32	и что	1	2
33	это и	1	2
34	за пределы	1	2
35	по отношению	3	2
36	в конце	11	2
37	как только	1	2
38	отношению к	5	2
39	исторического развития	1	2
40	должна быть	1	2
41	далеко не	3	2
42	тем более	4	2
43	только в	12	2
44	то же	18	2
45	еще не	8	2
46	как то	1	1
47	а в	6	1
48	что он	2	1
49	несколько упрощенно	1	1
50	образом в	1	1
51	стиль в	1	1
52	в таких	2	1
53	в целом	2	1
54	на этот	1	1
55	это значит	3	1
56	более не	1	1
57	все эти	12	1
58	не было	8	1
59	когда мы	2	1
60	связи с	14	1
61	в своей	2	1
62	во всяком	5	1
63	в мире	4	1
64	и потому	4	1
65	переходим к	1	1
66	все же	12	1
67	что это	1	1
68	или не	2	1
69	еще и	3	1
70	от друга	2	1
71	на ней	1	1
72	с другой	4	1
73	мы понимаем	1	1
74	мы должны	2	1
75	и стало	1	1
76	в соответствующих	1	1
77	это как	1	1
78	это же	1	1
79	единства и	2	1
80	с ним	5	1
81	между тем	1	1
82	естествознания и	1	1
83	и более	3	1
84	но как	1	1
85	в этой	3	1
86	время в	7	1
87	из себя	1	1
88	в свои	1	1
89	и его	26	1
90	два или	1	1
91	быть для	1	1
92	всему этому	1	1
93	в данном	4	1
94	только для	2	1
95	этих вопросов	1	1
96	далеки от	1	1
97	в области	1	1
98	и по	5	1
99	самому существу	1	1
100	первый план	2	1
101	с помощью	5	1
102	же самое	2	1
103	один из	5	1
104	так и	17	1
105	писатель как	1	1
106	в то	13	1
107	может не	1	1
108	реализма и	1	1
109	слова но	1	1
110	в котором	8	1
111	внутреннего единства	1	1
112	те же	5	1
113	свойств и	1	1
114	на следующий	2	1
115	именно на	1	1
116	не выходит	1	1
117	между собой	5	1
118	него и	1	1
119	обходится без	1	1
120	же это	1	1
121	отнюдь не	7	1
122	и не	19	1
123	со своими	1	1
124	социальной группой	1	1
125	выходит за	1	1
126	но она	2	1
127	всяком случае	1	1
128	он ни	2	1
129	свои права	1	1
130	по самому	3	1
131	том как	2	1
132	и о	1	1
133	это вовсе	1	1
134	вступает в	2	1
135	но не	9	1
136	они не	4	1
137	в те	1	1
138	в него	2	1
139	благодаря этому	1	1
140	прежде всего	28	1
141	тем что	4	1
142	характера это	1	1
143	тем же	3	1
144	в каждом	2	1
145	он по	1	1
146	в строгом	2	1
147	связь между	2	1
148	и цельного	1	1
149	друг от	2	1
150	в чем	3	1
151	мы еще	5	1
152	тех кто	1	1
153	в сущности	5	1
154	психологии и	1	1
155	его в	8	1
156	два типа	1	1
157	тотчас же	1	1
158	в процессе	4	1
159	между собою	1	1
160	я и	1	1
161	новое и	5	1
162	этого и	1	1
163	вовсе не	20	1
164	даже не	2	1
165	не меняет	1	1
166	с одной	5	1
167	и наконец	6	1
168	для изучения	1	1
169	конечно не	7	1
170	о том	4	1
171	мы не	4	1
172	тому что	1	1
173	в заключение	1	1
174	и затем	1	1
175	в этих	6	1
176	ровно ничего	1	1
177	сама по	1	1
178	у него	8	1
179	по себе	3	1
180	на отдельные	1	1
181	на первый	2	1
182	не место	2	1
183	перед нами	1	1
184	бы он	2	1
185	себя по	1	1
186	литературе и	1	1
187	все то	2	1
188	хотя бы	2	1
189	же время	13	1
190	наконец в	2	1
191	что на	3	1
192	это не	8	1
193	одной стороны	3	1
194	в связи	13	1
195	бы в	1	1
196	и должно	2	1
197	стало быть	1	1
198	в виде	1	1
199	в настоящее	1	1
200	именно в	5	1
201	вопросом о	1	1
202	никогда не	8	1
203	и есть	3	1
204	не может	8	1
205	между ними	5	1
206	и как	12	1
207	что все	4	1
208	литературе мы	1	1
209	место в	4	1
210	не без	2	1
211	для наших	1	1
212	как и	15	1
213	изучения и	1	1
214	ничего не	9	1
215	в них	11	1
