N	3gram	Berdyaev_M	Stilisti
1	для того чтобы	4	7
2	в зависимости от	1	7
3	с точки зрения	1	5
4	заключает в себе	3	4
5	и той же	2	4
6	одной и той	2	4
7	прежде всего в	2	4
8	но и в	4	3
9	во всех своих	1	3
10	на самом деле	1	3
11	в конце концов	3	3
12	не только в	2	3
13	как бы в	1	3
14	в самом деле	1	2
15	есть не что	3	2
16	к миру и	1	2
17	вместе с тем	5	2
18	и те же	2	2
19	не может быть	22	2
20	по отношению к	4	2
21	и ту же	1	2
22	о том что	3	2
23	одни и те	1	2
24	мы увидим что	4	2
25	не так как	1	2
26	не было бы	5	2
27	не что иное	4	2
28	смысле этого слова	1	2
29	у нас не	2	2
30	и в основе	1	2
31	к тому что	1	2
32	что иное как	4	2
33	в разных местах	2	2
34	в этом отношении	1	2
35	одну и ту	1	2
36	в значительной степени	2	2
37	миру и людям	1	1
38	в том что	3	1
39	человек не может	3	1
40	и характер его	1	1
41	но быть может	1	1
42	мужчины и женщины	4	1
43	для этого необходимо	2	1
44	ему и в	1	1
45	как можно более	1	1
46	ключ к пониманию	1	1
47	хотя бы и	2	1
48	в себе и	2	1
49	как и в	2	1
50	и не было	2	1
51	сознание как бы	1	1
52	и что же	1	1
53	уже как бы	1	1
54	может быть так	1	1
55	по ту сторону	1	1
56	по сравнению с	2	1
57	но и его	1	1
58	и та же	2	1
59	не будет уже	1	1
60	но не только	1	1
61	до сих пор	5	1
62	говорит о нем	1	1
63	был только один	1	1
64	бросается в глаза	1	1
65	между этими двумя	1	1
66	ведь может быть	1	1
67	мы имеем в	1	1
68	даже и в	1	1
69	и никогда не	3	1
70	несет в себе	1	1
71	и по отношению	1	1
72	и есть не	1	1
73	не может не	2	1
74	в высшей степени	4	1
75	что у них	1	1
76	одна и та	2	1
77	тем что он	2	1
78	одной из сторон	1	1
79	к которому он	1	1
80	та или иная	1	1
81	в нем и	1	1
82	жизни и в	1	1
83	только тогда когда	1	1
84	уж конечно не	2	1
85	уже не только	2	1
86	это прежде всего	1	1
87	нет и не	1	1
88	на эту тему	1	1
89	все что было	2	1
90	можно было бы	1	1
91	всего того что	1	1
92	и не может	2	1
93	и в этом	1	1
94	лежит в основе	1	1
