N	4gram	Vinokur_Vv	Myslijsy
1	в то же время	6	13
2	одного и того же	2	9
3	только в том что	1	8
4	одной и той же	2	7
5	одно и то же	2	7
6	том смысле в каком	1	6
7	в том смысле что	1	4
8	не что иное как	5	4
9	дело в том что	3	4
10	и в этом смысле	1	4
11	в том что он	1	3
12	до тех пор пока	1	3
13	в одном и том	1	3
14	заключается в том что	2	3
15	в том виде в	1	3
16	с этой точки зрения	2	3
17	только после того как	2	3
18	но во всяком случае	1	3
19	с одной стороны и	3	3
20	том виде в каком	1	3
21	не говоря уже о	1	3
22	одном и том же	1	3
23	во всяком случае не	2	2
24	то же самое что	2	2
25	вопрос о том что	3	2
26	на язык как на	1	2
27	состоит в том что	2	2
28	говоря уже о том	1	2
29	уже о том что	1	2
30	лишь в том что	1	2
31	не только в том	1	2
32	сама по себе не	1	2
33	но с другой стороны	1	2
34	бы то ни было	1	2
35	так а не иначе	1	2
36	той мере в какой	6	1
37	языка в чем же	1	1
38	в той мере в	6	1
39	ничего не может быть	1	1
40	и сам по себе	1	1
41	и т д в	2	1
42	само по себе это	1	1
43	заключается не только в	1	1
44	вовсе не в том	1	1
45	смысле может быть названо	1	1
46	можно сказать что в	1	1
47	по самой своей природе	2	1
48	не существует потому что	1	1
49	для того чтобы определить	1	1
50	о том что такое	5	1
51	собственном смысле этого слова	1	1
52	одно из необходимых условий	1	1
53	для того чтобы сделать	1	1
54	а в том чтобы	1	1
55	и здесь как и	1	1
56	на этот вопрос мы	1	1
57	и т д можно	1	1
58	еще и потому что	1	1
59	достаточно для того чтобы	1	1
60	легко представить себе что	1	1
61	не в том только	1	1
62	нужно обратить внимание на	1	1
63	и в самом деле	3	1
64	в собственном смысле этого	1	1
65	всегда заключает в себе	1	1
66	не сам по себе	1	1
67	в большей или меньшей	1	1
68	ответить на этот вопрос	1	1
69	них не было бы	1	1
70	он в то же	1	1
71	и той же области	1	1
72	отношении его к мысли	1	1
73	тем не менее совершенно	1	1
74	это то же самое	1	1
75	ответа на этот вопрос	1	1
76	не выходя из пределов	1	1
77	отчет в том что	1	1
78	и т д и	1	1
79	в строгом смысле этого	1	1
80	о том что можно	1	1
81	разница лишь в том	1	1
82	стороны своего содержания как	1	1
83	того что в ней	1	1
84	тем не менее не	1	1
85	по отношению к нему	1	1
86	но вместе с тем	1	1
87	то же время служит	1	1
88	само по себе должно	1	1
89	разница только в том	1	1
90	и в этом отношении	1	1
91	мы имеем дело с	1	1
92	точно так же как	1	1
93	есть не что иное	3	1
