N	2gram	Vinokur_Vv	StatiiOP
1	в и	4	145
2	и в	35	103
3	в том	38	89
4	том что	30	77
5	в этом	35	76
6	что в	13	74
7	не только	26	60
8	и т	45	51
9	о том	16	47
10	но и	7	46
11	то что	19	44
12	что он	5	42
13	в его	12	42
14	и не	13	41
15	может быть	30	38
16	т е	40	33
17	было бы	7	32
18	т д	39	32
19	в этой	3	31
20	вовсе не	6	31
21	тем что	6	29
22	все это	6	29
23	таким образом	21	28
24	в г	5	28
25	а в	6	27
26	а не	5	27
27	но в	10	26
28	что это	3	25
29	так и	2	25
30	этом отношении	4	24
31	и его	6	24
32	все же	9	23
33	точки зрения	12	23
34	не в	10	23
35	так что	5	23
36	потому что	18	23
37	для того	23	22
38	в которой	1	22
39	как в	3	22
40	того что	12	22
41	прежде всего	10	22
42	у нас	2	22
43	в области	4	22
44	того чтобы	22	21
45	до сих	7	20
46	это не	8	20
47	в своей	4	19
48	сих пор	7	19
49	т п	5	19
50	в то	6	19
51	только в	16	19
52	в котором	4	18
53	с другой	8	18
54	но также	16	18
55	об этом	6	18
56	не может	19	18
57	в самом	13	17
58	как на	12	17
59	между прочим	1	17
60	самом деле	7	17
61	в россии	1	17
62	как бы	7	17
63	в данном	11	17
64	в этих	3	16
65	с этим	3	16
66	сказать что	6	16
67	можно было	8	16
68	в статье	1	16
69	если бы	3	16
70	в ней	3	16
71	г и	1	16
72	другой стороны	5	15
73	с тем	6	15
74	как и	7	15
75	по поводу	1	15
76	из этих	9	15
77	у него	1	15
78	и на	3	15
79	например в	2	15
80	в отношении	3	15
81	как раз	4	15
82	для него	1	15
83	о пушкине	1	15
84	также и	20	15
85	то же	11	14
86	но все	4	14
87	так например	6	14
88	к тому	4	14
89	с точки	4	14
90	между тем	10	14
91	и что	6	14
92	в течение	5	14
93	в той	10	13
94	именно в	8	13
95	во всяком	5	13
96	в своем	3	13
97	из них	4	13
98	в качестве	8	13
99	а с	2	13
100	в конце	3	13
101	в нем	13	13
102	в языке	2	13
103	вместе с	6	13
104	со стороны	16	13
105	всяком случае	5	13
106	но это	2	13
107	дело в	5	13
108	жизни и	2	13
109	тому что	2	13
110	в своих	2	12
111	не менее	9	12
112	хотя бы	6	12
113	что у	1	12
114	обстоятельство что	1	12
115	в первой	1	12
116	как например	6	12
117	так как	15	12
118	что они	2	12
119	в тексте	4	12
120	того времени	1	12
121	в них	5	11
122	в другом	3	11
123	должна была	2	11
124	никогда не	3	11
125	не было	2	11
126	ясно что	11	11
127	и с	2	11
128	своего рода	3	11
129	из его	2	11
130	того как	3	11
131	вопрос о	10	11
132	все эти	3	11
133	это было	1	11
134	то обстоятельство	1	11
135	на то	2	11
136	творчества пушкина	1	10
137	кроме того	1	10
138	не столько	2	10
139	в виду	5	10
140	речь идет	2	10
141	так же	3	10
142	в целом	5	10
143	что такое	12	10
144	что и	5	10
145	но он	1	10
146	во всех	2	10
147	а как	5	10
148	в каком	3	10
149	в истории	9	10
150	же время	6	10
151	в рукописи	1	10
152	ничего не	2	10
153	ответ на	4	10
154	на вопрос	6	10
155	на самом	1	10
156	по словам	1	10
157	но не	9	10
158	во второй	3	10
159	в частности	3	10
160	в начале	3	10
161	в печати	2	9
162	и к	3	9
163	с этой	5	9
164	говорит о	3	9
165	можно сказать	4	9
166	он был	1	9
167	в одном	4	9
168	говорит что	1	9
169	внимание на	5	9
170	несмотря на	2	9
171	и это	6	9
172	в чем	4	9
173	в каждом	4	9
174	и тем	5	9
175	во время	1	9
176	вряд ли	3	9
177	русской истории	1	9
178	такого рода	3	9
179	времени и	4	9
180	что же	3	9
181	и для	4	9
182	для нас	1	9
183	что мы	2	9
184	по этому	3	9
185	место в	1	9
186	но ведь	4	8
187	и об	1	8
188	в результате	4	8
189	и даже	6	8
190	связано с	1	8
191	по его	2	8
192	еще более	1	8
193	к которому	1	8
194	что она	3	8
195	к этому	3	8
196	связи с	3	8
197	одним из	5	8
198	и др	2	8
199	могут быть	6	8
200	в общем	14	8
201	нужно сказать	1	8
202	должен был	4	8
203	заключается в	4	8
204	в которых	6	8
205	не имеет	4	8
206	тем не	9	8
207	совершенно не	1	8
208	и более	1	8
209	мы имеем	4	8
210	при помощи	3	8
211	той же	4	8
212	на немецкий	1	8
213	до конца	3	8
214	в их	12	8
215	а также	3	8
216	в какой	6	8
217	дело не	5	8
218	отношение к	3	8
219	и о	1	8
220	это в	2	8
221	с которыми	2	7
222	и очень	1	7
223	данном отношении	2	7
224	о чем	4	7
225	по себе	11	7
226	представление о	1	7
227	отличается от	1	7
228	и сейчас	2	7
229	работы над	6	7
230	уже о	1	7
231	не мог	2	7
232	не просто	5	7
233	того же	3	7
234	гораздо более	3	7
235	на почве	5	7
236	в ее	11	7
237	при чем	1	7
238	что все	1	7
239	в эту	1	7
240	как это	5	7
241	нельзя не	6	7
242	раньше чем	3	7
243	во втором	2	7
244	то в	1	7
245	и то	7	7
