N	2gram	Ircho_Kome	KFilosof
1	может быть	14	45
2	в его	12	42
3	в нем	8	32
4	не может	9	29
5	и не	28	28
6	и в	37	28
7	по отношению	6	26
8	в котором	6	24
9	отношению к	4	22
10	в себе	4	21
11	только в	3	18
12	и его	10	18
13	в своем	9	17
14	в ее	3	17
15	а не	5	17
16	в этом	18	15
17	для него	1	13
18	не в	7	13
19	точки зрения	8	13
20	к нему	8	12
21	мир в	1	12
22	ни в	14	12
23	но не	9	12
24	и это	4	12
25	в своей	6	11
26	все эти	1	11
27	во всех	4	11
28	из себя	3	11
29	все это	7	10
30	это не	3	10
31	с точки	6	10
32	и есть	3	10
33	от себя	2	10
34	и для	7	10
35	в целом	4	10
36	в их	5	9
37	и все	6	9
38	но и	18	9
39	как бы	7	9
40	для нее	1	9
41	момент его	1	9
42	не было	6	8
43	если бы	18	8
44	быть только	1	8
45	в мире	2	8
46	со стороны	16	8
47	было бы	7	8
48	в себя	1	8
49	жизни и	1	8
50	себя в	3	8
51	во всем	2	7
52	и здесь	11	7
53	со мной	1	7
54	этот момент	1	7
55	что и	12	7
56	должен быть	2	7
57	вовсе не	6	7
58	совершенно не	2	7
59	то что	5	7
60	конечно не	4	7
61	для себя	1	7
62	и только	1	7
63	отнюдь не	5	7
64	ее и	1	6
65	но все	5	6
66	поступок в	1	6
67	я не	4	6
68	не имеет	6	6
69	и я	3	6
70	в смысле	2	6
71	ко мне	2	6
72	в том	24	6
73	и их	1	6
74	и действительно	1	6
75	отношение к	7	6
76	место в	1	6
77	он не	11	6
78	то же	14	5
79	ко всему	1	5
80	мы имеем	4	5
81	не только	13	5
82	с ним	10	5
83	я могу	1	5
84	но как	1	5
85	его в	9	5
86	не знает	7	5
87	в основе	3	5
88	но в	7	5
89	как и	10	5
90	все же	9	5
91	жизни в	1	5
92	себя и	2	5
93	еще не	10	5
94	что я	5	5
95	хотя бы	5	5
96	в одном	3	5
97	ни одно	3	5
98	от своей	2	5
99	а в	12	5
100	я и	2	5
