N	2gram	Nazirov_Tv	KFilosof
1	может быть	11	45
2	в его	19	42
3	в нем	4	32
4	не может	9	29
5	и не	12	28
6	и в	40	28
7	по отношению	3	26
8	в котором	8	24
9	не есть	2	22
10	для меня	1	22
11	отношению к	3	22
12	в себе	3	21
13	только в	7	18
14	и его	14	18
15	в своем	4	17
16	в ее	3	17
17	а не	9	17
18	в этом	11	15
19	для него	9	13
20	не в	3	13
21	к нему	1	12
22	ни в	2	12
23	но не	7	12
24	и это	2	12
25	в своей	8	11
26	все эти	3	11
27	во всех	2	11
28	из себя	2	11
29	все это	14	10
30	это не	9	10
31	и есть	2	10
32	от себя	1	10
33	в целом	7	10
34	в их	5	9
35	и все	6	9
36	но и	10	9
37	как бы	26	9
38	не было	3	8
39	если бы	4	8
40	в мире	8	8
41	со стороны	1	8
42	было бы	2	8
43	лишь в	1	8
44	в себя	3	8
45	жизни и	3	8
46	себя в	3	8
47	и здесь	2	7
48	этот момент	2	7
49	что и	3	7
50	должен быть	1	7
51	вовсе не	5	7
52	уже не	6	7
53	то что	9	7
54	я должен	1	7
55	на основе	1	7
56	но лишь	1	7
57	для себя	1	7
58	и только	2	7
59	отнюдь не	9	7
60	ее и	2	6
61	должно быть	1	6
62	не значит	2	6
63	но все	1	6
64	в моем	1	6
65	но эта	3	6
66	я не	5	6
67	не имеет	2	6
68	и я	2	6
69	в смысле	1	6
70	в том	13	6
71	и их	2	6
72	и действительно	1	6
73	отношение к	1	6
74	место в	6	6
75	он не	10	6
76	но это	10	6
77	мира в	2	6
78	проникает в	2	5
79	со своего	1	5
80	то же	19	5
81	ко всему	1	5
82	мы имеем	1	5
83	не только	16	5
84	с ним	4	5
85	я могу	1	5
86	его в	2	5
87	не знает	2	5
88	в основе	3	5
89	есть лишь	1	5
90	но в	11	5
91	именно в	6	5
92	но ведь	2	5
93	как и	16	5
94	все же	9	5
95	жизни в	9	5
96	себя и	1	5
97	бытия но	2	5
98	еще не	5	5
99	что я	4	5
100	хотя бы	5	5
101	и содержание	1	5
102	в одном	3	5
103	от своей	1	5
104	а в	10	5
105	я и	3	5
106	культуры и	2	5
107	его как	2	5
108	жизни как	1	5
109	никогда не	13	5
110	что в	17	4
111	все попытки	1	4
112	познания и	2	4
113	при этом	14	4
114	ни было	1	4
115	что это	1	4
116	о нем	2	4
117	прежде всего	10	4
118	с другим	3	4
119	в своих	8	4
120	места в	1	4
121	как его	1	4
122	нет в	1	4
123	с ними	3	4
124	в действительной	1	4
125	том что	14	4
126	в чем	4	4
127	могло бы	1	4
128	меня но	1	4
129	но можно	1	4
130	моей жизни	1	4
131	входит в	1	4
132	только как	2	4
133	во всей	2	4
134	не по	3	4
135	между тем	2	4
136	здесь мы	2	4
137	ценности и	1	4
138	времени и	4	4
139	тем самым	10	4
140	чем не	1	4
141	и пространство	1	4
142	к ним	1	4
143	быть в	1	4
144	меня не	2	4
145	жизни но	2	3
146	от него	2	3
147	бытие в	1	3
148	та же	4	3
149	и на	12	3
150	здесь нет	2	3
151	этого мира	1	3
152	мы не	3	3
153	был бы	3	3
154	действительной жизни	4	3
155	и этот	1	3
156	того что	3	3
157	где он	2	3
158	бытие и	1	3
159	на самом	3	3
160	ясно что	1	3
161	а все	1	3
162	в виду	3	3
163	и делает	1	3
164	самом деле	4	3
165	прошлое и	1	3
166	тем что	2	3
167	людей и	2	3
168	меня в	2	3
169	что этот	2	3
170	не дает	1	3
171	рядом с	2	3
172	не менее	8	3
173	для этой	2	3
174	по своему	1	3
175	бы не	1	3
176	поскольку он	1	3
177	в момент	5	3
178	той или	1	3
179	в каждом	4	3
180	это и	4	3
181	того или	1	3
182	бы и	1	3
183	что не	5	3
184	не могу	2	3
185	когда я	2	3
186	в свою	8	3
187	не должен	1	3
188	и ни	1	3
189	в другом	1	3
190	в ней	2	3
191	и та	2	3
192	других людей	2	3
193	к чему	1	3
194	в современной	2	3
195	я буду	2	3
196	человека и	6	3
197	с человеком	1	3
198	а лишь	1	3
199	нем и	2	3
200	целом и	1	3
201	нет и	1	3
202	не быть	1	3
203	только с	3	3
204	могут быть	4	3
205	до конца	2	3
206	нигде не	1	3
207	о том	9	3
208	теории и	1	3
209	тем как	1	3
210	в то	23	3
211	для которого	1	3
212	или иного	1	3
213	всех этих	1	3
214	тот же	3	3
215	и тем	2	3
216	ничего не	3	3
217	бытия а	1	3
218	бы то	1	2
219	как к	2	2
220	и эти	1	2
221	и значимость	1	2
222	один из	5	2
223	бы он	1	2
224	и мы	1	2
225	мышления и	2	2
226	конечно этот	1	2
227	может не	2	2
228	чего не	1	2
229	и того	2	2
230	его с	1	2
231	одна и	1	2
232	еще более	3	2
233	тому что	2	2
234	есть его	1	2
235	а это	1	2
236	это уже	7	2
237	тем не	2	2
238	так и	5	2
239	жить и	1	2
240	в принципе	5	2
241	и за	1	2
242	в качестве	2	2
243	это есть	1	2
244	и когда	2	2
245	сводится к	2	2
246	смысла в	1	2
247	по себе	2	2
248	в виде	4	2
249	со всеми	3	2
250	оно не	1	2
251	если не	4	2
252	говорим о	1	2
253	отказаться от	4	2
254	не о	1	2
255	из нее	1	2
256	всех его	1	2
257	сознания не	1	2
258	в сознании	1	2
259	что за	1	2
260	мы говорим	1	2
261	это признание	1	2
262	дело в	4	2
263	вокруг него	1	2
264	подхода к	3	2
265	в мир	2	2
266	в ту	4	2
267	в процессе	3	2
268	в жизни	3	2
269	не остается	1	2
270	с тем	1	2
271	человек и	2	2
272	ориентация в	1	2
273	и как	5	2
274	весь мир	1	2
275	что он	11	2
276	в соответствии	7	2
277	и она	1	2
278	что правда	1	2
279	себя как	2	2
280	выход из	1	2
281	первом плане	2	2
282	и просто	1	2
283	как в	10	2
284	на первом	2	2
285	во главе	2	2
286	это было	1	2
287	под ним	1	2
288	вследствие этого	1	2
289	ли это	2	2
290	не нужно	2	2
291	философии но	2	2
292	ничего общего	1	2
293	и смерти	1	2
294	жизнь и	2	2
295	все они	1	2
296	и мир	3	2
297	этого слова	1	2
298	действительности в	2	2
299	к этому	4	2
300	и потому	4	2
301	ни к	2	2
302	было и	1	2
303	я его	1	2
304	его и	2	2
305	ведь это	1	2
306	а с	4	2
307	в данном	2	2
308	и других	5	2
309	же с	10	2
310	он ни	3	2
311	которой он	2	2
312	оторванные от	1	2
313	оба эти	1	2
314	и положение	1	2
315	она не	2	2
316	могу быть	1	2
317	потому что	10	2
318	видит и	1	2
319	то ни	1	2
320	совсем не	1	2
321	дело не	3	2
322	к себе	1	2
323	ибо это	1	2
324	кажется что	1	2
325	активности в	1	2
326	не будет	2	2
327	в него	2	2
328	а по	3	2
329	говорить о	1	2
330	что эта	1	2
331	для этого	1	2
332	отношении к	2	2
333	не из	1	2
334	этот факт	2	2
335	же время	18	2
336	к которой	1	2
337	их для	1	2
338	думать что	1	2
339	или иное	1	2
340	стал бы	1	2
341	пространства и	2	2
342	но этот	2	2
343	нечто вроде	1	2
344	и будущее	2	2
345	имеем в	1	2
346	в этой	7	2
347	он и	1	2
348	и время	2	2
349	но ни	1	2
350	соответствии с	7	2
351	него и	1	2
352	только возможности	1	2
353	но нет	1	2
354	или иной	1	2
355	значило бы	1	2
356	момента и	1	2
357	включает в	1	2
358	с его	12	2
359	автора как	1	2
360	в области	1	2
361	его к	2	2
362	мышления как	1	2
363	а как	2	2
364	человек не	1	2
365	с ее	3	2
366	чтобы не	1	2
367	то или	1	2
368	сознания в	1	2
369	и ее	1	2
370	едва ли	2	2
371	одного и	1	2
372	вся эта	1	2
373	гораздо более	2	2
374	себе а	1	2
375	подход к	1	1
376	о принципиальной	1	1
377	более не	4	1
378	в самом	6	1
379	только я	1	1
380	и к	1	1
381	мире и	1	1
382	они имеют	2	1
383	момент как	1	1
384	было показано	2	1
385	только не	1	1
386	влечет за	2	1
387	время есть	1	1
388	как это	2	1
389	образом и	1	1
390	или бессознательно	1	1
391	мы видим	3	1
392	всем бытием	1	1
393	можно жить	1	1
394	до сих	1	1
395	в душе	4	1
396	и он	4	1
397	и всякий	2	1
398	этой задачи	1	1
399	можно говорить	1	1
400	религии и	1	1
401	ее основных	1	1
402	сказать в	1	1
403	так как	6	1
404	на единственном	1	1
405	же и	2	1
406	как единство	1	1
407	только что	2	1
408	и было	1	1
409	то есть	16	1
410	самого себя	1	1
411	за которую	1	1
412	моя жизнь	1	1
413	переходит в	2	1
414	зависит от	4	1
415	это сам	1	1
416	и вследствие	2	1
417	его построения	1	1
418	однако по	1	1
419	эта мысль	3	1
420	на том	2	1
421	живет в	3	1
422	оно могло	1	1
423	здесь преобладает	1	1
424	человек это	3	1
425	во власти	1	1
426	мог бы	1	1
427	оно было	1	1
428	что уже	1	1
429	предположение что	1	1
430	он как	1	1
431	и должно	2	1
432	она всегда	1	1
433	была бы	2	1
434	со всех	1	1
435	из всех	5	1
436	разум есть	1	1
437	к идеалу	3	1
438	и наконец	3	1
439	он начинает	1	1
440	художественного творчества	1	1
441	для всего	1	1
442	это значит	1	1
443	хотя и	5	1
444	его но	1	1
445	ни на	3	1
446	или нет	1	1
447	участия в	1	1
448	и из	1	1
449	это утверждение	1	1
450	как раз	2	1
451	его он	1	1
452	это-то и	1	1
453	о принципе	1	1
454	в литературе	4	1
455	этих миров	1	1
456	день и	1	1
457	ее в	3	1
458	а затем	5	1
459	и тут	2	1
460	находятся в	1	1
461	поэтому в	1	1
462	и рядом	2	1
463	и через	4	1
464	можно сказать	2	1
465	в человеке	4	1
466	не являются	1	1
467	к выводу	1	1
468	приближения к	1	1
469	одно из	1	1
470	в отношении	1	1
471	же не	2	1
472	в результате	1	1
473	или иную	1	1
474	не от	1	1
475	по способу	2	1
476	в движение	1	1
477	бы что	1	1
478	это очень	1	1
479	с собой	1	1
480	и всякого	1	1
481	и временное	1	1
482	имеют смысл	1	1
483	к предмету	1	1
484	но такое	1	1
485	все равно	1	1
486	случайно оно	1	1
487	нельзя жить	1	1
488	лежит в	1	1
489	за границей	1	1
490	только он	1	1
491	жить только	2	1
492	не была	1	1
493	связь с	3	1
494	в конечном	4	1
495	чем в	1	1
496	их не	1	1
497	него в	2	1
498	не мир	1	1
499	первая часть	4	1
500	и даже	8	1
501	к его	1	1
502	что ему	1	1
503	в духе	6	1
504	но он	3	1
505	образом в	1	1
506	в разные	1	1
507	всю историю	1	1
508	до этого	2	1
509	отсюда его	1	1
510	в которой	5	1
511	или в	2	1
512	планы и	1	1
513	в первом	3	1
514	разума с	1	1
515	и с	9	1
516	бытия по	1	1
517	от своего	1	1
518	ни о	1	1
519	человек а	1	1
520	с ней	1	1
521	эта действительность	1	1
522	жизнь в	2	1
523	проблемы в	2	1
524	и времени	1	1
525	равно как	1	1
526	и приводит	2	1
527	это положение	1	1
528	выводит из	1	1
529	отличен от	1	1
530	мысль о	3	1
531	не противоречит	2	1
532	форму и	1	1
533	за волосы	1	1
534	он будет	1	1
535	ней в	1	1
536	на месте	1	1
537	не делает	1	1
538	всю жизнь	1	1
539	и требует	1	1
540	и будет	2	1
541	превращается в	2	1
542	за свою	1	1
