N	2gram	Losev_Dial	IolandNe
1	и с	10	3
2	что в	19	2
3	он не	5	2
4	должен быть	2	2
5	бы что	1	2
6	ничего не	19	2
7	и не	51	2
8	в этом	18	2
9	говорить о	9	1
10	все эти	4	1
11	для того	2	1
12	и очень	2	1
13	а в	8	1
14	и о	4	1
15	же это	6	1
16	понятий и	2	1
17	это было	4	1
18	и та	8	1
19	что для	3	1
20	для него	2	1
21	не остается	2	1
22	стали бы	1	1
23	вплоть до	3	1
24	тех же	1	1
25	тем что	2	1
26	только что	5	1
27	от нее	1	1
28	а если	1	1
29	ясно а	1	1
30	того же	1	1
31	нам в	1	1
32	не так	1	1
33	и др	2	1
34	гипотеза и	1	1
35	первую очередь	1	1
36	жизни и	9	1
37	только общее	1	1
38	пушкина и	1	1
39	и идей	1	1
40	с другой	10	1
41	в целом	1	1
42	он с	2	1
43	очевидно что	1	1
44	в эту	1	1
45	нее и	1	1
46	другой стороны	7	1
47	я не	9	1
48	себя в	2	1
49	странное и	1	1
50	нечто и	1	1
51	слишком много	1	1
52	то и	3	1
53	и еще	4	1
54	в первую	2	1
55	как только	4	1
56	если бы	12	1
57	она ничего	1	1
58	бы все	2	1
59	следующим образом	1	1
60	по существу	2	1
61	и сам	1	1
62	того что	6	1
63	них не	1	1
64	а с	2	1
65	стало быть	17	1
66	только для	1	1
67	так то	2	1
68	творчества пушкина	1	1
69	а также	1	1
70	в половом	1	1
71	так и	18	1
72	мы стали	1	1
73	в основе	4	1
74	ничего в	1	1
75	без этого	4	1
76	следовательно в	2	1
77	от этого	5	1
78	того чтобы	1	1
79	и без	1	1
80	и творчества	1	1
81	другое дело	1	1
82	бы в	3	1
83	с жизнью	1	1
84	этим и	1	1
85	и ничего	1	1
86	не дает	1	1
87	а по	1	1
88	есть только	9	1
89	и в	35	1
90	его личности	2	1
91	никогда не	18	1
92	все это	14	1
93	со всеми	2	1
94	нисколько не	7	1
95	как о	2	1
96	в них	4	1
97	во многом	1	1
