N	2gram	Tiupa_Hudo	VLabPisa
1	в этом	22	29
2	не только	22	26
3	и в	34	26
4	и т	15	25
5	может быть	12	23
6	во сне	3	21
7	и не	15	20
8	хотя бы	2	20
9	т е	6	18
10	не может	10	17
11	в письме	1	16
12	т д	5	16
13	в его	17	15
14	в том	24	15
15	этом отношении	4	14
16	в силу	2	14
17	все это	2	13
18	прежде всего	12	13
19	в качестве	13	12
20	письме к	1	12
21	в частности	10	12
22	как это	8	12
23	что в	8	11
24	с другой	4	11
25	из них	5	11
26	то же	14	10
27	не могут	1	10
28	в художественном	6	10
29	о том	21	10
30	но и	13	10
31	реальной действительности	1	10
32	и др	1	10
33	для него	15	9
34	как видим	1	9
35	об этом	8	9
36	т п	10	9
37	к этому	1	9
38	могут быть	1	8
39	творчества в	1	8
40	другой стороны	1	8
41	только в	8	8
42	по словам	1	8
43	художника и	1	8
44	все эти	4	8
45	вместе с	2	8
46	том что	31	8
47	ни один	1	8
48	было бы	8	8
49	не следует	2	8
50	в своем	9	8
51	вот например	1	7
52	произведения и	2	7
53	это не	12	7
54	говорит о	4	7
55	в конечном	5	7
56	не было	8	7
57	по отношению	15	7
58	тому что	8	7
59	как и	16	7
60	их в	2	7
61	во всех	2	7
62	а не	23	7
63	то что	13	7
64	художественное произведение	1	7
65	главным образом	1	7
66	отношению к	15	7
67	же в	3	7
68	в нем	5	7
69	из этих	3	7
70	один из	6	6
71	у него	13	6
72	более или	1	6
73	все же	5	6
74	приводит к	5	6
75	это и	2	6
76	бы и	2	6
77	он же	1	6
78	в искусстве	1	6
79	не в	16	6
80	между тем	14	6
81	так и	19	6
82	в себе	19	6
83	или менее	1	6
84	том же	1	6
85	и его	8	6
86	в то	12	6
87	даже в	4	5
88	в результате	2	5
89	в их	2	5
90	в них	3	5
91	связи с	4	5
92	конечном счете	4	5
93	к тому	11	5
94	перед нами	13	5
95	не является	1	5
96	на основе	2	5
97	действующих лиц	3	5
98	в одном	3	5
99	в пределах	4	5
100	же время	11	5
101	как бы	11	5
102	в целом	2	5
103	сказать что	3	5
104	в плане	1	5
105	никогда не	8	5
106	в самом	7	4
107	всего произведения	1	4
108	только что	4	4
109	вот как	1	4
110	в ее	16	4
111	как раз	7	4
112	можно сказать	9	4
113	что для	1	4
114	в этой	11	4
115	следующим образом	3	4
116	что все	3	4
117	что он	14	4
118	в виду	1	4
119	по существу	1	4
120	в романе	1	4
121	с тем	1	4
122	с ними	3	4
123	в своей	15	4
124	является не	1	4
125	одном из	1	4
126	роль в	2	4
127	с его	9	4
128	чем же	2	4
129	для его	1	4
130	в связи	3	4
131	это только	1	4
132	когда он	2	4
133	в нашей	1	4
134	их и	1	4
135	из его	1	4
136	одна из	4	4
137	по поводу	3	4
138	отнюдь не	4	4
139	пишет в	1	4
140	и ее	3	4
141	образе и	1	3
142	и к	6	3
143	что они	4	3
144	творческим воображением	1	3
145	данного произведения	1	3
146	что оно	1	3
147	и он	6	3
