N	2gram	Medvedev_U	OGranits
1	и в	14	13
2	прежде всего	8	9
3	может быть	6	8
4	и не	8	8
5	не может	7	8
6	в его	2	7
7	эстетический объект	1	7
8	таким образом	2	6
9	не только	10	6
10	стилистических приемов	5	6
11	только в	2	6
12	то что	7	6
13	индивидуального стиля	1	6
14	метода в	1	5
15	хотя бы	5	5
16	и т.д	3	5
17	художественного произведения	2	5
18	в процессе	1	5
19	все же	3	5
20	и эта	1	5
21	эстетического объекта	6	5
22	мы можем	1	4
23	произведения как	1	4
24	мы не	2	4
25	то же	5	4
26	было бы	3	4
27	все это	5	4
28	в своей	3	4
29	система стилистических	1	4
30	но в	3	4
31	вопроса о	2	4
32	что в	1	3
33	и то	3	3
34	материала и	2	3
35	в искусстве	6	3
36	так и	1	3
37	не как	3	3
38	не столько	2	3
39	за пределы	1	3
40	превращается в	2	3
41	в пределах	1	3
42	в их	4	3
43	самом деле	2	3
44	не в	2	3
45	в которой	1	3
46	что же	1	3
47	и все	1	3
48	но для	1	3
49	в себе	2	3
50	вряд ли	3	3
51	но и	4	3
52	и для	2	3
53	как и	3	3
54	никогда не	1	3
55	в области	3	2
56	к сожалению	3	2
57	истории литературы	3	2
58	в самом	2	2
59	в данном	1	2
60	формальный метод	11	2
61	в шкловского	2	2
62	а как	2	2
63	в этом	7	2
64	данном случае	1	2
65	которое мы	1	2
66	с одной	1	2
67	в произведении	1	2
68	в течение	1	2
69	входит в	1	2
70	для себя	1	2
71	одной стороны	1	2
72	эстетической функции	1	2
73	композиции в	1	2
74	между тем	2	2
75	для него	3	2
76	в этот	1	2
77	и истории	1	2
78	связанные с	1	2
79	ее в	1	2
80	в том	2	2
81	и является	2	2
82	но такое	1	2
83	литературного произведения	1	2
84	другой стороны	3	2
85	замкнутая в	1	2
86	представлений и	1	2
87	в г	1	2
88	связанных с	1	2
89	возражать против	1	2
90	если бы	2	2
91	в словесном	1	2
92	в ней	1	2
93	тем что	2	2
94	и др	1	2
95	могут быть	2	2
96	поэтики и	1	2
97	его на	1	2
98	с другой	4	2
99	художественных произведений	2	2
100	том что	2	2
101	в нем	1	2
102	а не	10	2
103	художественное произведение	5	2
104	тот же	1	2
105	бы в	1	2
106	этого термина	2	1
107	формалистов к	1	1
108	в некоторых	2	1
109	напр в	1	1
110	этого и	1	1
111	о сущности	1	1
112	литературы в	1	1
113	находятся в	1	1
114	несомненно что	1	1
115	самые слова	1	1
116	для всех	2	1
117	только к	3	1
118	история литературы	1	1
119	вообще в	1	1
120	его дифференциация	1	1
121	что мы	2	1
122	представляется не	1	1
123	всякого художника	1	1
124	является наиболее	1	1
125	формального метода	9	1
126	в.м жирмунский	3	1
127	даже и	2	1
128	его эстетической	1	1
129	должно быть	1	1
130	того как	1	1
131	отсюда и	1	1
132	сводятся к	1	1
133	более или	1	1
134	так напр	1	1
135	в значительной	1	1
136	объекта в	1	1
137	но даже	2	1
138	же как	1	1
139	или иных	2	1
140	несомненно и	1	1
141	мы имеем	1	1
142	и у	2	1
143	художественного впечатления	1	1
144	литературы как	1	1
145	от произведения	1	1
146	быть не	1	1
147	он и	1	1
148	его и	2	1
149	он называет	1	1
150	в своем	1	1
151	говорить не	1	1
152	значительной мере	1	1
153	этом отношении	2	1
154	является принцип	1	1
155	что при	1	1
156	точно и	1	1
157	полагаем что	1	1
158	основной методологический	1	1
159	что такое	4	1
160	и через	2	1
161	с проблемой	2	1
162	об этом	1	1
163	содержания и	1	1
164	переходит в	1	1
165	не приходится	2	1
166	метод должен	1	1
167	и что	1	1
168	в различных	1	1
169	в этой	4	1
170	в широком	2	1
171	у других	1	1
172	в виду	1	1
173	поэтики в	1	1
174	сводится к	2	1
175	конечно не	4	1
176	но это	2	1
177	не вполне	1	1
178	по себе	2	1
179	метод с	1	1
180	же время	3	1
181	о литературе	1	1
182	возникает проблема	1	1
183	человека и	1	1
184	не было	1	1
185	содержания в	1	1
186	говорит в.м	2	1
187	если не	2	1
188	же не	2	1
189	мы полагаем	1	1
190	поэзии же	1	1
191	как мычание	2	1
192	на то	1	1
193	исторической поэтики	1	1
194	же самое	2	1
195	художественном творчестве	2	1
196	равно как	1	1
197	их в	1	1
198	и вне	1	1
199	произведение как	1	1
200	нет и	1	1
201	одним из	2	1
202	объекта и	1	1
203	впервые в	1	1
204	сказать что	1	1
205	к следующему	1	1
206	в конечном	4	1
207	речи в	1	1
208	произведений и	1	1
209	него не	1	1
210	или менее	1	1
211	обособить из	1	1
212	с момента	1	1
213	в совокупности	1	1
214	сдвиг в	1	1
215	конечном счете	4	1
216	в конце	2	1
217	поэтическом творчестве	1	1
218	он пытается	1	1
219	и стилистики	1	1
220	к этому	1	1
221	до конца	1	1
222	что он	2	1
223	что она	2	1
224	или даже	1	1
225	не существует	1	1
226	далеко не	1	1
227	но что	1	1
228	что основной	1	1
229	же остается	1	1
230	на эту	2	1
231	словесного искусства	1	1
232	в которых	1	1
233	но не	2	1
234	и всякого	1	1
235	но если	1	1
236	одно из	1	1
237	с его	2	1
238	при таком	2	1
239	речи чтобы	1	1
240	тех или	2	1
241	материала т.е	1	1
242	проблем связанных	1	1
243	в то	3	1
244	отнюдь не	1	1
245	этого материала	1	1
246	работ в	1	1
247	полагая что	1	1
248	художественной формы	2	1
249	в системе	2	1
250	для этого	3	1
251	эстетическая функция	2	1
252	художественного творчества	5	1
253	и это	1	1
254	в поэтическом	1	1
255	в виде	1	1
256	само по	1	1
257	еще одно	1	1
258	тем более	1	1
259	искусства в	1	1
260	формы и	2	1
261	не входит	1	1
262	вне которой	1	1
263	проблемой художественной	1	1
264	в.м жирмунского	4	1
265	что такой	1	1
266	рассматривать не	1	1
267	нам представляется	2	1
