N	3gram	Tiupa_Anal	PoTuStor
1	с точки зрения	6	6
2	до сих пор	1	3
3	не может быть	17	3
4	по крайней мере	4	3
5	в этом смысле	3	3
6	во всяком случае	1	3
7	можно сказать что	1	3
8	в конечном счете	5	2
9	но отнюдь не	2	2
10	по аналогии с	1	2
11	о том что	8	2
12	не могут быть	2	2
13	в самом деле	3	2
14	и в этом	4	2
15	со всех сторон	1	1
16	он может быть	1	1
17	быть не может	3	1
18	все это приводит	1	1
19	именно здесь в	1	1
20	в том что	13	1
21	в углу комнаты	1	1
22	друг с другом	2	1
23	а то и	1	1
24	точки зрения может	1	1
25	не что иное	5	1
26	и та же	1	1
27	что иное как	6	1
28	мы узнаем о	1	1
29	ни в коем	2	1
30	оно ни было	1	1
31	той или иной	8	1
32	вместе с тем	1	1
33	вместе с ним	2	1
34	в этой плоскости	1	1
35	подобно тому как	5	1
36	в применении к	1	1
37	можно было бы	1	1
38	в объекте в	1	1
39	еще в году	1	1
40	а вместе с	1	1
41	и таким образом	1	1
42	при всей их	1	1
43	только для того	1	1
44	в данном случае	3	1
45	мы имеем в	1	1
46	обратим внимание на	1	1
47	в том смысле	1	1
48	как это было	1	1
49	быть может наиболее	1	1
50	герой нашего времени	1	1
51	ничего не говорит	1	1
52	может быть ничего	1	1
53	самом деле в	1	1
54	то ни было	3	1
55	имеем в виду	1	1
56	с ним и	1	1
57	и того же	2	1
58	и т.п и	1	1
59	бы он был	1	1
60	в борьбу с	1	1
61	этой точки зрения	2	1
62	в свое время	3	1
63	одна и та	1	1
64	на первый взгляд	1	1
65	с этой точки	2	1
66	нуждается в объекте	1	1
67	то же самое	3	1
68	она может быть	1	1
69	для нас очень	1	1
70	из того же	1	1
71	как один из	1	1
72	в этой борьбе	1	1
73	в коем случае	2	1
74	во внешнем мире	2	1
75	для того чтобы	3	1
76	конечном счете только	1	1
77	есть в сущности	2	1
78	а с другой	1	1
79	с одной стороны	6	1
80	отношения к предмету	1	1
81	в этом отношении	5	1
82	или во всяком	1	1
83	тому как мы	1	1
84	бы оно ни	1	1
85	на вопрос о	1	1
86	бы то ни	3	1
87	таким образом с	1	1
88	имеем дело с	4	1
89	если бы он	1	1
90	одного и того	2	1
91	смысл и значение	1	1
92	как я и	1	1
93	в связи с	2	1
