N	2gram	Medvedev_B	Morfolog
1	таким образом	1	26
2	и в	1	17
3	и не	2	16
4	прежде всего	1	14
5	а не	1	11
6	что в	1	10
7	вопрос о	1	10
8	так и	1	10
9	все же	1	9
10	с другой	1	9
11	не только	1	8
12	не все	1	6
13	другой стороны	1	5
14	было бы	1	5
15	об этом	1	5
16	далеко не	1	5
17	и ее	1	5
18	еще не	1	4
19	говорить о	1	4
20	на самом	1	4
21	можно было	2	4
22	кроме того	1	3
23	у нас	3	3
24	по мотивам	1	3
25	в пределах	1	3
26	к ней	1	3
27	должна быть	1	2
28	выпадает из	1	2
29	по этим	1	2
30	во всяком	1	2
31	в данном	1	2
32	и более	1	2
33	то как	1	2
34	одной из	1	2
35	по отдельным	1	2
36	всяком случае	1	2
37	все это	2	2
38	нет но	1	2
39	как будто	1	2
40	всего в	1	1
41	и на	1	1
42	остановиться на	1	1
43	также не	1	1
44	в своей	1	1
45	и нет	1	1
46	совершенно не	1	1
47	больше чем	2	1
48	говорить не	1	1
49	точно и	1	1
50	не вполне	1	1
51	материала по	1	1
52	не то	2	1
53	на которой	1	1
54	же не	1	1
55	что все	1	1
56	между ними	1	1
57	бы только	1	1
58	его не	1	1
59	в области	1	1
