N	3gram	Medvedev_S	Myshleni
1	в том что	2	133
2	по отношению к	2	42
3	с одной стороны	1	39
4	то же самое	1	31
5	во всяком случае	1	18
6	в связи с	1	17
7	друг от друга	1	14
8	а с другой	1	13
9	на первый план	1	12
10	то что в	1	10
11	сама по себе	1	9
12	в конечном счете	1	9
13	в этой области	1	8
14	о том как	1	7
15	благодаря тому что	1	7
16	в лучшем случае	1	6
17	только то что	1	6
18	в том и	1	6
19	в конце концов	2	5
20	не может не	1	5
21	и в этом	1	5
22	в то же	1	5
23	по существу дела	1	4
24	то же время	1	3
25	в настоящее время	1	3
26	том что это	1	2
27	том и заключается	1	2
28	но только в	1	2
29	он различает два	1	2
30	выходит за пределы	1	2
31	в целом все	1	2
32	как то что	1	2
33	что все это	1	2
34	они ни были	1	2
35	отношению к которому	1	1
36	но ведь это	2	1
37	и никак не	1	1
38	так и остаются	1	1
39	дело не в	2	1
40	их друг от	1	1
41	тем более не	1	1
42	по существу это	1	1
43	чуть ли не	1	1
44	не было бы	1	1
45	по крайней мере	1	1
46	прежде всего не	1	1
47	тотчас же по	1	1
48	все эти вопросы	1	1
49	главным образом в	1	1
50	и заключается что	2	1
51	между тем именно	1	1
52	бы он ни	1	1
53	и наконец в	1	1
54	должно было бы	1	1
55	не выходит за	1	1
56	в систему его	1	1
57	целом все это	1	1
58	не в том	2	1
59	развития и затем	1	1
60	между ними в	1	1
61	а тем более	1	1
62	и в то	1	1
63	как бы он	1	1
64	что в них	1	1
65	ведь это же	1	1
66	и мы не	1	1
67	в его работах	1	1
68	в любой области	1	1
69	по самому существу	1	1
70	ни на что	1	1
71	в результате его	1	1
72	бы они ни	1	1
73	между собой не	1	1
74	это и есть	1	1
