N	3gram	Voloshinov	Poddanst
1	то же время	6	7
2	в то же	6	7
3	в том что	9	4
4	в гораздо большей	1	4
5	гораздо большей степени	1	4
6	с точки зрения	15	3
7	с одной стороны	2	3
8	но и в	1	2
9	заключается в том	2	2
10	и в то	1	2
11	и т д	1	1
12	не было бы	1	1
13	друг с другом	1	1
14	но в общем	3	1
15	теория исторического материализма	1	1
16	в эту эпоху	1	1
17	но в то	3	1
18	в противоречии с	1	1
19	мира а не	1	1
20	в применении к	2	1
21	в них самих	1	1
22	мы знаем что	6	1
23	не может быть	14	1
24	– все это	5	1
25	только в условиях	1	1
26	в большинстве случаев	5	1
27	мы видим в	1	1
28	том что в	1	1
29	в отличие от	2	1
30	можно говорить о	1	1
31	в этом смысле	2	1
32	по сравнению с	1	1
33	есть прежде всего	1	1
34	настоящее время в	1	1
35	в собственном смысле	3	1
36	из этой области	1	1
37	хотя бы и	2	1
38	во всяком случае	8	1
39	что с точки	1	1
40	для того чтобы	3	1
41	сводится к следующему	1	1
42	и не может	3	1
43	мы не будем	1	1
44	да и не	1	1
45	в настоящее время	1	1
46	но в отличие	1	1
47	большинстве случаев только	1	1
48	так же как	1	1
49	тот или иной	1	1
50	или хотя бы	1	1
51	потому что по	1	1
52	одно из важнейших	1	1
