N	2gram	Propp_Russ	VrazhdaK
1	в году	5	18
2	не только	28	9
3	в этом	18	8
4	и в	59	8
5	и что	8	8
6	что в	35	7
7	и все	4	7
8	но и	20	7
9	то что	10	7
10	года в	2	7
11	как и	19	6
12	и даже	1	6
13	и с	12	6
14	все же	7	6
15	в котором	2	6
16	в начале	1	6
17	в нем	3	6
18	но в	5	6
19	то же	6	5
20	у него	2	5
21	в россии	4	5
22	и не	6	5
23	между тем	9	5
24	об этом	11	5
25	не было	3	5
26	в то	3	5
27	это не	14	4
28	при этом	11	4
29	несмотря на	4	4
30	с ним	2	4
31	для нас	12	4
32	все это	12	4
33	в виду	3	4
34	в своих	3	4
35	что он	2	4
36	уже в	2	4
37	о том	14	4
38	может быть	14	4
39	в ней	3	4
40	и детей	1	4
41	целый ряд	1	4
42	в истории	1	4
43	как бы	18	4
44	так же	7	4
45	он считал	1	4
46	что у	3	3
47	в его	3	3
48	в том	33	3
49	т е	41	3
50	года он	1	3
51	его в	9	3
52	связи с	6	3
53	но он	3	3
54	в связи	4	3
55	и как	2	3
56	далеко не	5	3
57	тем что	7	3
58	считал что	2	3
59	в чем	1	3
60	и у	5	3
61	в русской	1	3
62	он был	2	3
63	эти слова	1	3
64	том что	33	3
65	в этот	19	3
66	он не	1	3
67	в конце	1	3
68	и о	4	3
69	наряду с	1	3
70	что есть	2	3
71	одним из	2	3
72	в своем	3	3
73	на то	2	3
74	с его	1	3
75	и его	2	3
76	к этому	7	3
77	и во	2	3
78	в той	1	2
79	таким образом	10	2
80	начиная с	4	2
81	и то	2	2
82	ответ на	2	2
83	и он	1	2
84	после этого	6	2
85	его с	4	2
86	б и	1	2
87	к себе	1	2
88	мы знаем	1	2
89	с точки	3	2
90	для него	1	2
91	его и	2	2
92	этот момент	1	2
93	о чем	7	2
94	как раз	1	2
95	в честь	5	2
96	же не	2	2
97	в них	10	2
98	а также	6	2
99	россии в	1	2
100	же в	5	2
101	в среде	1	2
102	его на	1	2
103	в в	3	2
104	там же	15	2
105	их в	7	2
106	же как	5	2
107	в своей	1	2
108	рядом с	1	2
109	вместе с	16	2
110	так в	5	2
111	в это	4	2
112	не менее	3	2
113	и это	2	2
114	в эту	3	2
115	на первый	3	2
116	еще не	7	2
117	он пишет	2	2
118	а с	6	2
119	это в	1	2
120	в свою	3	2
121	и дети	1	2
122	в русских	1	2
123	на основе	1	2
124	п в	25	2
125	после смерти	1	2
126	очень хорошо	1	2
127	в этой	4	2
128	в нашей	1	2
129	что к	1	2
130	человека с	1	2
131	тогда как	4	2
132	а в	16	2
133	и а	4	2
134	к ним	4	2
135	июня в	1	2
136	отношение к	1	2
137	в одну	1	2
138	уже не	9	2
139	из них	12	2
140	в себе	1	2
141	ii этот	1	2
142	что я	1	2
143	с нею	1	2
144	не может	6	2
145	место в	2	2
146	с которым	1	2
147	том же	6	2
148	точки зрения	3	2
149	тем более	1	2
150	одна из	12	2
151	в период	2	2
152	на место	2	2
153	довольно много	2	2
154	в эти	4	2
155	отнюдь не	3	2
156	но это	5	2
157	во время	23	2
158	в него	2	2
159	и ее	3	2
160	а н	21	2
161	пришел к	1	2
162	никогда не	1	2
163	которому в	1	1
164	в особенности	3	1
165	год а	1	1
166	все в	2	1
167	к сожалению	1	1
168	своего рода	3	1
169	во всем	2	1
170	были известны	1	1
171	так и	8	1
172	что они	8	1
173	которую они	1	1
174	в литературе	1	1
175	все что	2	1
176	с последним	2	1
177	один из	10	1
178	можно говорить	2	1
179	в цель	1	1
180	ему в	1	1
181	из которых	2	1
182	по всем	3	1
183	уверенности что	2	1
184	ближе к	1	1
185	они не	1	1
186	в марте	1	1
187	в петербурге	1	1
188	ни с	1	1
189	только что	1	1
190	если в	3	1
191	также что	2	1
192	как показал	1	1
193	того как	6	1
194	за которую	1	1
195	к этой	1	1
196	н и	1	1
197	ясно почему	1	1
198	в основном	4	1
199	был еще	1	1
