N	3gram	Nazirov_Vr	VerxiiNi
1	с точки зрения	2	6
2	во всяком случае	1	6
3	по крайней мере	1	5
4	а с другой	1	5
5	до сих пор	1	5
6	о том что	1	4
7	в том что	2	3
8	в конце концов	1	3
9	так же как	1	3
10	в связи с	3	3
11	точно так же	1	3
12	тем не менее	1	3
13	на то что	1	2
14	с тех пор	1	2
15	в этом отношении	1	2
16	то же время	4	2
17	в то же	4	2
18	и в этом	1	2
19	может быть и	1	2
20	но и как	1	1
21	у него в	1	1
22	но при этом	1	1
23	в этот период	1	1
24	в свою очередь	1	1
25	а между тем	1	1
26	не только не	1	1
27	но в то	2	1
28	речь идет о	1	1
29	целым рядом деталей	1	1
30	он как бы	1	1
31	был похож на	1	1
32	в соответствии с	1	1
33	не может быть	2	1
34	за тем чтобы	1	1
35	и в то	1	1
36	и все же	5	1
37	не только от	1	1
38	и никогда не	1	1
39	что в этой	1	1
40	но и от	1	1
41	мы знаем о	1	1
42	на этот раз	1	1
43	в котором он	1	1
44	или по крайней	1	1
45	а следовательно и	1	1
46	и что он	1	1
47	как бы в	1	1
48	с другой стороны	1	1
49	о том как	1	1
50	и даже некоторые	1	1
51	в то время	1	1
52	это и есть	1	1
53	не только как	1	1
54	а с точки	1	1
55	отличается не только	1	1
56	на первое место	1	1
