N	2gram	Propp_Isto	Otkroven
1	у него	7	22
2	и в	44	19
3	и не	19	13
4	но и	16	13
5	в этом	20	12
6	человека в	5	11
7	а не	5	11
8	не только	17	11
9	не в	11	11
10	может быть	31	11
11	вопрос о	5	10
12	человека и	2	10
13	и все	4	10
14	в нем	10	10
15	потому что	18	9
16	прежде всего	7	9
17	не было	2	9
18	никогда не	5	9
19	и он	9	8
20	он был	2	8
21	нет ничего	1	7
22	от него	2	7
23	в его	16	7
24	он всегда	2	7
25	он не	5	7
26	но он	2	7
27	лишь в	2	7
28	в глубине	1	7
29	все это	4	6
30	как и	12	6
31	в самом	1	5
32	в том	13	5
33	нужно искать	1	5
34	для него	2	5
35	него в	2	5
36	в этой	5	5
37	а в	9	5
38	отношение к	3	5
39	то что	16	5
40	что в	18	4
41	того чтобы	3	4
42	т е	27	4
43	не может	10	4
44	него и	6	4
45	всегда есть	1	4
46	что не	3	4
47	в самую	2	4
48	все эти	11	4
49	на земле	1	4
50	в легенде	1	4
51	и его	15	4
52	он сам	1	4
53	с его	3	4
54	в русской	8	3
55	и от	1	3
56	все что	5	3
57	что человек	1	3
58	и вот	4	3
59	хотя бы	2	3
60	это не	8	3
61	для того	3	3
62	с ним	9	3
63	когда он	7	3
64	легенде о	1	3
65	в огненную	1	3
66	в этих	7	3
67	не могут	2	3
68	в своих	4	3
69	о природе	3	3
70	как бы	4	3
71	было бы	2	3
72	могут быть	9	3
73	в себе	1	3
74	и есть	3	3
75	что он	29	3
76	никто не	4	3
77	это было	2	3
78	и ее	1	3
79	о том	11	3
80	того что	3	3
81	к нему	5	3
82	еще не	16	3
83	и к	3	2
84	как к	1	2
85	и потому	2	2
86	так и	9	2
87	что они	3	2
88	и то	5	2
89	всего и	1	2
90	все же	17	2
91	что у	6	2
92	так как	19	2
93	быть человек	1	2
94	к этой	3	2
95	так человек	1	2
96	даже и	2	2
97	погружается в	1	2
98	к ней	2	2
99	его не	3	2
100	и ни	1	2
101	уже в	4	2
102	никакого другого	1	2
103	в человеческом	2	2
104	в другом	2	2
105	совсем не	1	2
106	с чего	1	2
107	так что	2	2
108	в своем	3	2
109	в этот	2	2
110	с тем	9	2
111	и из	3	2
112	этом он	2	2
113	с которой	1	2
114	в которой	4	2
115	ее в	8	2
116	не все	1	2
117	и этим	6	2
118	одно из	3	2
119	что и	11	2
120	с богом	1	2
121	которую он	1	2
122	в истории	7	2
123	его в	17	2
124	должен был	1	2
125	чем в	1	2
126	их не	3	2
127	ведь это	1	2
128	и с	8	2
129	что же	1	2
130	те которые	1	2
131	и там	3	2
132	он в	3	2
133	и о	2	2
134	сказать что	2	2
135	что для	1	2
136	тем что	12	2
137	что есть	2	2
138	и на	11	2
139	в других	4	2
140	же можно	4	2
141	что все	4	2
142	ничего не	4	2
143	хотя и	1	2
144	не есть	1	2
145	в своей	3	2
146	момент в	1	2
147	все еще	6	2
148	по себе	2	2
149	не имеет	4	2
150	к этому	5	2
151	ни у	1	2
152	же это	1	2
153	том что	12	2
154	в глубину	1	2
155	и для	3	2
156	человека о	1	2
157	в ее	4	2
158	но в	7	2
159	вопросом о	1	2
160	собственно в	1	1
161	чтобы сделать	1	1
162	что было	1	1
163	понял что	2	1
164	ведет свое	1	1
165	во всем	4	1
166	к одному	1	1
167	человеку но	1	1
168	одно время	1	1
169	и бессмертие	1	1
170	во всяком	1	1
171	связан с	7	1
172	не так	1	1
173	бросается в	2	1
174	человек может	2	1
175	ни к	1	1
176	видели в	2	1
177	его и	2	1
178	с образом	1	1
179	попал в	3	1
180	ключа к	2	1
181	всегда является	1	1
182	совершенно не	2	1
183	смерть и	2	1
184	попадает в	5	1
185	то он	2	1
186	ее и	3	1
187	но оно	3	1
188	на человека	1	1
189	еще одну	1	1
190	а с	2	1
191	все его	2	1
192	и других	5	1
193	и всякий	1	1
194	один из	6	1
195	которым он	1	1
196	в котором	2	1
197	и здесь	12	1
198	та же	2	1
199	даже когда	1	1
200	после этого	3	1
201	с душой	1	1
202	стоит человек	1	1
203	он ни	1	1
204	тому кто	1	1
205	азии и	1	1
206	они и	1	1
207	тут дьявол	1	1
208	же и	1	1
